cohort,target_window,stream,june_year_horizon,n,q10,q25,median,q75,q90,width50_pct,width80_pct
balanced_h20,all_targets,HEAVY_RUC,4,29,-0.04883452423759007,-0.034757125248539925,-0.02970852732031756,-0.0013106092666083896,0.03336086955638573,3.285028329164408,8.158487783797487
balanced_h20,all_targets,HEAVY_RUC,5,12,-0.057507132617168326,-0.039586191387293565,-0.026537331115995735,-0.007161417249662485,0.04046303525468604,3.1677060224788223,9.717766151685826
balanced_h20,all_targets,LIGHT_RUC,1,5,-0.03322064068006738,-0.03239676721418553,-0.03160924173067918,-0.028185391837268578,-0.015135333822063939,0.40857240010911955,1.7653524887464078
balanced_h20,all_targets,LIGHT_RUC,2,14,-0.0788360528762426,-0.07500297935362316,-0.052587714075673406,-0.03958031042713589,-0.034961399128285595,3.3452034833146738,4.145125963567208
balanced_h20,all_targets,LIGHT_RUC,3,8,-0.08311105625493011,-0.07112515256274504,-0.056714849505778785,0.05137563065658141,0.10076673031784199,12.137292769316444,18.57696689155055
balanced_h20,all_targets,LIGHT_RUC,4,14,-0.22879748226431848,-0.16968238850866074,-0.060330855432653874,-0.04410347045293106,-0.011709091416744708,11.292212934140334,19.28695752677977
balanced_h20,all_targets,LIGHT_RUC,5,6,-0.3021840659737779,-0.2350924153387165,-0.06239921086573195,-0.04261819215477656,-0.03011817986534198,16.77794058487525,23.112886277022927
balanced_h20,all_targets,PED,1,18,-0.027555182511556822,-0.004156121703935093,0.0014257719817444543,0.008695550054715749,0.01169461080082792,1.2880963153631741,3.8942261743432183
balanced_h20,all_targets,PED,2,47,-0.07918895339734858,-0.04059763042714942,-0.0015528061258151525,0.010153327097576343,0.013571866506075102,4.998963332400863,8.97990418933613
balanced_h20,all_targets,PED,3,27,-0.10597179531595075,-0.07719764985086963,0.0028156377158317985,0.015675763332356582,0.022075693861969694,9.009240293500243,12.287114855723669
balanced_h20,all_targets,PED,4,47,-0.11218351294473598,-0.07806371026386333,0.0023734067836621584,0.016461933778398486,0.024110817250575324,9.169267930494406,13.052362935767025
