series_id,display_name,tier,parent_stream,level,candidate,FY,central,relative_width_pct,lower,upper
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,80,saturating,2050,2380.597921237581,23.42941574811092,2101.7178291087616,2659.4780133664003
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,80,sqrt_stress,2027,1138.2992226348838,9.173839187565532,1086.0863525559673,1190.5120927138003
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,80,sqrt_stress,2030,1561.9346558206582,11.594666190147812,1471.3841010953386,1652.485210545978
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,80,sqrt_stress,2031,1642.9965761252706,12.70132043817288,1538.655446164331,1747.3377060862103
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,80,sqrt_stress,2040,2179.062189343183,20.082550938137075,1960.2565522689183,2397.8678264174478
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,80,sqrt_stress,2050,2380.597921237581,25.92646177758901,2071.995516173711,2689.200326301451
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,80,legacy_constant,2027,1138.2992226348838,4.9383,1110.1929073791946,1166.405537890573
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,80,legacy_constant,2030,1561.9346558206582,4.9383,1523.3681462664624,1600.501165374854
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,80,legacy_constant,2031,1642.9965761252706,4.9383,1602.4285261658736,1683.5646260846677
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,80,legacy_constant,2040,2179.062189343183,4.9383,2125.2578752950158,2232.8665033913503
heavy_ruc_net_revenue,Heavy RUC revenue,3,HEAVY_RUC,80,legacy_constant,2050,2380.597921237581,4.9383,2321.817387665343,2439.378454809819
total_ruc_net_revenue,total_ruc_net_revenue (indicative_independent),3,indicative_independent,50,plateau,2027,2105.2252306039495,5.792376691607191,2044.253942822281,2166.1965183856178
total_ruc_net_revenue,total_ruc_net_revenue (indicative_comonotonic),3,indicative_comonotonic,50,plateau,2027,2105.2252306039495,8.550955898151228,2015.2167900911013,2195.2336711167977
total_ruc_net_revenue,total_ruc_net_revenue (indicative_independent),3,indicative_independent,50,plateau,2030,3253.9373715651354,7.896721156558203,3125.4601911443665,3382.4145519859044
total_ruc_net_revenue,total_ruc_net_revenue (indicative_comonotonic),3,indicative_comonotonic,50,plateau,2030,3253.9373715651354,12.289614689141658,3053.989188969466,3453.885554160805
total_ruc_net_revenue,total_ruc_net_revenue (indicative_independent),3,indicative_independent,50,plateau,2031,3481.89911494128,7.719638236757545,3347.504107220115,3616.294122662445
total_ruc_net_revenue,total_ruc_net_revenue (indicative_comonotonic),3,indicative_comonotonic,50,plateau,2031,3481.89911494128,12.33253795419036,3267.195850002904,3696.602379879656
total_ruc_net_revenue,total_ruc_net_revenue (indicative_independent),3,indicative_independent,50,plateau,2040,6259.456162699124,7.9085594432601,6011.939756973191,6506.972568425058
total_ruc_net_revenue,total_ruc_net_revenue (indicative_comonotonic),3,indicative_comonotonic,50,plateau,2040,6259.456162699124,13.335825152047889,5842.081098035804,6676.831227362445
total_ruc_net_revenue,total_ruc_net_revenue (indicative_independent),3,indicative_independent,50,plateau,2050,11376.234075278322,11.105437193088294,10744.54381019395,12007.924340362693
total_ruc_net_revenue,total_ruc_net_revenue (indicative_comonotonic),3,indicative_comonotonic,50,plateau,2050,11376.234075278322,14.241883156254884,10566.139092986727,12186.329057569917
total_ruc_net_revenue,total_ruc_net_revenue (indicative_independent),3,indicative_independent,50,saturating,2027,2105.2252306039495,5.792376691607191,2044.253942822281,2166.1965183856178
total_ruc_net_revenue,total_ruc_net_revenue (indicative_comonotonic),3,indicative_comonotonic,50,saturating,2027,2105.2252306039495,8.550955898151228,2015.2167900911013,2195.2336711167977
total_ruc_net_revenue,total_ruc_net_revenue (indicative_independent),3,indicative_independent,50,saturating,2030,3253.9373715651354,7.896721156558203,3125.4601911443665,3382.4145519859044
total_ruc_net_revenue,total_ruc_net_revenue (indicative_comonotonic),3,indicative_comonotonic,50,saturating,2030,3253.9373715651354,12.289614689141658,3053.989188969466,3453.885554160805
total_ruc_net_revenue,total_ruc_net_revenue (indicative_independent),3,indicative_independent,50,saturating,2031,3481.89911494128,8.613108353665584,3331.949243173672,3631.848986708888
total_ruc_net_revenue,total_ruc_net_revenue (indicative_comonotonic),3,indicative_comonotonic,50,saturating,2031,3481.89911494128,13.46276003355542,3247.5192537137627,3716.2789761687973
total_ruc_net_revenue,total_ruc_net_revenue (indicative_independent),3,indicative_independent,50,saturating,2040,6259.456162699124,12.51350482653055,5867.817488182165,6651.094837216084
total_ruc_net_revenue,total_ruc_net_revenue (indicative_comonotonic),3,indicative_comonotonic,50,saturating,2040,6259.456162699124,20.701770605943363,5611.547034708346,6907.365290689903
total_ruc_net_revenue,total_ruc_net_revenue (indicative_independent),3,indicative_independent,50,saturating,2050,11376.234075278322,19.831037671386238,10248.221442751561,12504.246707805083
total_ruc_net_revenue,total_ruc_net_revenue (indicative_comonotonic),3,indicative_comonotonic,50,saturating,2050,11376.234075278322,25.301880557821757,9937.033496425753,12815.434654130891
