source_release,workbook_basename,workbook_sha256,sheet,source_row,source_cell,source_year_cell,source_status_cell,source_formula,asserted_formula,FY,period,period_status,source_label,label,series_id,display_name,section,unit,metric_type,row_role,value,value_status,source_kind
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,AU10,AU6,AU7,,,2045,FY2045,LT_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,8152.95919858563,official_forecast,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,AV10,AV6,AV7,,,2046,FY2046,LT_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,7688.0731540928,official_forecast,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,AW10,AW6,AW7,,,2047,FY2047,LT_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,7243.45535058358,official_forecast,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,AX10,AX6,AX7,,,2048,FY2048,LT_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,6815.94251159561,official_forecast,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,AY10,AY6,AY7,,,2049,FY2049,LT_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,6401.3158104673,official_forecast,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,AZ10,AZ6,AZ7,,,2050,FY2050,LT_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,6001.20388736231,official_forecast,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,BA10,BA6,BA7,,,2051,FY2051,LT_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,5620.73455294094,official_forecast,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,BB10,BB6,BB7,,,2052,FY2052,LT_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,5297.64710087423,official_forecast,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,BC10,BC6,BC7,,,2053,FY2053,LT_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,4987.81282031804,official_forecast,mbu26_source_row
MBU26,"Revenue forecast error, annual view from BEFU 2013-25.xlsx",9aaff21f72c0a10cfa972a29d3c4f716495c79cbd72fc28e8008a65558454e12,MBU26,10,BD10,BD6,BD7,,,2054,FY2054,LT_FORECAST,Light RUC net km (m km),Light RUC net km,light_ruc_net_km,Light RUC net km,Key volumes,million km,activity,bridge_input,4694.3599182578,official_forecast,mbu26_source_row
