scenario_role,fy,measure,S0_pack,S1_post_macro,S2_canonical_exact_vfm,S3_selected_sensitivities,S3_alt_parametric_fit,S4_post_policy,macro_effect,canonical_composition_effect,optional_composition_effect,retired_fit_vs_canonical,policy_effect,vfm_scenario,exact_base_conventional_share,exact_base_bev_share,exact_base_phev_share
basecase,2027,total_ruc_net_revenue,2262.7845529193387,2265.208204534134,2265.2082045341335,2265.2082045341335,2263.720016109613,2089.479416095769,2.42365161479529,-4.547473508864641e-13,0.0,-1.4881884245205583,-175.72878843836452,Base_EV,0.8438878438878439,0.10082810082810081,0.05528405528405528
basecase,2027,total_nltf_net_revenue,4943.087354510058,4949.015764695074,4949.015764695074,4949.015764695074,4947.527576270552,4606.095754355018,5.928410185016219,0.0,0.0,-1.4881884245214678,-342.92001034005625,Base_EV,0.8438878438878439,0.10082810082810081,0.05528405528405528
basecase,2027,heavy_bev_km,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Base_EV,0.8438878438878439,0.10082810082810081,0.05528405528405528
basecase,2027,heavy_bev_revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Base_EV,0.8438878438878439,0.10082810082810081,0.05528405528405528
basecase,2028,light_conventional_km,13372.423680284686,13542.195255933106,13542.195255933108,13542.195255933108,13477.412400823196,13542.195255933108,169.77157564841946,1.8189894035458565e-12,0.0,-64.7828551099119,0.0,Base_EV,0.809462,0.122362,0.068176
basecase,2028,light_bev_km,2021.437085826135,2047.1005382667586,2047.1005382667586,2047.1005382667586,2098.0979792486587,2047.1005382667586,25.663452440623587,0.0,0.0,50.99744098190013,0.0,Base_EV,0.809462,0.122362,0.068176
basecase,2028,light_phev_km,1126.276905928986,1140.5757203778505,1140.5757203778505,1140.5757203778505,1154.3611345058625,1140.5757203778505,14.298814448864505,0.0,0.0,13.785414128012007,0.0,Base_EV,0.809462,0.122362,0.068176
basecase,2028,light_pool_km,16520.137672039808,16729.871514577713,16729.871514577717,16729.871514577717,16729.871514577717,16729.871514577717,209.73384253790573,3.637978807091713e-12,0.0,0.0,0.0,Base_EV,0.809462,0.122362,0.068176
basecase,2028,heavy_conventional_km,4134.118313509229,4152.675334825286,4152.675334825286,4152.675334825286,4152.675334825286,4152.675334825286,18.557021316057217,0.0,0.0,0.0,0.0,Base_EV,0.809462,0.122362,0.068176
basecase,2028,heavy_conventional_revenue,1380.1167259757658,1386.311724173783,1386.311724173783,1386.311724173783,1386.311724173783,1386.311724173783,6.194998198017174,0.0,0.0,0.0,0.0,Base_EV,0.809462,0.122362,0.068176
basecase,2028,light_petrol_vkt,32150.162716100647,32375.58680046918,32375.58680046918,32375.58680046918,32375.58680046918,32375.58680046918,225.42408436853293,0.0,0.0,0.0,0.0,Base_EV,0.809462,0.122362,0.068176
basecase,2028,net_fed_revenue,2391.8639492840216,2408.9801225778647,2408.9801225778647,2408.9801225778647,2408.9801225778647,2408.9801225778647,17.116173293843076,0.0,0.0,0.0,0.0,Base_EV,0.809462,0.122362,0.068176
basecase,2028,total_ruc_net_revenue,2659.4949446134187,2682.155753103923,2682.155753103923,2682.155753103923,2681.5897637093576,2682.155753103923,22.660808490504223,0.0,0.0,-0.5659893945653494,0.0,Base_EV,0.809462,0.122362,0.068176
basecase,2028,total_nltf_net_revenue,5559.1673038668505,5598.944285651198,5598.944285651198,5598.944285651198,5598.378296256633,5598.944285651198,39.7769817843473,0.0,0.0,-0.5659893945648946,0.0,Base_EV,0.809462,0.122362,0.068176
basecase,2028,heavy_bev_km,60.5044362657779,60.5044362657779,60.5044362657779,60.5044362657779,60.5044362657779,60.5044362657779,0.0,0.0,0.0,0.0,0.0,Base_EV,0.809462,0.122362,0.068176
basecase,2028,heavy_bev_revenue,20.2030363135059,20.2030363135059,20.2030363135059,20.2030363135059,20.2030363135059,20.2030363135059,0.0,0.0,0.0,0.0,0.0,Base_EV,0.809462,0.122362,0.068176
basecase,2030,light_conventional_km,14129.750867690174,14552.971035061611,14552.971035061611,14552.971035061611,14662.619798886553,14552.971035061611,423.2201673714371,0.0,0.0,109.64876382494185,0.0,Base_EV,0.732447,0.172989,0.094564
basecase,2030,light_bev_km,3337.1581463926477,3437.1140934214677,3437.1140934214673,3437.1140934214673,3398.278356025688,3437.1140934214673,99.95594702881999,-4.547473508864641e-13,0.0,-38.83573739577923,0.0,Base_EV,0.732447,0.172989,0.094564
