series_id,FY,fifty_nested_in_eighty,central_inside_eighty
mvr_refunds,2038,True,True
mvr_refunds,2039,True,True
mvr_refunds,2040,True,True
mvr_refunds,2041,True,True
mvr_refunds,2042,True,True
mvr_refunds,2043,True,True
mvr_refunds,2044,True,True
mvr_refunds,2045,True,True
mvr_refunds,2046,True,True
mvr_refunds,2047,True,True
mvr_refunds,2048,True,True
mvr_refunds,2049,True,True
mvr_refunds,2050,True,True
mvr_revenue_net_admin_coo,2026,True,True
mvr_revenue_net_admin_coo,2027,True,True
mvr_revenue_net_admin_coo,2028,True,True
mvr_revenue_net_admin_coo,2029,True,True
mvr_revenue_net_admin_coo,2030,True,True
mvr_revenue_net_admin_coo,2031,True,True
mvr_revenue_net_admin_coo,2032,True,True
mvr_revenue_net_admin_coo,2033,True,True
mvr_revenue_net_admin_coo,2034,True,True
mvr_revenue_net_admin_coo,2035,True,True
mvr_revenue_net_admin_coo,2036,True,True
mvr_revenue_net_admin_coo,2037,True,True
mvr_revenue_net_admin_coo,2038,True,True
mvr_revenue_net_admin_coo,2039,True,True
mvr_revenue_net_admin_coo,2040,True,True
mvr_revenue_net_admin_coo,2041,True,True
mvr_revenue_net_admin_coo,2042,True,True
mvr_revenue_net_admin_coo,2043,True,True
mvr_revenue_net_admin_coo,2044,True,True
mvr_revenue_net_admin_coo,2045,True,True
mvr_revenue_net_admin_coo,2046,True,True
mvr_revenue_net_admin_coo,2047,True,True
mvr_revenue_net_admin_coo,2048,True,True
mvr_revenue_net_admin_coo,2049,True,True
mvr_revenue_net_admin_coo,2050,True,True
net_fed_revenue,2026,True,True
net_fed_revenue,2027,True,True
net_fed_revenue,2028,True,True
net_fed_revenue,2029,True,True
net_fed_revenue,2030,True,True
net_fed_revenue,2031,True,True
net_fed_revenue,2032,True,True
net_fed_revenue,2033,True,True
net_fed_revenue,2034,True,True
net_fed_revenue,2035,True,True
net_fed_revenue,2036,True,True
net_fed_revenue,2037,True,True
net_fed_revenue,2038,True,True
net_fed_revenue,2039,True,True
net_fed_revenue,2040,True,True
net_fed_revenue,2041,True,True
net_fed_revenue,2042,True,True
net_fed_revenue,2043,True,True
net_fed_revenue,2044,True,True
net_fed_revenue,2045,True,True
net_fed_revenue,2046,True,True
net_fed_revenue,2047,True,True
net_fed_revenue,2048,True,True
net_fed_revenue,2049,True,True
net_fed_revenue,2050,True,True
net_mvr_revenue,2026,True,True
net_mvr_revenue,2027,True,True
net_mvr_revenue,2028,True,True
net_mvr_revenue,2029,True,True
net_mvr_revenue,2030,True,True
net_mvr_revenue,2031,True,True
net_mvr_revenue,2032,True,True
net_mvr_revenue,2033,True,True
net_mvr_revenue,2034,True,True
net_mvr_revenue,2035,True,True
net_mvr_revenue,2036,True,True
net_mvr_revenue,2037,True,True
net_mvr_revenue,2038,True,True
net_mvr_revenue,2039,True,True
net_mvr_revenue,2040,True,True
net_mvr_revenue,2041,True,True
net_mvr_revenue,2042,True,True
net_mvr_revenue,2043,True,True
net_mvr_revenue,2044,True,True
net_mvr_revenue,2045,True,True
net_mvr_revenue,2046,True,True
net_mvr_revenue,2047,True,True
net_mvr_revenue,2048,True,True
net_mvr_revenue,2049,True,True
net_mvr_revenue,2050,True,True
ped_vkt_per_capita,2026,True,True
ped_vkt_per_capita,2027,True,True
ped_vkt_per_capita,2028,True,True
ped_vkt_per_capita,2029,True,True
ped_vkt_per_capita,2030,True,True
ped_vkt_per_capita,2031,True,True
ped_vkt_per_capita,2032,True,True
ped_vkt_per_capita,2033,True,True
ped_vkt_per_capita,2034,True,True
ped_vkt_per_capita,2035,True,True
ped_vkt_per_capita,2036,True,True
ped_vkt_per_capita,2037,True,True
ped_vkt_per_capita,2038,True,True
ped_vkt_per_capita,2039,True,True
ped_vkt_per_capita,2040,True,True
ped_vkt_per_capita,2041,True,True
ped_vkt_per_capita,2042,True,True
ped_vkt_per_capita,2043,True,True
ped_vkt_per_capita,2044,True,True
ped_vkt_per_capita,2045,True,True
ped_vkt_per_capita,2046,True,True
ped_vkt_per_capita,2047,True,True
ped_vkt_per_capita,2048,True,True
ped_vkt_per_capita,2049,True,True
ped_vkt_per_capita,2050,True,True
ped_volume,2026,True,True
ped_volume,2027,True,True
ped_volume,2028,True,True
ped_volume,2029,True,True
ped_volume,2030,True,True
