series_id,FY,span80_pct_before,span80_pct_after,span50_pct_before,span50_pct_after,median_multiplier_before,median_multiplier_after,span80_pct_abs_change,span50_pct_abs_change,median_multiplier_abs_change
fed_refunds,2035,16.840312900449298,16.840312900449298,13.237826911707073,13.237826911707073,0.9482494624136745,0.9482494624136745,0.0,0.0,0.0
fed_refunds,2036,16.84031290044931,16.84031290044931,13.237826911707083,13.237826911707083,0.9482494624136745,0.9482494624136745,0.0,0.0,0.0
fed_refunds,2037,16.840312900449295,16.840312900449295,13.237826911707062,13.237826911707062,0.9482494624136744,0.9482494624136744,0.0,0.0,0.0
fed_refunds,2038,16.84031290044931,16.84031290044931,13.237826911707074,13.237826911707074,0.9482494624136745,0.9482494624136745,0.0,0.0,0.0
fed_refunds,2039,16.840312900449298,16.840312900449298,13.237826911707085,13.237826911707085,0.9482494624136744,0.9482494624136744,0.0,0.0,0.0
fed_refunds,2040,16.8403129004493,16.8403129004493,13.237826911707069,13.237826911707069,0.9482494624136744,0.9482494624136744,0.0,0.0,0.0
fed_refunds,2041,16.8403129004493,16.8403129004493,13.237826911707074,13.237826911707074,0.9482494624136744,0.9482494624136744,0.0,0.0,0.0
fed_refunds,2042,16.8403129004493,16.8403129004493,13.237826911707067,13.237826911707067,0.9482494624136744,0.9482494624136744,0.0,0.0,0.0
fed_refunds,2043,16.840312900449312,16.840312900449312,13.237826911707073,13.237826911707073,0.9482494624136745,0.9482494624136745,0.0,0.0,0.0
fed_refunds,2044,16.840312900449305,16.840312900449305,13.237826911707062,13.237826911707062,0.9482494624136745,0.9482494624136745,0.0,0.0,0.0
fed_refunds,2045,16.840312900449295,16.840312900449295,13.23782691170707,13.23782691170707,0.9482494624136745,0.9482494624136745,0.0,0.0,0.0
fed_refunds,2046,16.8403129004493,16.8403129004493,13.237826911707087,13.237826911707087,0.9482494624136744,0.9482494624136744,0.0,0.0,0.0
fed_refunds,2047,16.840312900449316,16.840312900449316,13.237826911707078,13.237826911707078,0.9482494624136745,0.9482494624136745,0.0,0.0,0.0
fed_refunds,2048,16.840312900449298,16.840312900449298,13.23782691170706,13.23782691170706,0.9482494624136744,0.9482494624136744,0.0,0.0,0.0
fed_refunds,2049,16.840312900449312,16.840312900449312,13.237826911707073,13.237826911707073,0.9482494624136745,0.9482494624136745,0.0,0.0,0.0
fed_refunds,2050,16.840312900449298,16.840312900449298,13.237826911707073,13.237826911707073,0.9482494624136745,0.9482494624136745,0.0,0.0,0.0
gross_cng_revenue,2026,,,,,,,,,
gross_cng_revenue,2027,,,,,,,,,
gross_cng_revenue,2028,,,,,,,,,
gross_cng_revenue,2029,,,,,,,,,
gross_cng_revenue,2030,,,,,,,,,
gross_cng_revenue,2031,,,,,,,,,
gross_cng_revenue,2032,,,,,,,,,
gross_cng_revenue,2033,,,,,,,,,
gross_cng_revenue,2034,,,,,,,,,
gross_cng_revenue,2035,,,,,,,,,
gross_cng_revenue,2036,,,,,,,,,
gross_cng_revenue,2037,,,,,,,,,
gross_cng_revenue,2038,,,,,,,,,
gross_cng_revenue,2039,,,,,,,,,
gross_cng_revenue,2040,,,,,,,,,
gross_cng_revenue,2041,,,,,,,,,
gross_cng_revenue,2042,,,,,,,,,
gross_cng_revenue,2043,,,,,,,,,
gross_cng_revenue,2044,,,,,,,,,
gross_cng_revenue,2045,,,,,,,,,
gross_cng_revenue,2046,,,,,,,,,
gross_cng_revenue,2047,,,,,,,,,
gross_cng_revenue,2048,,,,,,,,,
gross_cng_revenue,2049,,,,,,,,,
gross_cng_revenue,2050,,,,,,,,,
gross_fed_revenue,2026,3.1058221815670026,3.1058221815670026,1.619338683050132,1.619338683050132,1.001399463640585,1.001399463640585,0.0,0.0,0.0
gross_fed_revenue,2027,9.379111792933836,9.379111792933836,2.05498428027921,2.05498428027921,1.001232970059407,1.001232970059407,0.0,0.0,0.0
gross_fed_revenue,2028,11.499056127159168,11.499056127159168,8.178033204499807,8.178033204499807,1.0097191465002822,1.0097191465002822,0.0,0.0,0.0
gross_fed_revenue,2029,11.464598619361285,11.464598619361285,8.281036020154161,8.281036020154161,1.0058882210379005,1.0058882210379005,0.0,0.0,0.0
gross_fed_revenue,2030,16.586243065656067,16.586243065656067,13.038107790313019,13.038107790313019,0.9490302228789189,0.9490302228789189,0.0,0.0,0.0
gross_fed_revenue,2031,16.594855869991214,16.594855869991214,13.044878140346714,13.044878140346714,0.9490037556002463,0.9490037556002463,0.0,0.0,0.0
gross_fed_revenue,2032,16.602019809978575,16.602019809978575,13.050509567631886,13.050509567631886,0.9489817407037433,0.9489817407037433,0.0,0.0,0.0
gross_fed_revenue,2033,16.6077524138901,16.6077524138901,13.055015850786058,13.055015850786058,0.9489641243247637,0.9489641243247637,0.0,0.0,0.0
gross_fed_revenue,2034,16.61220653575001,16.61220653575001,13.058517145243805,13.058517145243805,0.9489504367405668,0.9489504367405668,0.0,0.0,0.0
gross_fed_revenue,2035,16.61500244598569,16.61500244598569,13.060714953323677,13.060714953323677,0.9489418448659032,0.9489418448659032,0.0,0.0,0.0
gross_fed_revenue,2036,16.61576222015639,16.61576222015639,13.061312196321689,13.061312196321689,0.9489395100683248,0.9489395100683248,0.0,0.0,0.0
gross_fed_revenue,2037,16.614040182352685,16.614040182352685,13.059958537484365,13.059958537484365,0.9489448019166776,0.9489448019166776,0.0,0.0,0.0
gross_fed_revenue,2038,16.60920876794057,16.60920876794057,13.056160661037268,13.056160661037268,0.948959648926624,0.948959648926624,0.0,0.0,0.0
gross_fed_revenue,2039,16.60066141480507,16.60066141480507,13.049441760858288,13.049441760858288,0.948985915072765,0.948985915072765,0.0,0.0,0.0
gross_fed_revenue,2040,16.587836483874327,16.587836483874327,13.039360343914355,13.039360343914355,0.9490253262805076,0.9490253262805076,0.0,0.0,0.0
gross_fed_revenue,2041,16.57017863375962,16.57017863375962,13.025479867652821,13.025479867652821,0.9490795891223833,0.9490795891223833,0.0,0.0,0.0
gross_fed_revenue,2042,16.545593098735026,16.545593098735026,13.006153679409703,13.006153679409703,0.9491551408453169,0.9491551408453169,0.0,0.0,0.0
gross_fed_revenue,2043,16.515136679811498,16.515136679811498,12.982212508931228,12.982212508931228,0.949248733883734,0.949248733883734,0.0,0.0,0.0
gross_fed_revenue,2044,16.481019915302806,16.481019915302806,12.955394015354358,12.955394015354358,0.9493535752197869,0.9493535752197869,0.0,0.0,0.0
gross_fed_revenue,2045,16.446548417375105,16.446548417375105,12.928296673063178,12.928296673063178,0.9494595066570297,0.9494595066570297,0.0,0.0,0.0
gross_fed_revenue,2046,16.411829858398736,16.411829858398736,12.901005121114592,12.901005121114592,0.9495661973166316,0.9495661973166316,0.0,0.0,0.0
gross_fed_revenue,2047,16.37346113106928,16.37346113106928,12.870844246182363,12.870844246182363,0.9496841049990802,0.9496841049990802,0.0,0.0,0.0
gross_fed_revenue,2048,16.331802547437913,16.331802547437913,12.83809728222989,12.83809728222989,0.9498121224599644,0.9498121224599644,0.0,0.0,0.0
gross_fed_revenue,2049,16.2859490773768,16.2859490773768,12.802052803510396,12.802052803510396,0.9499530308706269,0.9499530308706269,0.0,0.0,0.0
gross_fed_revenue,2050,16.23544516958263,16.23544516958263,12.762352710424489,12.762352710424489,0.950108230147149,0.950108230147149,0.0,0.0,0.0
gross_lpg_revenue,2026,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
gross_lpg_revenue,2027,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
gross_lpg_revenue,2028,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
gross_lpg_revenue,2029,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
gross_lpg_revenue,2030,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
gross_lpg_revenue,2031,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
gross_lpg_revenue,2032,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
gross_lpg_revenue,2033,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
gross_lpg_revenue,2034,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
gross_lpg_revenue,2035,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
gross_lpg_revenue,2036,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
gross_lpg_revenue,2037,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
gross_lpg_revenue,2038,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
gross_lpg_revenue,2039,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
gross_lpg_revenue,2040,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
gross_lpg_revenue,2041,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
