stream,trial_id,candidate_name,loss,model_kind,feature_set,include_target_lags,window,params_json,status,quarterly_mape,annual_mape,quarterly_bias_pct,annual_bias_pct,quarterly_p90_ape,governance_score,mape_h01_04,mape_h05_08,mape_h09_12
PED,19,PED__HPO_trial0019__schiff__HPO_GBR_learning_rate0_116788_max_depth1_n_estimators550__ylag__wexp,2.932787220779705,gbr,schiff,True,expanding,"{""learning_rate"": 0.1167879763718608, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 550, ""random_state"": 20260539, ""subsample"": 1.0}",ok,2.6000718221766297,2.630740366616777,1.3511280945108424,1.5909248024720153,7.923619535170451,1.0,1.7096471453522974,2.7478559667932756,3.4841086492631708
PED,20,PED__HPO_trial0020__struct__HPO_Elastic_alpha0_00508201_l1_ratio0_835506__ylag__w52,3.2729691662918463,elastic_net,struct,True,52,"{""alpha"": 0.0050820050106876215, ""l1_ratio"": 0.8355059748877437, ""max_iter"": 50000, ""random_state"": 20260540}",ok,2.7995385532795467,2.9088232178958244,1.4639571312842843,1.7245783179444634,9.752469810233793,1.0,1.711766995988003,2.9585051747150737,3.9031321780497494
PED,21,PED__HPO_trial0021__schiff__HPO_GBR_learning_rate0_0869807_max_depth1_n_estimators490__noylag__w40,3.0404139624323463,gbr,schiff,False,40,"{""learning_rate"": 0.08698072385706239, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 490, ""random_state"": 20260541, ""subsample"": 0.95}",ok,2.5806710142928804,2.642150143577169,1.7287368411718271,1.9531247308946933,9.010324433625458,1.0,1.732546097682015,2.677398697471944,3.470941390322225
PED,22,PED__HPO_trial0022__schiff__HPO_GBR_learning_rate0_0927139_max_depth1_n_estimators510__noylag__w40,3.028481876638397,gbr,schiff,False,40,"{""learning_rate"": 0.09271392724668978, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 510, ""random_state"": 20260542, ""subsample"": 0.95}",ok,2.577921796263006,2.6405849525795744,1.6935803873063888,1.9100433632957874,8.921940530041448,1.0,1.7111308333064752,2.670800003017545,3.4943334628141196
PED,23,PED__HPO_trial0023__schiff__HPO_GBR_learning_rate0_0988251_max_depth1_n_estimators520__ylag__wexp,3.0960735521305858,gbr,schiff,True,expanding,"{""learning_rate"": 0.09882510379467828, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 520, ""random_state"": 20260543, ""subsample"": 0.95}",ok,2.7630608663986216,2.793168839904559,1.4416258624896763,1.680858832648758,8.16435751481579,1.0,1.8670130970786663,2.91762737681582,3.646274290381001
PED,24,PED__HPO_trial0024__schiff__HPO_GBR_learning_rate0_0945619_max_depth1_n_estimators340__noylag__w40,3.134659542717681,gbr,schiff,False,40,"{""learning_rate"": 0.09456191687592305, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 340, ""random_state"": 20260544, ""subsample"": 0.95}",ok,2.673692804626402,2.7487677902806404,1.8997252012775738,2.10738575284527,9.00328842356706,1.0,1.846910605049694,2.8053642615857464,3.5006222052372222
PED,25,PED__HPO_trial0025__schiff__HPO_GBR_learning_rate0_11253_max_depth1_n_estimators620__noylag__wexp,2.983849955276012,gbr,schiff,False,expanding,"{""learning_rate"": 0.11253047896639531, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 620, ""random_state"": 20260545, ""subsample"": 1.0}",ok,2.5552616114054714,2.5612893482076333,1.5127877302246584,1.7443062458772713,8.93851351476209,1.0,1.666935909747155,2.625986680488634,3.5212310107066944
PED,26,PED__HPO_trial0026__schiff__HPO_GBR_learning_rate0_109148_max_depth1_n_estimators620__ylag__wexp,2.9528450926789276,gbr,schiff,True,expanding,"{""learning_rate"": 0.10914762114692962, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 620, ""random_state"": 20260546, ""subsample"": 1.0}",ok,2.6329918264443934,2.6743524870068756,1.363344960900135,1.5959938529136846,7.7870627033735005,1.0,1.7194736460857205,2.7825281521765244,3.5422353005876457
PED,27,PED__HPO_trial0027__schiff__HPO_GBR_learning_rate0_117251_max_depth1_n_estimators560__ylag__wexp,2.910662818720658,gbr,schiff,True,expanding,"{""learning_rate"": 0.11725130793996114, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 560, ""random_state"": 20260547, ""subsample"": 1.0}",ok,2.5741526087604414,2.610967324733561,1.3707986644427046,1.608596876005499,7.882643708654801,1.0,1.6855389127263591,2.7298850107369246,3.4473570178103543
PED,28,PED__HPO_trial0028__schiff__HPO_GBR_learning_rate0_0809335_max_depth1_n_estimators560__ylag__wexp,2.9931416287214407,gbr,schiff,True,expanding,"{""learning_rate"": 0.08093347823383447, ""loss"": ""squared_error"", ""max_depth"": 1, ""n_estimators"": 560, ""random_state"": 20260548, ""subsample"": 1.0}",ok,2.680533613007594,2.700330846491484,1.4145861712546024,1.6276846019946394,7.799638859102968,1.0,1.7715392333930176,2.819297179587176,3.596262152650255
