engine,policy_state,series_id,series_label,row_type,june_year,value,value_unit,official_value,movement_vs_origin_main
ar1,cur-published__off-published,ped_volume,PED volume,future_forecast,2050,691.6605627619473,million litres,2880.43564343742,0
ar1,cur-published__off-published,ped_volume,PED volume,official_comparator,2026,2945.82526967511,million litres,2945.82526967511,0
ar1,cur-published__off-published,ped_volume,PED volume,official_comparator,2026,2910.77244455591,million litres,2910.77244455591,0
ar1,cur-published__off-published,ped_volume,PED volume,official_comparator,2030,2878.59330671556,million litres,2878.59330671556,0
ar1,cur-published__off-published,ped_volume,PED volume,official_comparator,2030,2880.43564343742,million litres,2880.43564343742,0
ar1,cur-published__off-published,ped_volume,PED volume,official_comparator,2031,2827.25640804399,million litres,2827.25640804399,0
ar1,cur-published__off-published,ped_volume,PED volume,official_comparator,2031,2829.06995755511,million litres,2829.06995755511,0
ar1,cur-published__off-published,ped_volume,PED volume,official_comparator,2050,673.368126706594,million litres,673.368126706594,0
ar1,cur-published__off-published,ped_volume,PED volume,official_comparator,2050,673.413179791274,million litres,673.413179791274,0
ar1,cur-published__off-published,total_nltf_net_revenue,Total NLTF revenue,future_forecast,2026,4589.495642256075,$m nominal ex GST,4493.65132567772,0
ar1,cur-published__off-published,total_nltf_net_revenue,Total NLTF revenue,future_forecast,2026,4592.664226148434,$m nominal ex GST,4493.65132567772,0
ar1,cur-published__off-published,total_nltf_net_revenue,Total NLTF revenue,future_forecast,2026,4555.465853476661,$m nominal ex GST,4493.65132567772,0
ar1,cur-published__off-published,total_nltf_net_revenue,Total NLTF revenue,future_forecast,2030,6408.4932405407635,$m nominal ex GST,6442.98776042894,0
ar1,cur-published__off-published,total_nltf_net_revenue,Total NLTF revenue,future_forecast,2030,6513.180205527075,$m nominal ex GST,6442.98776042894,0
ar1,cur-published__off-published,total_nltf_net_revenue,Total NLTF revenue,future_forecast,2030,6388.5417421667735,$m nominal ex GST,6442.98776042894,0
ar1,cur-published__off-published,total_nltf_net_revenue,Total NLTF revenue,future_forecast,2031,6727.050913569903,$m nominal ex GST,6442.98776042894,0
ar1,cur-published__off-published,total_nltf_net_revenue,Total NLTF revenue,future_forecast,2031,6855.019763602177,$m nominal ex GST,6442.98776042894,0
ar1,cur-published__off-published,total_nltf_net_revenue,Total NLTF revenue,future_forecast,2050,12997.261591337161,$m nominal ex GST,6442.98776042894,0
