engine,scenario,fy,light_petrol_vkt,ped_vkt_per_capita,implied_population,scenario_population_mean,implied_over_scenario,segment
ensemble,current_basecase,2041,25489.894812956176,4231.55518821845,6023765.183052667,5940818.944723143,1.013962088240915,post_model_extrapolation
ensemble,current_basecase,2042,22979.609765186484,3793.722992121345,6057271.3961745845,5973863.77955193,1.013962088808947,post_model_extrapolation
ensemble,current_basecase,2043,20494.024285330277,3364.868812868045,6090586.416610459,6006720.030339465,1.0139620934299238,post_model_extrapolation
ensemble,current_basecase,2044,18262.050454860753,2982.0048937000624,6124084.669828042,6039756.9905063305,1.0139620980536574,post_model_extrapolation
ensemble,current_basecase,2045,16418.874365045725,2666.3656603547033,6157772.960090381,6072975.653954115,1.0139630571515719,post_model_extrapolation
ensemble,current_basecase,2046,14877.966501232595,2402.914143891279,6191634.661211498,6106377.020050862,1.013962066357954,post_model_extrapolation
ensemble,current_basecase,2047,13471.111856152038,2163.7945578233357,6225688.944195919,6139962.093661142,1.0139621139718893,post_model_extrapolation
ensemble,current_basecase,2048,12206.392102439078,1949.9246144203623,6259930.262005319,6173731.885176277,1.0139621186070638,post_model_extrapolation
ensemble,current_basecase,2049,11055.449225656499,1756.40563752147,6294359.9072349025,6207687.410544746,1.013962123244629,post_model_extrapolation
ensemble,current_basecase,2050,10007.869789968407,1581.277157546583,6328978.915686122,6241829.691302741,1.013962127884523,post_model_extrapolation
ensemble,current_comparison_1,2026,33120.38975705886,6168.365967183541,5369394.412274397,5371918.3328655455,0.9995301640057134,econometric
ensemble,current_comparison_1,2027,33398.37658758218,6132.802208493097,5445859.079122096,5432277.432821801,1.0025001753809986,econometric
ensemble,current_comparison_1,2028,34036.14997705845,6134.7156438355705,5548121.861403544,5513761.594314128,1.0062317288300693,econometric
ensemble,current_comparison_1,2029,34641.6168393206,6128.044833683234,5652964.000672856,5596468.01822884,1.0100949352806086,econometric
ensemble,current_comparison_1,2030,35184.106158179275,6108.672794855236,5759697.292644575,5680415.038502273,1.0139571234856821,econometric
ensemble,current_comparison_1,2031,35684.17280163522,6103.91113227769,5846116.044012519,5765621.264079806,1.0139611632894099,post_model_extrapolation
ensemble,current_comparison_1,2032,36077.57347063228,6080.038458708073,5933773.892328023,5852105.583041003,1.0139553718107357,post_model_extrapolation
ensemble,current_comparison_1,2033,36301.2286859274,6027.318943320941,6022782.107151293,5939887.166786618,1.0139556422600398,post_model_extrapolation
ensemble,current_comparison_1,2034,36341.35443426508,5944.80919575069,6113123.775316731,6028985.474288417,1.013955631737236,post_model_extrapolation
ensemble,current_comparison_1,2035,36115.399856644035,5820.540875498505,6204818.526173635,6119420.256402742,1.013955287624108,post_model_extrapolation
ensemble,current_comparison_1,2036,35538.241395066,5642.881163107646,6297889.38803283,6211211.560248783,1.013955059643883,post_model_extrapolation
ensemble,current_comparison_1,2037,34562.26078453542,5406.809992350577,6392357.200166691,6304379.7336525135,1.0139549757836694,post_model_extrapolation
ensemble,current_comparison_1,2038,33137.01841978899,5107.240914007094,6488242.669130325,6398945.429657301,1.013954993124204,post_model_extrapolation
ensemble,current_comparison_1,2039,31271.62101536921,4748.5089366824795,6585566.423555467,6494929.61110216,1.013955010736125,post_model_extrapolation
ensemble,current_comparison_1,2040,29036.68443169258,4343.980233463298,6684350.036404905,6592353.555268692,1.0139550284075234,post_model_extrapolation
