engine,scenario,fy,period,quarterly_ped_vkt_per_capita,population,quarterly_light_petrol_vkt,recomputed_petrol_from_identity,identity_residual,identity_rel_residual,positive
ensemble,current_comparison_1,2043,2043Q2,751.5689815471177,6932017.062966009,5209.889004080606,5209.889004080605,9.094947017729282e-13,1.7457084038845613e-16,True
ensemble,current_comparison_1,2044,2043Q3,661.1299820250025,6957867.171114187,4600.054597771078,4600.054597771077,9.094947017729282e-13,1.977138928337105e-16,True
ensemble,current_comparison_1,2044,2043Q4,665.812654712349,6983813.676614709,4649.911524043249,4649.911524043249,0.0,0.0,True
ensemble,current_comparison_1,2044,2044Q1,659.2711705091442,7009856.938941876,4621.396589237858,4621.396589237857,9.094947017729282e-13,1.9680083373301628e-16,True
ensemble,current_comparison_1,2044,2044Q2,656.2233238116224,7035997.318910498,4617.185546945111,4617.185546945111,0.0,0.0,True
ensemble,current_comparison_1,2045,2044Q3,584.7573420925289,7062235.1786809,4129.693872317798,4129.693872317798,0.0,0.0,True
ensemble,current_comparison_1,2045,2044Q4,588.5237835174675,7088570.8817639295,4171.792555067458,4171.792555067458,0.0,0.0,True
ensemble,current_comparison_1,2045,2045Q1,583.3490660992202,7115004.793026003,4150.531401303195,4150.531401303194,9.094947017729282e-13,2.1912729090240414e-16,True
ensemble,current_comparison_1,2045,2045Q2,580.7741660121318,7141537.278694155,4147.620357078147,4147.620357078147,0.0,0.0,True
ensemble,current_comparison_1,2046,2045Q3,521.286409219349,7168168.706361112,3736.6689256174905,3736.6689256174905,0.0,0.0,True
ensemble,current_comparison_1,2046,2045Q4,525.9751627174708,7194899.444990388,3784.3384063146605,3784.3384063146596,9.094947017729282e-13,2.40331229431099e-16,True
ensemble,current_comparison_1,2046,2046Q1,520.9244258774487,7221729.864921393,3761.975483726201,3761.9754837262017,-4.547473508864641e-13,-1.2087993471877736e-16,True
ensemble,current_comparison_1,2046,2046Q2,518.5486262285904,7248660.337874567,3758.782860202526,3758.7828602025265,-4.547473508864641e-13,-1.209826073491146e-16,True
ensemble,current_comparison_1,2047,2046Q3,465.50854077504096,7275691.236956528,3386.896410845386,3386.896410845386,0.0,0.0,True
ensemble,current_comparison_1,2047,2046Q4,469.1577624274754,7302822.9366652435,3426.1760683699104,3426.176068369911,-4.547473508864641e-13,-1.3272737355346178e-16,True
ensemble,current_comparison_1,2047,2047Q1,464.5253112391314,7330055.812895213,3404.9964578853533,3404.9964578853533,0.0,0.0,True
