stream,stream_label,component_label,component_model,score_basis,eval_grid,origin,target_period,horizon,actual,stored_component_pred,replayed_pred,replayed_pred_log,abs_delta,abs_pct_delta,match_status,component_weight,weighted_component_pred,final_pred,ensemble_model
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q4,2018Q1,9,1005850627.0,981884009.5624408,975617430.4511608,20.69858109053754,6266579.111279964,0.638219896673188,delta_exceeds_tolerance,0.469332,460829585.9759595,952377756.49253,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q4,2018Q2,10,983918062.0,921717866.42766,915254695.5201218,20.634712940265715,6463170.907538176,0.7012092466632717,delta_exceeds_tolerance,0.469332,432591689.68622655,922662113.3806388,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q4,2018Q3,11,987441652.0,950106688.9859192,943799112.2041547,20.665423896595126,6307576.781764507,0.6638808941021976,delta_exceeds_tolerance,0.469332,445915472.5551395,930979354.9825305,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2015Q4,2018Q4,12,1082003936.0,998859389.0140648,994842674.349155,20.718095166389173,4016714.6649098396,0.4021301405470676,delta_exceeds_tolerance,0.469332,468796674.7647491,966545027.8049905,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2016Q1,2016Q2,1,903149015.0,886678307.913904,891170460.1120399,20.608046280394095,4492152.198135972,0.5066270549354815,delta_exceeds_tolerance,0.469332,416146503.6098484,892801492.2544451,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2016Q1,2016Q3,2,917814423.0,934737886.7145666,932691854.797763,20.653585430730647,2046031.9168035984,0.21888830504078827,delta_exceeds_tolerance,0.469332,438702401.847521,920283881.9593381,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2016Q1,2016Q4,3,977369221.0,965912064.7179866,961067519.4120113,20.68355522400031,4844545.305975318,0.501551381635321,delta_exceeds_tolerance,0.469332,453333441.1582221,949207099.2035952,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2016Q1,2017Q1,4,987496699.0,953914848.1949216,955829473.021624,20.67809007960448,1914624.8267023563,0.20071234139245986,delta_exceeds_tolerance,0.469332,447702763.53301895,939427449.76012,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2016Q1,2017Q2,5,960003244.0,915919777.2181656,915734323.4226245,20.635236840637056,185453.79554116726,0.02024782084129989,delta_exceeds_tolerance,0.469332,429870460.8813561,920018382.2594352,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2016Q1,2017Q3,6,975147170.0,941766031.9911922,940639916.1094936,20.662070963433717,1126115.8816986084,0.11957490963202848,delta_exceeds_tolerance,0.469332,442000935.3264902,926865811.6312268,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2016Q1,2017Q4,7,1057176543.0,989280152.2968596,989815661.0288653,20.71302928277441,535508.7320057154,0.05413115089415256,delta_exceeds_tolerance,0.469332,464300832.43778974,959410393.6385086,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2016Q1,2018Q1,8,1005850627.0,975331281.2877656,972453195.1008172,20.69533250386763,2878086.1869484186,0.29508806311926916,delta_exceeds_tolerance,0.469332,457754180.9093496,950016525.8537312,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2016Q1,2018Q2,9,983918062.0,923571107.9141648,919510554.8949951,20.63935208089328,4060553.019169688,0.43965786547180186,delta_exceeds_tolerance,0.469332,433461475.2195708,922673481.856359,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2016Q1,2018Q3,10,987441652.0,961450017.6975012,951989003.8588929,20.67406404212054,9461013.838608265,0.9840359524113048,delta_exceeds_tolerance,0.469332,451239259.70600367,935746097.5626165,HEAVY_RUC__RECON_STATIC_REBUILT
HEAVY_RUC,Heavy RUC volume,C1,HEAVY_RUC__dynamic_no_leads__Elastic_alpha0_005_l1_ratio0_2__ylag__w64,current_grid_operational_pooled,current_evidence_grid,2016Q1,2018Q4,11,1082003936.0,1000222338.237097,1000633850.2401325,20.723899486388326,411512.00303542614,0.041142052852040936,delta_exceeds_tolerance,0.469332,469436350.4494932,965765743.0145891,HEAVY_RUC__RECON_STATIC_REBUILT
