component_label,component_model,origin,configured_window_quarters,repo_raw_window_start,repo_raw_window_end,repo_effective_training_start,repo_effective_training_end,repo_training_rows,repo_feature_count,source_training_fit_window_start,source_training_fit_window_end,source_training_fit_rows,trace_inferred_start,trace_inferred_end,comparison_status
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2023Q2,64,2007Q3,2023Q2,2009Q3,2023Q2,56,6,2009Q3,2023Q2,56,2007Q3,2023Q2,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2023Q3,64,2007Q4,2023Q3,2009Q3,2023Q3,57,6,2009Q3,2023Q3,57,2007Q4,2023Q3,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2023Q4,64,2008Q1,2023Q4,2009Q3,2023Q4,58,6,2009Q3,2023Q4,58,2008Q1,2023Q4,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2024Q1,64,2008Q2,2024Q1,2009Q3,2024Q1,59,6,2009Q3,2024Q1,59,2008Q2,2024Q1,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2024Q2,64,2008Q3,2024Q2,2009Q3,2024Q2,60,6,2009Q3,2024Q2,60,2008Q3,2024Q2,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2024Q3,64,2008Q4,2024Q3,2009Q3,2024Q3,61,6,2009Q3,2024Q3,61,2008Q4,2024Q3,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2024Q4,64,2009Q1,2024Q4,2009Q3,2024Q4,62,6,2009Q3,2024Q4,62,2009Q1,2024Q4,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2025Q1,64,2009Q2,2025Q1,2009Q3,2025Q1,63,6,2009Q3,2025Q1,63,2009Q2,2025Q1,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2025Q2,64,2009Q3,2025Q2,2009Q3,2025Q2,64,6,2009Q3,2025Q2,64,2009Q3,2025Q2,effective_window_matches_training_fit_rows
C2,HEAVY_RUC__schiff__GBR_learning_rate0_06_max_depth1_n_estimators650__noylag__w64,2025Q3,64,2009Q4,2025Q3,2009Q4,2025Q3,64,6,2009Q4,2025Q3,64,2009Q4,2025Q3,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2015Q2,52,2002Q3,2015Q2,2009Q3,2015Q2,24,243,2009Q3,2015Q2,24,2002Q3,2015Q2,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2015Q3,52,2002Q4,2015Q3,2009Q3,2015Q3,25,243,2009Q3,2015Q3,25,2002Q4,2015Q3,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2015Q4,52,2003Q1,2015Q4,2009Q3,2015Q4,26,243,2009Q3,2015Q4,26,2003Q1,2015Q4,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2016Q1,52,2003Q2,2016Q1,2009Q3,2016Q1,27,243,2009Q3,2016Q1,27,2003Q2,2016Q1,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2016Q2,52,2003Q3,2016Q2,2009Q3,2016Q2,28,243,2009Q3,2016Q2,28,2003Q3,2016Q2,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2016Q3,52,2003Q4,2016Q3,2009Q3,2016Q3,29,243,2009Q3,2016Q3,29,2003Q4,2016Q3,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2016Q4,52,2004Q1,2016Q4,2009Q3,2016Q4,30,243,2009Q3,2016Q4,30,2004Q1,2016Q4,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2017Q1,52,2004Q2,2017Q1,2009Q3,2017Q1,31,243,2009Q3,2017Q1,31,2004Q2,2017Q1,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2017Q2,52,2004Q3,2017Q2,2009Q3,2017Q2,32,243,2009Q3,2017Q2,32,2004Q3,2017Q2,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2017Q3,52,2004Q4,2017Q3,2009Q3,2017Q3,33,243,2009Q3,2017Q3,33,2004Q4,2017Q3,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2017Q4,52,2005Q1,2017Q4,2009Q3,2017Q4,34,243,2009Q3,2017Q4,34,2005Q1,2017Q4,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2018Q1,52,2005Q2,2018Q1,2009Q3,2018Q1,35,243,2009Q3,2018Q1,35,2005Q2,2018Q1,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2018Q2,52,2005Q3,2018Q2,2009Q3,2018Q2,36,243,2009Q3,2018Q2,36,2005Q3,2018Q2,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2018Q3,52,2005Q4,2018Q3,2009Q3,2018Q3,37,243,2009Q3,2018Q3,37,2005Q4,2018Q3,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2018Q4,52,2006Q1,2018Q4,2009Q3,2018Q4,38,243,2009Q3,2018Q4,38,2006Q1,2018Q4,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2019Q1,52,2006Q2,2019Q1,2009Q3,2019Q1,39,243,2009Q3,2019Q1,39,2006Q2,2019Q1,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2019Q2,52,2006Q3,2019Q2,2009Q3,2019Q2,40,243,2009Q3,2019Q2,40,2006Q3,2019Q2,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2019Q3,52,2006Q4,2019Q3,2009Q3,2019Q3,41,243,2009Q3,2019Q3,41,2006Q4,2019Q3,effective_window_matches_training_fit_rows
C3,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w52,2019Q4,52,2007Q1,2019Q4,2009Q3,2019Q4,42,243,2009Q3,2019Q4,42,2007Q1,2019Q4,effective_window_matches_training_fit_rows
