candidate_id,artifact_basename,container_basename,archive_entry_name,source_location_class,source_scope,repo_relative_path,artifact_role,source_stage,size_bytes,sha256,container_sha256,is_archive_entry,status,used_for_recovery,required_for_replay,vendor_repo_relative_path,notes
heavy_parent_search_0175,canonical_feature_matrix_comparison.csv,,,repo_parity_debug,heavy_ruc_forward_parity_debug,artifacts/heavy_ruc_forward_parity_debug/canonical_feature_matrix_comparison.csv,parity_debug_evidence,parity_debug,1797050,7a51675f9cbdc1abe7dc6a4f87fcfbd1d0ecbe627c946f283c78ee0bf683a9b5,,False,diagnostic_evidence_not_parent_state,False,False,,Debug artifact documents parity status but is not a parent fitted estimator or exact parent feature matrix.
heavy_parent_search_0176,feature_matrix_comparison.csv,,,repo_parity_debug,heavy_ruc_forward_parity_debug,artifacts/heavy_ruc_forward_parity_debug/feature_matrix_comparison.csv,parity_debug_evidence,parity_debug,7478,0aba5c449656223d9e31d4f0489fadd6d247b601464bf69eb5f217c525ec1ee2,,False,diagnostic_evidence_not_parent_state,False,False,,Debug artifact documents parity status but is not a parent fitted estimator or exact parent feature matrix.
heavy_parent_search_0177,export_heavy_ruc_parent_fitted_state.py,,,repo_scripts,repo_scripts_heavy_ruc,scripts/export_heavy_ruc_parent_fitted_state.py,state_lineage_reference,state_or_estimator_lineage,54084,c4976bdf274c03245e4ec51ecb8e5983c813759b9214c19702b6184c6b720953,,False,not_original_parent_state,False,False,,"State/estimator reference found, but it is not an original parent fitted estimator."
heavy_parent_search_0178,heavy_ruc_bespoke_reconciliation_fullgrid.py,,,external_user_candidate_drop,local_heavy_ruc_named_candidates,,source_code_reference,source_code_lineage,77037,9db9dcea83b35c4d64849baaf75692742782487579c180bde204c1185b018a3d,,False,source_code_only,False,False,,Source code supports replay diagnosis but is not fitted state.
heavy_parent_search_0179,heavy_ruc_finalist_exact_reproducibility_audit.py,,,external_user_candidate_drop,local_heavy_ruc_named_candidates,,source_code_reference,source_code_lineage,36038,7089e76adc701ce842659cca1d1254192a9abb20e83568924109e20cf79701d0,,False,source_code_only,False,False,,Source code supports replay diagnosis but is not fitted state.
heavy_parent_search_0180,heavy_ruc_finalist_exact_reproducibility_audit.py,heavy_ruc_finalist_exact_reproducibility_audit_handoff.zip,heavy_ruc_finalist_exact_reproducibility_audit.py,external_user_candidate_drop,local_heavy_ruc_named_candidates,,source_code_reference,source_code_lineage,37696,b245f46b98a25ef2469f11639b58138951b6ca1ef25c753e61d1fd92aec541da,5e68b2db7a07d8b2a1d7e2acbbbfb5c9fab5b757ff66357b600839902729056a,True,source_code_only,False,False,,Source code supports replay diagnosis but is not fitted state.
heavy_parent_search_0181,heavy_ruc_fullgrid_rescue_closure.py,heavy_ruc_finalist_exact_reproducibility_audit_handoff.zip,heavy_ruc_fullgrid_rescue_closure.py,external_user_candidate_drop,local_heavy_ruc_named_candidates,,source_code_reference,source_code_lineage,86109,c85f629bdcf98ba8194b81564496d87848d44ad97198f9740c6db8e49faf91e9,5e68b2db7a07d8b2a1d7e2acbbbfb5c9fab5b757ff66357b600839902729056a,True,source_code_only,False,False,,Source code supports replay diagnosis but is not fitted state.
heavy_parent_search_0182,heavy_ruc_recon_static_reproducibility_audit.py,heavy_ruc_finalist_exact_reproducibility_audit_handoff.zip,heavy_ruc_repro_handoff/heavy_ruc_recon_static_reproducibility_audit.py,external_user_candidate_drop,local_heavy_ruc_named_candidates,,source_code_reference,source_code_lineage,31149,f0c1e6852e634da7117a5e389583ce2948704895b6151f7cada71ee8ff02ad1c,5e68b2db7a07d8b2a1d7e2acbbbfb5c9fab5b757ff66357b600839902729056a,True,source_code_only,False,False,,Source code supports replay diagnosis but is not fitted state.
heavy_parent_search_0183,heavy_ruc_finalist_exact_reproducibility_audit.py,heavy_ruc_finalist_exact_reproducibility_audit_handoff.zip,heavy_ruc_repro_handoff/heavy_ruc_finalist_exact_reproducibility_audit.py,external_user_candidate_drop,local_heavy_ruc_named_candidates,,source_code_reference,source_code_lineage,35686,c14ec8705a50a3d8606e1def70164ae4746855506ac0e09b7d85a389fc1721fb,5e68b2db7a07d8b2a1d7e2acbbbfb5c9fab5b757ff66357b600839902729056a,True,source_code_only,False,False,,Source code supports replay diagnosis but is not fitted state.
heavy_parent_search_0184,heavy_ruc_fullgrid_rescue_closure.py,,,external_user_candidate_drop,local_heavy_ruc_named_candidates,,source_code_reference,source_code_lineage,86109,c85f629bdcf98ba8194b81564496d87848d44ad97198f9740c6db8e49faf91e9,,False,source_code_only,False,False,,Source code supports replay diagnosis but is not fitted state.
