source_sheet,release_round,release_family,release_year,FY,horizon,series,metric,unit,forecast,raw_actual,crown_top_up,benchmark_actual,error,pct_error,source_cell,source_workbook_sheet,source_workbook_row,value_status,revenue_basis
OBU 2017,OBU17,OBU,2017,2024,7,Heavy RUC net km,Volume,million km,4264.545271865431,3903.861766,0,3903.861766,360.68350586543056,0.0923914645253939,J107,Forecast archive,107,forecast_archive,activity
PREFU 2017,PREFU17,PREFU,2017,2018,1,Heavy RUC net km,Volume,million km,3884.700069555894,4022.092402,0,4022.092402,-137.39233244410616,-0.034159417216717176,J108,Forecast archive,108,forecast_archive,activity
PREFU 2017,PREFU17,PREFU,2017,2019,2,Heavy RUC net km,Volume,million km,3943.817782870636,4071.164816,0,4071.164816,-127.34703312936381,-0.03128024506128563,J109,Forecast archive,109,forecast_archive,activity
PREFU 2017,PREFU17,PREFU,2017,2020,3,Heavy RUC net km,Volume,million km,4002.811668453792,3867.517432,0,3867.517432,135.2942364537921,0.034982191763212746,J110,Forecast archive,110,forecast_archive,activity
PREFU 2017,PREFU17,PREFU,2017,2021,4,Heavy RUC net km,Volume,million km,4064.26699666616,4141.235503,0,4141.235503,-76.96850633383974,-0.01858588005393127,J111,Forecast archive,111,forecast_archive,activity
PREFU 2017,PREFU17,PREFU,2017,2022,5,Heavy RUC net km,Volume,million km,4125.083045377769,4170.928916,0,4170.928916,-45.845870622230905,-0.010991765034969228,J112,Forecast archive,112,forecast_archive,activity
PREFU 2017,PREFU17,PREFU,2017,2023,6,Heavy RUC net km,Volume,million km,4185.961435571012,4152.746925,0,4152.746925,33.21451057101149,0.007998202435851899,J113,Forecast archive,113,forecast_archive,activity
PREFU 2017,PREFU17,PREFU,2017,2024,7,Heavy RUC net km,Volume,million km,4248.206009262001,3903.861766,0,3903.861766,344.3442432620013,0.08820605438978582,J114,Forecast archive,114,forecast_archive,activity
MOT summary sheets,BEFU18,BEFU,2018,2018,0,Heavy RUC net km,Volume,million km,3961.304620802509,4022.092402,0,4022.092402,-60.78778119749131,-0.01511347207420306,J115,Forecast archive,115,forecast_archive,activity
MOT summary sheets,BEFU18,BEFU,2018,2019,1,Heavy RUC net km,Volume,million km,3970.292568243494,4071.164816,0,4071.164816,-100.87224775650611,-0.024777244920193404,J116,Forecast archive,116,forecast_archive,activity
MOT summary sheets,BEFU18,BEFU,2018,2020,2,Heavy RUC net km,Volume,million km,4013.977086895743,3867.517432,0,3867.517432,146.45965489574291,0.03786916477322885,J117,Forecast archive,117,forecast_archive,activity
MOT summary sheets,BEFU18,BEFU,2018,2021,3,Heavy RUC net km,Volume,million km,4053.547856339858,4141.235503,0,4141.235503,-87.68764666014204,-0.021174271928418274,J118,Forecast archive,118,forecast_archive,activity
MOT summary sheets,BEFU18,BEFU,2018,2022,4,Heavy RUC net km,Volume,million km,4147.961740296999,4170.928916,0,4170.928916,-22.967175703000976,-0.005506489361373949,J119,Forecast archive,119,forecast_archive,activity
MOT summary sheets,BEFU18,BEFU,2018,2023,5,Heavy RUC net km,Volume,million km,4238.193861241592,4152.746925,0,4152.746925,85.44693624159117,0.02057600373554937,J120,Forecast archive,120,forecast_archive,activity
MOT summary sheets,BEFU18,BEFU,2018,2024,6,Heavy RUC net km,Volume,million km,4332.46405366959,3903.861766,0,3903.861766,428.6022876695897,0.10978930949923131,J121,Forecast archive,121,forecast_archive,activity
HYEFU 2018,HYEFU18,HYEFU,2018,2019,1,Heavy RUC net km,Volume,million km,4083.685324377715,4071.164816,0,4071.164816,12.520508377715032,0.00307541181543632,J122,Forecast archive,122,forecast_archive,activity
HYEFU 2018,HYEFU18,HYEFU,2018,2020,2,Heavy RUC net km,Volume,million km,4136.338109086843,3867.517432,0,3867.517432,268.82067708684326,0.06950729552312028,J123,Forecast archive,123,forecast_archive,activity
HYEFU 2018,HYEFU18,HYEFU,2018,2021,3,Heavy RUC net km,Volume,million km,4169.002707532344,4141.235503,0,4141.235503,27.767204532344294,0.0067050532412921545,J124,Forecast archive,124,forecast_archive,activity
HYEFU 2018,HYEFU18,HYEFU,2018,2022,4,Heavy RUC net km,Volume,million km,4261.817671964805,4170.928916,0,4170.928916,90.88875596480557,0.021791010538719423,J125,Forecast archive,125,forecast_archive,activity
HYEFU 2018,HYEFU18,HYEFU,2018,2023,5,Heavy RUC net km,Volume,million km,4352.842065450748,4152.746925,0,4152.746925,200.09514045074775,0.04818380317041538,J126,Forecast archive,126,forecast_archive,activity
HYEFU 2018,HYEFU18,HYEFU,2018,2024,6,Heavy RUC net km,Volume,million km,4445.233180986471,3903.861766,0,3903.861766,541.3714149864709,0.13867586698418738,J127,Forecast archive,127,forecast_archive,activity
MBU 2018,MBU18,MBU,2018,2018,0,Heavy RUC net km,Volume,million km,3975.499966617572,4022.092402,0,4022.092402,-46.59243538242799,-0.011584128539478539,J128,Forecast archive,128,forecast_archive,activity
MBU 2018,MBU18,MBU,2018,2019,1,Heavy RUC net km,Volume,million km,3964.602523509861,4071.164816,0,4071.164816,-106.56229249013904,-0.026174890309363257,J129,Forecast archive,129,forecast_archive,activity
MBU 2018,MBU18,MBU,2018,2020,2,Heavy RUC net km,Volume,million km,4087.5868074197,3867.517432,0,3867.517432,220.0693754197,0.056901973756817964,J130,Forecast archive,130,forecast_archive,activity
MBU 2018,MBU18,MBU,2018,2021,3,Heavy RUC net km,Volume,million km,4193.591768362411,4141.235503,0,4141.235503,52.35626536241125,0.012642667948848416,J131,Forecast archive,131,forecast_archive,activity
MBU 2018,MBU18,MBU,2018,2022,4,Heavy RUC net km,Volume,million km,4289.140035261824,4170.928916,0,4170.928916,118.21111926182402,0.0283416767925143,J132,Forecast archive,132,forecast_archive,activity
