Sheet,Cell,Cached error,Formula
Dashboard data,F20,#N/A,"IF(F$12<$U$4,NA(),IFERROR(F18/(1+INDEX('Error bands'!$E$5:$E$93,MATCH(Dashboard!$E$5&(F$12-$N$6),'Error bands'!$L$5:$L$93,0)))-F19,NA()))"
Dashboard data,G20,#N/A,"IF(G$12<$U$4,NA(),IFERROR(G18/(1+INDEX('Error bands'!$E$5:$E$93,MATCH(Dashboard!$E$5&(G$12-$N$6),'Error bands'!$L$5:$L$93,0)))-G19,NA()))"
Dashboard data,H20,#N/A,"IF(H$12<$U$4,NA(),IFERROR(H18/(1+INDEX('Error bands'!$E$5:$E$93,MATCH(Dashboard!$E$5&(H$12-$N$6),'Error bands'!$L$5:$L$93,0)))-H19,NA()))"
Dashboard data,I20,#N/A,"IF(I$12<$U$4,NA(),IFERROR(I18/(1+INDEX('Error bands'!$E$5:$E$93,MATCH(Dashboard!$E$5&(I$12-$N$6),'Error bands'!$L$5:$L$93,0)))-I19,NA()))"
Dashboard data,J20,#N/A,"IF(J$12<$U$4,NA(),IFERROR(J18/(1+INDEX('Error bands'!$E$5:$E$93,MATCH(Dashboard!$E$5&(J$12-$N$6),'Error bands'!$L$5:$L$93,0)))-J19,NA()))"
Dashboard data,K20,#N/A,"IF(K$12<$U$4,NA(),IFERROR(K18/(1+INDEX('Error bands'!$E$5:$E$93,MATCH(Dashboard!$E$5&(K$12-$N$6),'Error bands'!$L$5:$L$93,0)))-K19,NA()))"
Dashboard data,L20,#N/A,"IF(L$12<$U$4,NA(),IFERROR(L18/(1+INDEX('Error bands'!$E$5:$E$93,MATCH(Dashboard!$E$5&(L$12-$N$6),'Error bands'!$L$5:$L$93,0)))-L19,NA()))"
Dashboard data,M20,#N/A,"IF(M$12<$U$4,NA(),IFERROR(M18/(1+INDEX('Error bands'!$E$5:$E$93,MATCH(Dashboard!$E$5&(M$12-$N$6),'Error bands'!$L$5:$L$93,0)))-M19,NA()))"
Dashboard data,B57,#N/A,"IFERROR(INDEX($B$14:$S$14,1,MATCH($N$7,$B$12:$S$12,0)),NA())"
Dashboard data,B61,#N/A,"IFERROR(B58-B57,NA())"
Dashboard data,B62,#N/A,"IFERROR(B61/B57,NA())"
Dashboard data,N68,#N/A,
Dashboard data,O68,#N/A,
Dashboard data,P68,#N/A,
Dashboard data,Q68,#N/A,
Dashboard data,R68,#N/A,
Dashboard data,S68,#N/A,
Dashboard data,B69,#N/A,"IF(B$12>=$U$4-1,B15,NA())"
Dashboard data,C69,#N/A,
Dashboard data,D69,#N/A,
Dashboard data,E69,#N/A,
Dashboard data,F69,#N/A,
Dashboard data,G69,#N/A,
Dashboard data,H69,#N/A,
Dashboard data,I69,#N/A,
Dashboard data,J69,#N/A,
Dashboard data,K69,#N/A,
Dashboard data,L69,#N/A,
Dashboard data,B90,#N/A,"IF(B$12=$N$7,IFERROR(B18,NA()),NA())"
Dashboard data,C90,#N/A,
Dashboard data,D90,#N/A,
Dashboard data,E90,#N/A,
Dashboard data,F90,#N/A,
Dashboard data,G90,#N/A,
Dashboard data,H90,#N/A,
Dashboard data,I90,#N/A,
Dashboard data,J90,#N/A,
Dashboard data,K90,#N/A,
Dashboard data,L90,#N/A,
Dashboard data,M90,#N/A,
Dashboard data,N90,#N/A,
Dashboard data,O90,#N/A,
Dashboard data,P90,#N/A,
Dashboard data,Q90,#N/A,
Dashboard data,R90,#N/A,
Dashboard data,B91,#N/A,"IF(B$12=$N$7,IFERROR(_xludf.AGGREGATE(9,6,B70:B75),NA()),NA())"
Dashboard data,C91,#N/A,"IF(C$12=$N$7,IFERROR(_xludf.AGGREGATE(9,6,C70:C75),NA()),NA())"
Dashboard data,D91,#N/A,"IF(D$12=$N$7,IFERROR(_xludf.AGGREGATE(9,6,D70:D75),NA()),NA())"
Dashboard data,E91,#N/A,"IF(E$12=$N$7,IFERROR(_xludf.AGGREGATE(9,6,E70:E75),NA()),NA())"
Dashboard data,F91,#N/A,"IF(F$12=$N$7,IFERROR(_xludf.AGGREGATE(9,6,F70:F75),NA()),NA())"
Dashboard data,G91,#N/A,"IF(G$12=$N$7,IFERROR(_xludf.AGGREGATE(9,6,G70:G75),NA()),NA())"
Dashboard data,H91,#N/A,"IF(H$12=$N$7,IFERROR(_xludf.AGGREGATE(9,6,H70:H75),NA()),NA())"
Dashboard data,I91,#N/A,"IF(I$12=$N$7,IFERROR(_xludf.AGGREGATE(9,6,I70:I75),NA()),NA())"
Dashboard data,J91,#N/A,"IF(J$12=$N$7,IFERROR(_xludf.AGGREGATE(9,6,J70:J75),NA()),NA())"
Dashboard data,K91,#N/A,"IF(K$12=$N$7,IFERROR(_xludf.AGGREGATE(9,6,K70:K75),NA()),NA())"
Dashboard data,L91,#N/A,"IF(L$12=$N$7,IFERROR(_xludf.AGGREGATE(9,6,L70:L75),NA()),NA())"
Dashboard data,M91,#N/A,"IF(M$12=$N$7,IFERROR(_xludf.AGGREGATE(9,6,M70:M75),NA()),NA())"
Dashboard data,N91,#N/A,"IF(N$12=$N$7,IFERROR(_xludf.AGGREGATE(9,6,N70:N75),NA()),NA())"
Dashboard data,O91,#N/A,"IF(O$12=$N$7,IFERROR(_xludf.AGGREGATE(9,6,O70:O75),NA()),NA())"
Dashboard data,P91,#N/A,"IF(P$12=$N$7,IFERROR(_xludf.AGGREGATE(9,6,P70:P75),NA()),NA())"
Dashboard data,Q91,#N/A,"IF(Q$12=$N$7,IFERROR(_xludf.AGGREGATE(9,6,Q70:Q75),NA()),NA())"
Dashboard data,R91,#N/A,"IF(R$12=$N$7,IFERROR(_xludf.AGGREGATE(9,6,R70:R75),NA()),NA())"
Dashboard data,S91,#N/A,"IF(S$12=$N$7,IFERROR(_xludf.AGGREGATE(9,6,S70:S75),NA()),NA())"
Dashboard data,B94,#N/A,B13
Dashboard data,C94,#N/A,
Dashboard data,D94,#N/A,
Dashboard data,E94,#N/A,
Dashboard data,F94,#N/A,
Dashboard data,G94,#N/A,
Dashboard data,H94,#N/A,
Dashboard data,I94,#N/A,
Dashboard data,J94,#N/A,
Dashboard data,K94,#N/A,
Dashboard data,L94,#N/A,
Dashboard data,M94,#N/A,
Dashboard data,N95,#N/A,
Dashboard data,O95,#N/A,
Dashboard data,P95,#N/A,
Dashboard data,Q95,#N/A,
Dashboard data,R95,#N/A,
Dashboard data,S95,#N/A,
Dashboard data,N96,#N/A,"IF(N$12<$U$4,IFERROR(INDEX('MA Aaron'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Aaron'!$X$6:$X$40,0),MATCH(N$12,'MA Aaron'!$F$5:$W$5,0)),IFERROR(IF(N$12<$U$4,N95,N94),NA())),NA())"
Dashboard data,O96,#N/A,"IF(O$12<$U$4,IFERROR(INDEX('MA Aaron'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Aaron'!$X$6:$X$40,0),MATCH(O$12,'MA Aaron'!$F$5:$W$5,0)),IFERROR(IF(O$12<$U$4,O95,O94),NA())),NA())"
Dashboard data,P96,#N/A,"IF(P$12<$U$4,IFERROR(INDEX('MA Aaron'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Aaron'!$X$6:$X$40,0),MATCH(P$12,'MA Aaron'!$F$5:$W$5,0)),IFERROR(IF(P$12<$U$4,P95,P94),NA())),NA())"
Dashboard data,Q96,#N/A,"IF(Q$12<$U$4,IFERROR(INDEX('MA Aaron'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Aaron'!$X$6:$X$40,0),MATCH(Q$12,'MA Aaron'!$F$5:$W$5,0)),IFERROR(IF(Q$12<$U$4,Q95,Q94),NA())),NA())"
Dashboard data,R96,#N/A,"IF(R$12<$U$4,IFERROR(INDEX('MA Aaron'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Aaron'!$X$6:$X$40,0),MATCH(R$12,'MA Aaron'!$F$5:$W$5,0)),IFERROR(IF(R$12<$U$4,R95,R94),NA())),NA())"
Dashboard data,S96,#N/A,"IF(S$12<$U$4,IFERROR(INDEX('MA Aaron'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Aaron'!$X$6:$X$40,0),MATCH(S$12,'MA Aaron'!$F$5:$W$5,0)),IFERROR(IF(S$12<$U$4,S95,S94),NA())),NA())"
Dashboard data,B97,#N/A,"IF(B$12>=$U$4-1,IFERROR(INDEX('MA Aaron'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Aaron'!$X$6:$X$40,0),MATCH(B$12,'MA Aaron'!$F$5:$W$5,0)),IFERROR(IF(B$12<$U$4,B95,B94),NA())),NA())"
Dashboard data,C97,#N/A,"IF(C$12>=$U$4-1,IFERROR(INDEX('MA Aaron'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Aaron'!$X$6:$X$40,0),MATCH(C$12,'MA Aaron'!$F$5:$W$5,0)),IFERROR(IF(C$12<$U$4,C95,C94),NA())),NA())"
Dashboard data,D97,#N/A,"IF(D$12>=$U$4-1,IFERROR(INDEX('MA Aaron'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Aaron'!$X$6:$X$40,0),MATCH(D$12,'MA Aaron'!$F$5:$W$5,0)),IFERROR(IF(D$12<$U$4,D95,D94),NA())),NA())"
Dashboard data,E97,#N/A,"IF(E$12>=$U$4-1,IFERROR(INDEX('MA Aaron'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Aaron'!$X$6:$X$40,0),MATCH(E$12,'MA Aaron'!$F$5:$W$5,0)),IFERROR(IF(E$12<$U$4,E95,E94),NA())),NA())"
Dashboard data,F97,#N/A,"IF(F$12>=$U$4-1,IFERROR(INDEX('MA Aaron'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Aaron'!$X$6:$X$40,0),MATCH(F$12,'MA Aaron'!$F$5:$W$5,0)),IFERROR(IF(F$12<$U$4,F95,F94),NA())),NA())"
Dashboard data,G97,#N/A,"IF(G$12>=$U$4-1,IFERROR(INDEX('MA Aaron'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Aaron'!$X$6:$X$40,0),MATCH(G$12,'MA Aaron'!$F$5:$W$5,0)),IFERROR(IF(G$12<$U$4,G95,G94),NA())),NA())"
Dashboard data,H97,#N/A,"IF(H$12>=$U$4-1,IFERROR(INDEX('MA Aaron'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Aaron'!$X$6:$X$40,0),MATCH(H$12,'MA Aaron'!$F$5:$W$5,0)),IFERROR(IF(H$12<$U$4,H95,H94),NA())),NA())"
Dashboard data,I97,#N/A,"IF(I$12>=$U$4-1,IFERROR(INDEX('MA Aaron'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Aaron'!$X$6:$X$40,0),MATCH(I$12,'MA Aaron'!$F$5:$W$5,0)),IFERROR(IF(I$12<$U$4,I95,I94),NA())),NA())"
Dashboard data,J97,#N/A,"IF(J$12>=$U$4-1,IFERROR(INDEX('MA Aaron'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Aaron'!$X$6:$X$40,0),MATCH(J$12,'MA Aaron'!$F$5:$W$5,0)),IFERROR(IF(J$12<$U$4,J95,J94),NA())),NA())"
Dashboard data,K97,#N/A,"IF(K$12>=$U$4-1,IFERROR(INDEX('MA Aaron'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Aaron'!$X$6:$X$40,0),MATCH(K$12,'MA Aaron'!$F$5:$W$5,0)),IFERROR(IF(K$12<$U$4,K95,K94),NA())),NA())"
Dashboard data,L97,#N/A,"IF(L$12>=$U$4-1,IFERROR(INDEX('MA Aaron'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Aaron'!$X$6:$X$40,0),MATCH(L$12,'MA Aaron'!$F$5:$W$5,0)),IFERROR(IF(L$12<$U$4,L95,L94),NA())),NA())"
Dashboard data,N98,#N/A,"IF(N$12<$U$4,IFERROR(INDEX('MA Inhouse'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Inhouse'!$X$6:$X$40,0),MATCH(N$12,'MA Inhouse'!$F$5:$W$5,0)),IFERROR(IF(N$12<$U$4,N95,N94),NA())),NA())"
Dashboard data,O98,#N/A,"IF(O$12<$U$4,IFERROR(INDEX('MA Inhouse'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Inhouse'!$X$6:$X$40,0),MATCH(O$12,'MA Inhouse'!$F$5:$W$5,0)),IFERROR(IF(O$12<$U$4,O95,O94),NA())),NA())"
Dashboard data,P98,#N/A,"IF(P$12<$U$4,IFERROR(INDEX('MA Inhouse'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Inhouse'!$X$6:$X$40,0),MATCH(P$12,'MA Inhouse'!$F$5:$W$5,0)),IFERROR(IF(P$12<$U$4,P95,P94),NA())),NA())"
Dashboard data,Q98,#N/A,"IF(Q$12<$U$4,IFERROR(INDEX('MA Inhouse'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Inhouse'!$X$6:$X$40,0),MATCH(Q$12,'MA Inhouse'!$F$5:$W$5,0)),IFERROR(IF(Q$12<$U$4,Q95,Q94),NA())),NA())"
Dashboard data,R98,#N/A,"IF(R$12<$U$4,IFERROR(INDEX('MA Inhouse'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Inhouse'!$X$6:$X$40,0),MATCH(R$12,'MA Inhouse'!$F$5:$W$5,0)),IFERROR(IF(R$12<$U$4,R95,R94),NA())),NA())"
Dashboard data,S98,#N/A,"IF(S$12<$U$4,IFERROR(INDEX('MA Inhouse'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Inhouse'!$X$6:$X$40,0),MATCH(S$12,'MA Inhouse'!$F$5:$W$5,0)),IFERROR(IF(S$12<$U$4,S95,S94),NA())),NA())"
Dashboard data,B99,#N/A,"IF(B$12>=$U$4-1,IFERROR(INDEX('MA Inhouse'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Inhouse'!$X$6:$X$40,0),MATCH(B$12,'MA Inhouse'!$F$5:$W$5,0)),IFERROR(IF(B$12<$U$4,B95,B94),NA())),NA())"
Dashboard data,C99,#N/A,"IF(C$12>=$U$4-1,IFERROR(INDEX('MA Inhouse'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Inhouse'!$X$6:$X$40,0),MATCH(C$12,'MA Inhouse'!$F$5:$W$5,0)),IFERROR(IF(C$12<$U$4,C95,C94),NA())),NA())"
Dashboard data,D99,#N/A,"IF(D$12>=$U$4-1,IFERROR(INDEX('MA Inhouse'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Inhouse'!$X$6:$X$40,0),MATCH(D$12,'MA Inhouse'!$F$5:$W$5,0)),IFERROR(IF(D$12<$U$4,D95,D94),NA())),NA())"
Dashboard data,E99,#N/A,"IF(E$12>=$U$4-1,IFERROR(INDEX('MA Inhouse'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Inhouse'!$X$6:$X$40,0),MATCH(E$12,'MA Inhouse'!$F$5:$W$5,0)),IFERROR(IF(E$12<$U$4,E95,E94),NA())),NA())"
Dashboard data,F99,#N/A,"IF(F$12>=$U$4-1,IFERROR(INDEX('MA Inhouse'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Inhouse'!$X$6:$X$40,0),MATCH(F$12,'MA Inhouse'!$F$5:$W$5,0)),IFERROR(IF(F$12<$U$4,F95,F94),NA())),NA())"
Dashboard data,G99,#N/A,"IF(G$12>=$U$4-1,IFERROR(INDEX('MA Inhouse'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Inhouse'!$X$6:$X$40,0),MATCH(G$12,'MA Inhouse'!$F$5:$W$5,0)),IFERROR(IF(G$12<$U$4,G95,G94),NA())),NA())"
Dashboard data,H99,#N/A,"IF(H$12>=$U$4-1,IFERROR(INDEX('MA Inhouse'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Inhouse'!$X$6:$X$40,0),MATCH(H$12,'MA Inhouse'!$F$5:$W$5,0)),IFERROR(IF(H$12<$U$4,H95,H94),NA())),NA())"
Dashboard data,I99,#N/A,"IF(I$12>=$U$4-1,IFERROR(INDEX('MA Inhouse'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Inhouse'!$X$6:$X$40,0),MATCH(I$12,'MA Inhouse'!$F$5:$W$5,0)),IFERROR(IF(I$12<$U$4,I95,I94),NA())),NA())"
Dashboard data,J99,#N/A,"IF(J$12>=$U$4-1,IFERROR(INDEX('MA Inhouse'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Inhouse'!$X$6:$X$40,0),MATCH(J$12,'MA Inhouse'!$F$5:$W$5,0)),IFERROR(IF(J$12<$U$4,J95,J94),NA())),NA())"
Dashboard data,K99,#N/A,"IF(K$12>=$U$4-1,IFERROR(INDEX('MA Inhouse'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Inhouse'!$X$6:$X$40,0),MATCH(K$12,'MA Inhouse'!$F$5:$W$5,0)),IFERROR(IF(K$12<$U$4,K95,K94),NA())),NA())"
Dashboard data,L99,#N/A,"IF(L$12>=$U$4-1,IFERROR(INDEX('MA Inhouse'!$F$6:$W$40,MATCH(Dashboard!$E$5&""Model path"",'MA Inhouse'!$X$6:$X$40,0),MATCH(L$12,'MA Inhouse'!$F$5:$W$5,0)),IFERROR(IF(L$12<$U$4,L95,L94),NA())),NA())"
Dashboard data,B100,#N/A,"IF(B$12=$N$7,IF(Dashboard!$S$5=""Aaron Schiff model"",IFERROR(B96,B97),IFERROR(B98,B99)),NA())"
Dashboard data,C100,#N/A,"IF(C$12=$N$7,IF(Dashboard!$S$5=""Aaron Schiff model"",IFERROR(C96,C97),IFERROR(C98,C99)),NA())"
Dashboard data,D100,#N/A,"IF(D$12=$N$7,IF(Dashboard!$S$5=""Aaron Schiff model"",IFERROR(D96,D97),IFERROR(D98,D99)),NA())"
Dashboard data,E100,#N/A,"IF(E$12=$N$7,IF(Dashboard!$S$5=""Aaron Schiff model"",IFERROR(E96,E97),IFERROR(E98,E99)),NA())"
Dashboard data,F100,#N/A,"IF(F$12=$N$7,IF(Dashboard!$S$5=""Aaron Schiff model"",IFERROR(F96,F97),IFERROR(F98,F99)),NA())"
Dashboard data,G100,#N/A,"IF(G$12=$N$7,IF(Dashboard!$S$5=""Aaron Schiff model"",IFERROR(G96,G97),IFERROR(G98,G99)),NA())"
Dashboard data,H100,#N/A,"IF(H$12=$N$7,IF(Dashboard!$S$5=""Aaron Schiff model"",IFERROR(H96,H97),IFERROR(H98,H99)),NA())"
Dashboard data,I100,#N/A,"IF(I$12=$N$7,IF(Dashboard!$S$5=""Aaron Schiff model"",IFERROR(I96,I97),IFERROR(I98,I99)),NA())"
Dashboard data,J100,#N/A,"IF(J$12=$N$7,IF(Dashboard!$S$5=""Aaron Schiff model"",IFERROR(J96,J97),IFERROR(J98,J99)),NA())"
Dashboard data,K100,#N/A,"IF(K$12=$N$7,IF(Dashboard!$S$5=""Aaron Schiff model"",IFERROR(K96,K97),IFERROR(K98,K99)),NA())"
Dashboard data,L100,#N/A,"IF(L$12=$N$7,IF(Dashboard!$S$5=""Aaron Schiff model"",IFERROR(L96,L97),IFERROR(L98,L99)),NA())"
Dashboard data,M100,#N/A,"IF(M$12=$N$7,IF(Dashboard!$S$5=""Aaron Schiff model"",IFERROR(M96,M97),IFERROR(M98,M99)),NA())"
Dashboard data,N100,#N/A,"IF(N$12=$N$7,IF(Dashboard!$S$5=""Aaron Schiff model"",IFERROR(N96,N97),IFERROR(N98,N99)),NA())"
Dashboard data,O100,#N/A,"IF(O$12=$N$7,IF(Dashboard!$S$5=""Aaron Schiff model"",IFERROR(O96,O97),IFERROR(O98,O99)),NA())"
Dashboard data,P100,#N/A,"IF(P$12=$N$7,IF(Dashboard!$S$5=""Aaron Schiff model"",IFERROR(P96,P97),IFERROR(P98,P99)),NA())"
Dashboard data,Q100,#N/A,"IF(Q$12=$N$7,IF(Dashboard!$S$5=""Aaron Schiff model"",IFERROR(Q96,Q97),IFERROR(Q98,Q99)),NA())"
Dashboard data,R100,#N/A,"IF(R$12=$N$7,IF(Dashboard!$S$5=""Aaron Schiff model"",IFERROR(R96,R97),IFERROR(R98,R99)),NA())"
Dashboard data,B101,#N/A,"IF(B$12>MAX('Official actuals'!$B$5:$B$500),NA(),IFERROR(B104,NA()))"
Dashboard data,N101,#N/A,"IF(N$12>MAX('Official actuals'!$B$5:$B$500),NA(),IFERROR(N104,NA()))"
Dashboard data,O101,#N/A,"IF(O$12>MAX('Official actuals'!$B$5:$B$500),NA(),IFERROR(O104,NA()))"
Dashboard data,P101,#N/A,"IF(P$12>MAX('Official actuals'!$B$5:$B$500),NA(),IFERROR(P104,NA()))"
Dashboard data,Q101,#N/A,"IF(Q$12>MAX('Official actuals'!$B$5:$B$500),NA(),IFERROR(Q104,NA()))"
Dashboard data,R101,#N/A,"IF(R$12>MAX('Official actuals'!$B$5:$B$500),NA(),IFERROR(R104,NA()))"
Dashboard data,S101,#N/A,"IF(S$12>MAX('Official actuals'!$B$5:$B$500),NA(),IFERROR(S104,NA()))"
Dashboard data,B103,#N/A,NA()
Dashboard data,C103,#N/A,NA()
Dashboard data,D103,#N/A,NA()
Dashboard data,E103,#N/A,NA()
Dashboard data,F103,#N/A,NA()
Dashboard data,G103,#N/A,NA()
Dashboard data,H103,#N/A,NA()
Dashboard data,I103,#N/A,NA()
Dashboard data,J103,#N/A,NA()
Dashboard data,K103,#N/A,NA()
Dashboard data,L103,#N/A,NA()
Dashboard data,M103,#N/A,NA()
Dashboard data,N103,#N/A,NA()
Dashboard data,O103,#N/A,NA()
Dashboard data,P103,#N/A,NA()
Dashboard data,Q103,#N/A,NA()
Dashboard data,R103,#N/A,NA()
Dashboard data,S103,#N/A,NA()
Dashboard data,B104,#N/A,"IF(COUNTIFS('MOT release series'!$A$2:$A$50000,B$102,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,B$12)>0,SUMIFS('MOT release series'!$D$2:$D$50000,'MOT release series'!$A$2:$A$50000,B$102,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,B$12)+IF(Dashboard!$E$5=""Total NLTF revenue"",B117,0),NA())"
Dashboard data,O104,#N/A,"IF(COUNTIFS('MOT release series'!$A$2:$A$50000,O$102,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,O$12)>0,SUMIFS('MOT release series'!$D$2:$D$50000,'MOT release series'!$A$2:$A$50000,O$102,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,O$12)+IF(Dashboard!$E$5=""Total NLTF revenue"",O117,0),NA())"
Dashboard data,P104,#N/A,"IF(COUNTIFS('MOT release series'!$A$2:$A$50000,P$102,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,P$12)>0,SUMIFS('MOT release series'!$D$2:$D$50000,'MOT release series'!$A$2:$A$50000,P$102,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,P$12)+IF(Dashboard!$E$5=""Total NLTF revenue"",P117,0),NA())"
Dashboard data,Q104,#N/A,"IF(COUNTIFS('MOT release series'!$A$2:$A$50000,Q$102,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,Q$12)>0,SUMIFS('MOT release series'!$D$2:$D$50000,'MOT release series'!$A$2:$A$50000,Q$102,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,Q$12)+IF(Dashboard!$E$5=""Total NLTF revenue"",Q117,0),NA())"
Dashboard data,R104,#N/A,"IF(COUNTIFS('MOT release series'!$A$2:$A$50000,R$102,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,R$12)>0,SUMIFS('MOT release series'!$D$2:$D$50000,'MOT release series'!$A$2:$A$50000,R$102,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,R$12)+IF(Dashboard!$E$5=""Total NLTF revenue"",R117,0),NA())"
Dashboard data,S104,#N/A,"IF(COUNTIFS('MOT release series'!$A$2:$A$50000,S$102,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,S$12)>0,SUMIFS('MOT release series'!$D$2:$D$50000,'MOT release series'!$A$2:$A$50000,S$102,'MOT release series'!$B$2:$B$50000,IF(Dashboard!$E$5=""Total RUC+PED revenue"",""Total FED+RUC net revenue"",Dashboard!$E$5),'MOT release series'!$C$2:$C$50000,S$12)+IF(Dashboard!$E$5=""Total NLTF revenue"",S117,0),NA())"
Dashboard data,N105,#N/A,"IF(COUNTIFS('Forecast archive'!$B$5:$B$1977,N$102,'Forecast archive'!$G$5:$G$1977,""Total RUC+PED revenue"",'Forecast archive'!$E$5:$E$1977,N$12,'Forecast archive'!$F$5:$F$1977,1)>0,SUMIFS('Forecast archive'!$J$5:$J$1977,'Forecast archive'!$B$5:$B$1977,N$102,'Forecast archive'!$G$5:$G$1977,""Total RUC+PED revenue"",'Forecast archive'!$E$5:$E$1977,N$12,'Forecast archive'!$F$5:$F$1977,1),NA())"
Dashboard data,O105,#N/A,"IF(COUNTIFS('Forecast archive'!$B$5:$B$1977,O$102,'Forecast archive'!$G$5:$G$1977,""Total RUC+PED revenue"",'Forecast archive'!$E$5:$E$1977,O$12,'Forecast archive'!$F$5:$F$1977,1)>0,SUMIFS('Forecast archive'!$J$5:$J$1977,'Forecast archive'!$B$5:$B$1977,O$102,'Forecast archive'!$G$5:$G$1977,""Total RUC+PED revenue"",'Forecast archive'!$E$5:$E$1977,O$12,'Forecast archive'!$F$5:$F$1977,1),NA())"
Dashboard data,P105,#N/A,"IF(COUNTIFS('Forecast archive'!$B$5:$B$1977,P$102,'Forecast archive'!$G$5:$G$1977,""Total RUC+PED revenue"",'Forecast archive'!$E$5:$E$1977,P$12,'Forecast archive'!$F$5:$F$1977,1)>0,SUMIFS('Forecast archive'!$J$5:$J$1977,'Forecast archive'!$B$5:$B$1977,P$102,'Forecast archive'!$G$5:$G$1977,""Total RUC+PED revenue"",'Forecast archive'!$E$5:$E$1977,P$12,'Forecast archive'!$F$5:$F$1977,1),NA())"
