scenario_name,scenario_role,series_id,stream,annual_period,value_status,forecast_quarter,committed_forecast_value,scenario_input_status,mismatch_status,mismatch_reason,workbook_sha256,manifest_workbook_sha256,required_feature_count,missing_required_feature_count,replay_forecast_value,promoted_forecast_value,replay_abs_delta,replay_tolerance,replay_status,replay_reason,source_artifact
current_basecase,basecase,current_light_ruc_conventional_modelled_km,LIGHT_RUC,FY2030,current_finalist_forecast,2030Q1,14129.750867690173,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,19,0,3571388279.4264145,3571388279.4264145,0.0,0.0035713882794264143,pass,,scenario_inputs/scenario_input_long.parquet
current_basecase,basecase,current_light_ruc_conventional_modelled_km,LIGHT_RUC,FY2030,current_finalist_forecast,2030Q2,14129.750867690173,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,19,0,3595347705.5040107,3595347705.5040107,0.0,0.0035953477055040107,pass,,scenario_inputs/scenario_input_long.parquet
current_basecase,basecase,ped_vkt_per_capita,PED,FY2025,Actual anchor,,5973.14429429917,actual_anchor_no_workbook_replay_required,not_applicable,Annual row contains actual-anchor quarters only.,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,0,0,,,,,not_applicable,Actual-anchor row is not a promoted future forecast row.,mbu26_actual_anchor
current_basecase,basecase,ped_vkt_per_capita,PED,FY2026,Current-finalist FY nowcast (2 actual + 2 forecast),2026Q1,6169.513389534369,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,20,0,1529.8881193068491,1529.8881193068491,0.0,1e-06,pass,,scenario_inputs/scenario_input_long.parquet
current_basecase,basecase,ped_vkt_per_capita,PED,FY2026,Current-finalist FY nowcast (2 actual + 2 forecast),2026Q2,6169.513389534369,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,20,0,1529.4019970974282,1529.4019970974282,0.0,1e-06,pass,,scenario_inputs/scenario_input_long.parquet
current_basecase,basecase,ped_vkt_per_capita,PED,FY2027,current_finalist_forecast,2026Q3,6141.008454644322,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,20,0,1537.67393490705,1537.67393490705,0.0,1e-06,pass,,scenario_inputs/scenario_input_long.parquet
current_basecase,basecase,ped_vkt_per_capita,PED,FY2027,current_finalist_forecast,2026Q4,6141.008454644322,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,20,0,1547.5834747893223,1547.5834747893225,2.2737367544323206e-13,1e-06,pass,,scenario_inputs/scenario_input_long.parquet
current_basecase,basecase,ped_vkt_per_capita,PED,FY2027,current_finalist_forecast,2027Q1,6141.008454644322,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,20,0,1531.4418782380003,1531.4418782380003,0.0,1e-06,pass,,scenario_inputs/scenario_input_long.parquet
current_basecase,basecase,ped_vkt_per_capita,PED,FY2027,current_finalist_forecast,2027Q2,6141.008454644322,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,20,0,1524.3091667099493,1524.3091667099493,0.0,1e-06,pass,,scenario_inputs/scenario_input_long.parquet
current_basecase,basecase,ped_vkt_per_capita,PED,FY2028,current_finalist_forecast,2027Q3,6138.046444659734,matched_committed_scenario_input,pass,,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,d0644d353ee5a073602186cf7ac5c16e707d5350e16fd037b73a65528067cc6a,20,0,1531.3876310781338,1531.3876310781338,0.0,1e-06,pass,,scenario_inputs/scenario_input_long.parquet
