metric_type,time_grain,row_type,scenario_name,scenario_role,stream,stream_label,period,target_period,june_year,horizon,horizon_scope,value,value_unit,forecast_available,bridge_status,bridge_method,rate_value,rate_unit,gap_code,gap_reason,source,quarter_count,aggregation_method,canonical_stream_key,canonical_period_key,canonical_scenario_key,canonical_join_key
activity,quarterly,future_forecast,current_basecase,basecase,LIGHT_RUC,Light RUC volume,2035Q3,2035Q3,2036,39,H13+,3880327508.275123,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2035Q3,current_basecase,LIGHT_RUC|2035Q3|current_basecase
activity,quarterly,future_forecast,current_comparison_1,comparison,LIGHT_RUC,Light RUC volume,2035Q3,2035Q3,2036,39,H13+,4086836343.1603656,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2035Q3,current_comparison_1,LIGHT_RUC|2035Q3|current_comparison_1
activity,quarterly,future_forecast,current_basecase,basecase,LIGHT_RUC,Light RUC volume,2035Q4,2035Q4,2036,40,H13+,4135275054.292098,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2035Q4,current_basecase,LIGHT_RUC|2035Q4|current_basecase
activity,quarterly,future_forecast,current_comparison_1,comparison,LIGHT_RUC,Light RUC volume,2035Q4,2035Q4,2036,40,H13+,4361156644.243575,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2035Q4,current_comparison_1,LIGHT_RUC|2035Q4|current_comparison_1
activity,quarterly,future_forecast,current_basecase,basecase,LIGHT_RUC,Light RUC volume,2036Q1,2036Q1,2036,41,H13+,4129678293.853464,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2036Q1,current_basecase,LIGHT_RUC|2036Q1|current_basecase
activity,quarterly,future_forecast,current_comparison_1,comparison,LIGHT_RUC,Light RUC volume,2036Q1,2036Q1,2036,41,H13+,4358887289.227711,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2036Q1,current_comparison_1,LIGHT_RUC|2036Q1|current_comparison_1
activity,quarterly,future_forecast,current_basecase,basecase,LIGHT_RUC,Light RUC volume,2036Q2,2036Q2,2036,42,H13+,4149645567.9476504,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2036Q2,current_basecase,LIGHT_RUC|2036Q2|current_basecase
activity,quarterly,future_forecast,current_comparison_1,comparison,LIGHT_RUC,Light RUC volume,2036Q2,2036Q2,2036,42,H13+,4383616533.963996,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2036Q2,current_comparison_1,LIGHT_RUC|2036Q2|current_comparison_1
activity,quarterly,future_forecast,current_basecase,basecase,LIGHT_RUC,Light RUC volume,2036Q3,2036Q3,2037,43,H13+,3971849249.9171605,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2036Q3,current_basecase,LIGHT_RUC|2036Q3|current_basecase
activity,quarterly,future_forecast,current_comparison_1,comparison,LIGHT_RUC,Light RUC volume,2036Q3,2036Q3,2037,43,H13+,4199295560.5893464,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2036Q3,current_comparison_1,LIGHT_RUC|2036Q3|current_comparison_1
activity,quarterly,future_forecast,current_basecase,basecase,LIGHT_RUC,Light RUC volume,2036Q4,2036Q4,2037,44,H13+,4231397801.85316,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2036Q4,current_basecase,LIGHT_RUC|2036Q4|current_basecase
activity,quarterly,future_forecast,current_comparison_1,comparison,LIGHT_RUC,Light RUC volume,2036Q4,2036Q4,2037,44,H13+,4477438983.733645,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2036Q4,current_comparison_1,LIGHT_RUC|2036Q4|current_comparison_1
activity,quarterly,future_forecast,current_basecase,basecase,LIGHT_RUC,Light RUC volume,2037Q1,2037Q1,2037,45,H13+,4225671344.12657,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2037Q1,current_basecase,LIGHT_RUC|2037Q1|current_basecase
activity,quarterly,future_forecast,current_comparison_1,comparison,LIGHT_RUC,Light RUC volume,2037Q1,2037Q1,2037,45,H13+,4475109540.996777,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2037Q1,current_comparison_1,LIGHT_RUC|2037Q1|current_comparison_1
activity,quarterly,future_forecast,current_basecase,basecase,LIGHT_RUC,Light RUC volume,2037Q2,2037Q2,2037,46,H13+,4246103150.380363,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2037Q2,current_basecase,LIGHT_RUC|2037Q2|current_basecase
activity,quarterly,future_forecast,current_comparison_1,comparison,LIGHT_RUC,Light RUC volume,2037Q2,2037Q2,2037,46,H13+,4500498571.804808,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2037Q2,current_comparison_1,LIGHT_RUC|2037Q2|current_comparison_1
activity,quarterly,future_forecast,current_basecase,basecase,LIGHT_RUC,Light RUC volume,2037Q3,2037Q3,2038,47,H13+,4064174379.1427627,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2037Q3,current_basecase,LIGHT_RUC|2037Q3|current_basecase
activity,quarterly,future_forecast,current_comparison_1,comparison,LIGHT_RUC,Light RUC volume,2037Q3,2037Q3,2038,47,H13+,4311263383.748754,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2037Q3,current_comparison_1,LIGHT_RUC|2037Q3|current_comparison_1
activity,quarterly,future_forecast,current_basecase,basecase,LIGHT_RUC,Light RUC volume,2037Q4,2037Q4,2038,48,H13+,4329756511.73449,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2037Q4,current_basecase,LIGHT_RUC|2037Q4|current_basecase
activity,quarterly,future_forecast,current_comparison_1,comparison,LIGHT_RUC,Light RUC volume,2037Q4,2037Q4,2038,48,H13+,4596823510.6444025,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2037Q4,current_comparison_1,LIGHT_RUC|2037Q4|current_comparison_1
activity,quarterly,future_forecast,current_basecase,basecase,LIGHT_RUC,Light RUC volume,2038Q1,2038Q1,2038,49,H13+,4323897350.065298,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2038Q1,current_basecase,LIGHT_RUC|2038Q1|current_basecase
activity,quarterly,future_forecast,current_comparison_1,comparison,LIGHT_RUC,Light RUC volume,2038Q1,2038Q1,2038,49,H13+,4594432389.515958,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2038Q1,current_comparison_1,LIGHT_RUC|2038Q1|current_comparison_1
activity,quarterly,future_forecast,current_basecase,basecase,LIGHT_RUC,Light RUC volume,2038Q2,2038Q2,2038,50,H13+,4344804504.617999,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2038Q2,current_basecase,LIGHT_RUC|2038Q2|current_basecase
activity,quarterly,future_forecast,current_comparison_1,comparison,LIGHT_RUC,Light RUC volume,2038Q2,2038Q2,2038,50,H13+,4620498820.711456,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2038Q2,current_comparison_1,LIGHT_RUC|2038Q2|current_comparison_1
activity,quarterly,future_forecast,current_basecase,basecase,LIGHT_RUC,Light RUC volume,2038Q3,2038Q3,2039,51,H13+,4158647162.0185547,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2038Q3,current_basecase,LIGHT_RUC|2038Q3|current_basecase
activity,quarterly,future_forecast,current_comparison_1,comparison,LIGHT_RUC,Light RUC volume,2038Q3,2038Q3,2039,51,H13+,4426218327.124513,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2038Q3,current_comparison_1,LIGHT_RUC|2038Q3|current_comparison_1
activity,quarterly,future_forecast,current_basecase,basecase,LIGHT_RUC,Light RUC volume,2038Q4,2038Q4,2039,52,H13+,4430403238.115477,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2038Q4,current_basecase,LIGHT_RUC|2038Q4|current_basecase
activity,quarterly,future_forecast,current_comparison_1,comparison,LIGHT_RUC,Light RUC volume,2038Q4,2038Q4,2039,52,H13+,4719393036.133857,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2038Q4,current_comparison_1,LIGHT_RUC|2038Q4|current_comparison_1
activity,quarterly,future_forecast,current_basecase,basecase,LIGHT_RUC,Light RUC volume,2039Q1,2039Q1,2039,53,H13+,4424408296.121748,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2039Q1,current_basecase,LIGHT_RUC|2039Q1|current_basecase
activity,quarterly,future_forecast,current_comparison_1,comparison,LIGHT_RUC,Light RUC volume,2039Q1,2039Q1,2039,53,H13+,4716938603.845768,net km,True,numeric_forecast_available,fixed_finalist_activity_forecast,,,,,forecast_scenario_comparison.parquet,,,LIGHT_RUC,2039Q1,current_comparison_1,LIGHT_RUC|2039Q1|current_comparison_1
