engine,source_path,series_id,FY,value,unit,formula,value_status,forecast_segment
ar1,Current finalist Base case,gross_mvr_revenue,2044,509.63423431789107,$m nominal ex GST,MR1 + MR2 + COO,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_mvr_revenue,2045,507.8558373928368,$m nominal ex GST,MR1 + MR2 + COO,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_mvr_revenue,2046,506.17731612325764,$m nominal ex GST,MR1 + MR2 + COO,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_mvr_revenue,2047,504.5899822904554,$m nominal ex GST,MR1 + MR2 + COO,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_mvr_revenue,2048,503.0860075150547,$m nominal ex GST,MR1 + MR2 + COO,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_mvr_revenue,2049,501.658334426522,$m nominal ex GST,MR1 + MR2 + COO,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_mvr_revenue,2050,500.30059702186173,$m nominal ex GST,MR1 + MR2 + COO,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_ped_revenue,2031,2767.484677106683,$m nominal ex GST,extrapolated PED litres * BEFU26 PED rate,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_ped_revenue,2032,2853.7847200552756,$m nominal ex GST,extrapolated PED litres * BEFU26 PED rate,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_ped_revenue,2033,2935.6682878308784,$m nominal ex GST,extrapolated PED litres * BEFU26 PED rate,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_ped_revenue,2034,3014.954268909226,$m nominal ex GST,extrapolated PED litres * BEFU26 PED rate,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_ped_revenue,2035,3092.246098116812,$m nominal ex GST,extrapolated PED litres * BEFU26 PED rate,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_ped_revenue,2036,3167.4067525399614,$m nominal ex GST,extrapolated PED litres * BEFU26 PED rate,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_ped_revenue,2037,3239.432106679309,$m nominal ex GST,extrapolated PED litres * BEFU26 PED rate,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_ped_revenue,2038,3308.8924295171473,$m nominal ex GST,extrapolated PED litres * BEFU26 PED rate,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_ped_revenue,2039,3375.997484912518,$m nominal ex GST,extrapolated PED litres * BEFU26 PED rate,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_ped_revenue,2040,3440.731862363323,$m nominal ex GST,extrapolated PED litres * BEFU26 PED rate,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_ped_revenue,2041,3502.5330720261686,$m nominal ex GST,extrapolated PED litres * BEFU26 PED rate,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_ped_revenue,2042,3559.4054153803277,$m nominal ex GST,extrapolated PED litres * BEFU26 PED rate,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_ped_revenue,2043,3613.7871346789734,$m nominal ex GST,extrapolated PED litres * BEFU26 PED rate,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_ped_revenue,2044,3665.6925231388645,$m nominal ex GST,extrapolated PED litres * BEFU26 PED rate,post_model_extrapolation,post_model_extrapolation
ar1,Current finalist Base case,gross_ped_revenue,2045,3715.145941180494,$m nominal ex GST,extrapolated PED litres * BEFU26 PED rate,post_model_extrapolation,post_model_extrapolation
