candidate_id,scenario_name,fy,pool_anchor_fy2030,hybrid_pool_index,expected_pool_million_km,emitted_class_sum_million_km,class_sum_residual,scenario_population_from_input_path,emitted_light_petrol_vkt,expected_light_petrol_vkt,ped_identity_residual
gradual_structural,current_basecase,2037,19291.158087465952,1.4027122903097098,27059.944543596048,27059.944543596048,0.0,5789883.272154019,33184.43564648964,33184.43564648964,0.0
gradual_structural,current_basecase,2038,19291.158087465952,1.4844402444881544,28636.571427817595,28636.571427817595,0.0,5827517.543523213,32345.495597068086,32345.49559706809,-3.637978807091713e-12
gradual_structural,current_basecase,2039,19291.158087465952,1.576405065659925,30410.67933152776,30410.67933152776,0.0,5865396.4388599135,31181.939058304968,31181.939058304968,0.0
gradual_structural,current_basecase,2040,19291.158087465952,1.67686473003016,32348.662598307732,32348.66259830773,-3.637978807091713e-12,5903521.547417235,29681.230022837495,29681.230022837495,0.0
gradual_structural,current_basecase,2041,19291.158087465952,1.7810577846246456,34358.66728610593,34358.66728610592,-7.275957614183426e-12,5940790.360825924,27853.733210261362,27853.733210261355,7.275957614183426e-12
gradual_structural,current_basecase,2042,19291.158087465952,1.8874867452456146,36411.805190529725,36411.805190529725,0.0,5973835.040008055,25629.725832392294,25629.725832392294,0.0
gradual_structural,current_basecase,2043,19291.158087465952,1.9912147253897945,38412.83805358463,38412.83805358464,7.275957614183426e-12,6006691.160102674,23190.62354794227,23190.62354794227,0.0
gradual_structural,current_basecase,2044,19291.158087465952,2.0843695477958666,40209.90245922998,40209.90245922998,0.0,6039727.989024792,20709.069021208663,20709.069021208663,0.0
gradual_structural,current_basecase,2045,19291.158087465952,2.171296446671145,41886.82300748614,41886.82300748615,7.275957614183426e-12,6072952.237311606,18309.46744888508,18309.46744888508,0.0
gradual_structural,current_basecase,2046,19291.158087465952,2.2616912338678667,43630.64313758095,43630.64313758095,0.0,6106347.507795831,16087.753396726144,16087.753396726144,0.0
gradual_structural,current_basecase,2047,19291.158087465952,2.3518685501263663,45370.26800142707,45370.26800142707,0.0,6139932.707409499,14100.918727691902,14100.918727691902,0.0
gradual_structural,current_basecase,2048,19291.158087465952,2.4472463149181514,47210.215540054545,47210.215540054545,0.0,6173702.365522396,12402.284324161787,12402.284324161787,0.0
gradual_structural,current_basecase,2049,19291.158087465952,2.5345264432035526,48893.950292702524,48893.95029270252,-7.275957614183426e-12,6207657.756924774,10988.232143898706,10988.232143898706,0.0
gradual_structural,current_basecase,2050,19291.158087465952,2.608129816269767,50313.8445982936,50313.84459829361,7.275957614183426e-12,6241799.9031503545,9860.981003271809,9860.981003271809,0.0
gradual_structural,current_comparison_1,2031,19718.636295565673,1.0437817938218683,20581.95356430654,20581.95356430654,0.0,5765576.261469356,35164.72304093377,35164.72304093377,0.0
gradual_structural,current_comparison_1,2032,19718.636295565673,1.0898492506591517,21490.3409907426,21490.3409907426,0.0,5852026.479969032,35581.81013829067,35581.81013829067,0.0
gradual_structural,current_comparison_1,2033,19718.636295565673,1.1392551267206557,22464.557491663192,22464.55749166319,-3.637978807091713e-12,5939808.461475612,35882.67070844003,35882.67070844003,0.0
gradual_structural,current_comparison_1,2034,19718.636295565673,1.1951180611555126,23566.098378187166,23566.098378187166,0.0,6028905.525829928,36075.84239061704,36075.84239061704,0.0
gradual_structural,current_comparison_1,2035,19718.636295565673,1.2582715185473283,24811.398435303883,24811.398435303883,0.0,6119337.031954986,36100.70019462743,36100.70019462743,0.0
gradual_structural,current_comparison_1,2036,19718.636295565673,1.3273081654940784,26172.706967512222,26172.706967512222,0.0,6211125.690909072,35887.33593814594,35887.33593814594,0.0
gradual_structural,current_comparison_1,2037,19718.636295565673,1.4027122903097098,27659.5734799371,27659.5734799371,0.0,6304292.054869596,35387.71040696673,35387.71040696673,0.0
gradual_structural,current_comparison_1,2038,19718.636295565673,1.4844402444881544,29271.137283562504,29271.137283562504,0.0,6398856.545125103,34536.01822373801,34536.01822373801,0.0
gradual_structural,current_comparison_1,2039,19718.636295565673,1.576405065659925,31084.558144235387,31084.558144235387,0.0,6494839.506114282,33292.05481629815,33292.05481629815,0.0
gradual_structural,current_comparison_1,2040,19718.636295565673,1.67686473003016,33065.48572832665,33065.48572832665,0.0,6592262.2135971775,31648.744350149074,31648.744350149074,0.0
