calendar_year,light_bev_million_km,phev_million_km,light_ruc_conventional_million_km,light_petrol_million_km,heavy_conventional_million_km,heavy_bev_million_km,conventional_diesel_plus_hybrid,light_ruc_pool_million_km,bev_share_of_pool_base,share_points_added_vs_prior_year,growth_vs_prior_year,headroom_left,taper_law_steepness_x_headroom,bev_share_fast,bev_share_slow,dashboard_dial_curve,midpoint_share_base,growth_on_midpoint_basis,source_row,reconstructed_dial_curve,reconstruction_abs_error,dial_curve_year_offset,dial_peak_uptake_speed_share_points_per_year,dial_curve_ceiling_saturation_share,dial_steepness,dial_midpoint_year_of_fastest_uptake
2038,13106.301497690003,3768.60997063,10450.085439230003,28820.822045589994,3564.825231700001,341.1747682999999,39270.907484819996,27324.996907550005,0.47964512281678173,4.615024459439815,0.10646087627066025,0.4789224369091778,0.08844971658976197,0.5388250793877022,0.3902675284699268,0.4814784127511266,0.45657000051958263,0.10108032621915274,133,0.4814784127511266,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2039,15388.484678100001,3860.93819979,9967.491044119999,27533.755108799996,3531.251938199999,380.71806177999997,37501.24615291999,29216.913922009997,0.52669781343701,4.705269062022833,0.09809896605203638,0.4278052667370533,0.07900914987968224,0.5863369796113206,0.43703942625114434,0.5235889016968481,0.503171468126896,0.09351223906909205,134,0.5235889016968481,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2040,17889.258575260006,3844.9166837199987,9468.736275219999,26034.733995050003,3495.5989192699985,422.45108075999997,35503.47027027,31202.911534200004,0.5733201709607276,4.662235752371757,0.08851822873438486,0.3771556024574735,0.06965492442345247,0.6306960457397225,0.4849290338347198,0.5646453737959755,0.5500089921988689,0.08476653688392816,135,0.5646453737959755,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2041,20518.15438687,3776.8269630600007,9000.419870750002,24400.69979928,3459.2400213100013,465.3199786999999,33401.11967003,33295.40122068,0.6162458968695662,4.292572590883859,0.07487217105392752,0.330521890184689,0.06104238444583914,0.6706265194096607,0.5307014862064816,0.6040217905600186,0.594783033915147,0.07217039401120924,136,0.6040217905600186,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2042,23134.563862699997,3682.2849251299995,8559.76696519,22648.045347449992,3420.5691022900005,510.71089779,31207.81231263999,35376.61575302,0.6539507346947133,3.770483782514711,0.061184728396054044,0.28956005386853556,0.053477354006793196,0.705420910865229,0.5735006167907171,0.6411961701112567,0.6350983157821397,0.05936850545527371,137,0.6411961701112567,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2043,25647.7194378,3578.5458580200007,8128.64571268,20927.362505590005,3378.5321824400007,559.4678175399999,29056.008218270006,37354.9110085,0.6865956508894892,3.264491619477583,0.049919534397366405,0.25409522254036276,0.04692753708836917,0.7354273670520758,0.6112454133515115,0.6757729308051658,0.6702731927921013,0.04870389647956771,138,0.6757729308051658,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2044,27884.358339090006,3462.8469170299995,7723.915190710001,19278.21936827999,3335.6960353899995,612.48396461,27002.134558989994,39071.120446830006,0.713682075666002,2.7086424776512796,0.03945032966844764,0.22466903316830988,0.04149296583070992,0.7603466926635385,0.6427391615638542,0.7074909963544714,0.7001388632777455,0.03868721791803691,139,0.7074909963544714,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2045,30126.723261849995,3342.8783677399997,7337.192115379999,17742.40488061001,3289.732119709999,668.6278803199999,25079.59699599001,40806.79374497,0.7382771469410907,2.4595071275088753,0.03446222360584983,0.1979494040208165,0.03655825523178362,0.7827505013932686,0.67148233254388,0.7362189907351824,0.7259796113035464,0.033878460072627396,140,0.7362189907351824,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2046,32355.5138496,3220.09247294,6966.228842979998,16316.512275269995,3240.023279959998,728.7367200300001,23282.741118249993,42541.835165519995,0.7605575482043151,2.228040126322439,0.030178912289969828,0.1737443894326427,0.03208795583593169,0.8029517943571806,0.6976056271014334,0.7619405852410605,0.7494173475727028,0.029730298258225086,141,0.7619405852410605,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2047,34544.405153550004,3104.136451549999,6606.49016094,15013.48184087,3188.280817930001,791.0991820799999,21619.972001809998,44255.03176604,0.7805757622358855,2.0018214031570447,0.026320446202701797,0.15199697308502402,0.02807153759309375,0.8210523578111251,0.7211510152245326,0.7847338020761883,0.7705666552201003,0.02597856252403312,142,0.7847338020761883,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2048,36762.40993471999,2994.538932890001,6256.89527952,13834.609097669998,3133.33060113,856.66939886,20091.50437719,46013.84414712999,0.7989423751941178,1.8366612958232276,0.02352957117912924,0.1320438255031111,0.024386493601244657,0.83761716088493,0.742813972345896,0.8047479348305252,0.7897590687150017,0.023255969682141362,143,0.8047479348305252,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2049,38588.577453629994,2875.9481621899995,5912.76611959,12726.558239399996,3076.9400073699985,922.81999267,18639.324358989994,47377.29173540999,0.8144952157488716,1.555284055475381,0.019466786388661506,0.11514750805946028,0.021265999813259988,0.8517327434021388,0.7610222615160078,0.8221810200608636,0.8067187954714947,0.01927913498738281,144,0.8221810200608636,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
2050,40287.42026616001,2757.737300650001,5581.681286890001,11722.364867340006,3019.8670756099987,989.6529243999998,17304.046154230007,48626.83885370001,0.8285017331142953,1.4006517365423687,0.01719656186383567,0.09993108744143564,0.018455757512103984,0.8642514287431988,0.7773572638204361,0.8372598286196808,0.8214984744315834,0.017049961504937875,145,0.8372598286196808,0.0,0.5,0.0425,0.920487,0.18468484617381886,2038.0
