composition_source,composition_role,fy,hybrid_pool_million_km,conventional_share,bev_share,phev_share,conventional_million_km,light_bev_million_km,phev_million_km,raw_share_sum,class_sum_million_km,class_sum_minus_pool
exact_VFM_Slow_EV,governed_alternative,2038,28722.090543516646,0.506345,0.369131,0.124524,14543.286936256938,10602.214004418842,3576.5896028408665,1.0,28722.09054351665,3.637978807091713e-12
exact_VFM_Slow_EV,governed_alternative,2039,30456.870040401518,0.46419546419546426,0.4136534136534137,0.12215112215112214,14137.94092634511,12598.588261410472,3720.3408526459384,0.999999,30456.87004040152,3.637978807091713e-12
exact_VFM_Slow_EV,governed_alternative,2040,32343.321405427385,0.420874,0.460984,0.118142,13612.463053187847,14909.753674759539,3821.104677480002,1.0,32343.32140542739,3.637978807091713e-12
exact_VFM_Slow_EV,governed_alternative,2041,34296.56249060911,0.379394,0.507815,0.112791,13011.910029562154,17416.308881168665,3868.343579878292,1.0,34296.56249060911,0.0
exact_VFM_Slow_EV,governed_alternative,2042,36397.930282454894,0.342318,0.552101,0.105581,12459.666698429395,20095.33370687363,3842.92987715187,1.0,36397.930282454894,0.0
exact_VFM_Slow_EV,governed_alternative,2043,38373.41374887874,0.310155,0.592373,0.097472,11901.706141283486,22731.374222664545,3740.3333849307087,1.0,38373.41374887874,0.0
exact_VFM_Slow_EV,governed_alternative,2044,40176.851237332696,0.282813,0.626992,0.090195,11362.535828983771,25190.564310997703,3623.7510973512226,1.0,40176.851237332696,0.0
exact_VFM_Slow_EV,governed_alternative,2045,41904.54450962943,0.259295,0.657111,0.083594,10865.638868624363,27535.937147267105,3502.9684937379625,1.0,41904.54450962943,0.0
exact_VFM_Slow_EV,governed_alternative,2046,43729.34359895682,0.238064,0.684544,0.077392,10410.382454542056,29934.659784604297,3384.3013598104662,1.0,43729.34359895682,0.0
exact_VFM_Slow_EV,governed_alternative,2047,45542.70301892691,0.21892421892421893,0.7093787093787094,0.0716970716970717,9970.400686116242,32307.023889184227,3265.2784436264465,0.999999,45542.70301892691,0.0
exact_VFM_Slow_EV,governed_alternative,2048,47447.02924651576,0.2014802014802015,0.731982731982732,0.06653706653706654,9559.637012225008,34730.40609232919,3156.9861419615613,0.999999,47447.02924651576,0.0
exact_VFM_Slow_EV,governed_alternative,2049,49175.19969073982,0.18615218615218618,0.7519187519187519,0.06192906192906193,9154.070926901526,36975.75477681649,3045.3739870218137,0.999999,49175.19969073983,7.275957614183426e-12
exact_VFM_Slow_EV,governed_alternative,2050,50615.706685708654,0.17295482704517293,0.7691892308107692,0.05785594214405784,8754.230795595942,38933.05649252374,2928.419397588962,1.0000010000000001,50615.70668570865,-7.275957614183426e-12
BEFU26_embedded_shares,audit_only,2031,20144.142612856624,0.7285554520248335,0.1785112339480551,0.09293331402711136,14676.124926962468,3595.955754646634,1872.06193124752,1.0,20144.142612856624,0.0
BEFU26_embedded_shares,audit_only,2032,21053.78259611388,0.6918742818416337,0.2044906717270168,0.1036350464313495,14566.570713736177,4305.302145473903,2181.9097369038004,1.0,21053.78259611388,0.0
BEFU26_embedded_shares,audit_only,2033,22033.617813398785,0.6537948787266684,0.232675076606885,0.11353004466644659,14405.46648622082,5126.673712659388,2501.477614518577,1.0,22033.617813398785,0.0
BEFU26_embedded_shares,audit_only,2034,23137.86711382702,0.6133359075350825,0.2647687664345161,0.12189532603040146,14191.284724685234,6126.184533653736,2820.397855488048,1.0,23137.86711382702,0.0
BEFU26_embedded_shares,audit_only,2035,24377.174605817723,0.5710115750804525,0.3007938781828966,0.1281945467366509,13919.648867679187,7332.504888825536,3125.0208493129994,1.0,24377.174605817723,0.0
BEFU26_embedded_shares,audit_only,2036,25718.707199756078,0.5286023048785776,0.3402931923000922,0.1311045028213301,13594.967904288333,8751.90097483636,3371.838320631384,1.0,25718.707199756078,0.0
BEFU26_embedded_shares,audit_only,2037,27169.46631759025,0.4857854960982478,0.3834049826327963,0.13080952126895593,13198.532673815213,10416.908761638033,3554.0248821370037,1.0,27169.46631759025,0.0
BEFU26_embedded_shares,audit_only,2038,28722.090543516646,0.44286718289212035,0.42888603855632884,0.12824677855155073,12720.071325779627,12318.503632265049,3683.5155854719687,1.0,28722.090543516642,-3.637978807091713e-12
