scenario_name,fed_path,series_id,FY,value_before,value_after,abs_change,pct_change
current_basecase_12c_delay_6m,Current planned path,total_nltf_net_revenue,2026,4508.837555214962,4509.459370844171,0.6218156292088679,0.013791040852418167
current_basecase_12c_delay_6m,Current planned path,total_nltf_net_revenue,2027,4513.2063595166255,4515.535492836537,2.329133319911307,0.05160706456508588
current_basecase_12c_delay_6m,Current planned path,total_nltf_net_revenue,2028,5444.4238674488015,5446.93860824529,2.514740796488695,0.04618929124023321
current_basecase_12c_delay_6m,Current planned path,total_nltf_net_revenue,2029,5794.617265095384,5797.366950322049,2.749685226664951,0.04745240454840789
current_basecase_12c_delay_6m,Current planned path,total_nltf_net_revenue,2030,6069.569064256175,6073.828868618737,4.259804362562136,0.07018297868374572
current_basecase_12c_delay_6m,Current planned path,total_ruc_net_revenue,2026,2040.8849755915462,2040.7795490561653,-0.10542653538095692,-0.00516572646875404
current_basecase_12c_delay_6m,Current planned path,total_ruc_net_revenue,2027,2043.9089169560525,2045.4375575289168,1.528640572864333,0.07479005351867161
current_basecase_12c_delay_6m,Current planned path,total_ruc_net_revenue,2028,2596.6444287874597,2598.0142688691517,1.3698400816920184,0.05275424184017697
current_basecase_12c_delay_6m,Current planned path,total_ruc_net_revenue,2029,2848.53846177058,2849.915424050112,1.3769622795321084,0.048339255306253555
current_basecase_12c_delay_6m,Current planned path,total_ruc_net_revenue,2030,3061.291270137018,3064.0670997805423,2.775829643524503,0.09067512361867683
current_basecase_12c_no_uplift,Current planned path,light_ruc_net_km,2026,12469.190569609236,12467.31559226628,-1.8749773429553898,-0.015036880962628101
current_basecase_12c_no_uplift,Current planned path,light_ruc_net_km,2027,12072.086588356417,12093.326093701682,21.23950534526557,0.17593897450794604
current_basecase_12c_no_uplift,Current planned path,light_ruc_net_km,2028,12735.418123607547,12750.783134669751,15.365011062203848,0.12064787283051072
current_basecase_12c_no_uplift,Current planned path,light_ruc_net_km,2029,13068.562032459044,13082.61486654299,14.052834083946436,0.10753160178635345
current_basecase_12c_no_uplift,Current planned path,light_ruc_net_km,2030,13193.31855518449,13220.72609110268,27.40753591818975,0.20773799862066994
current_basecase_12c_no_uplift,Current planned path,light_ruc_net_revenue,2026,844.691258750991,844.564243531911,-0.12701521908002178,-0.015036880962617486
current_basecase_12c_no_uplift,Current planned path,light_ruc_net_revenue,2027,811.3812113449045,812.8087471274949,1.4275357825904393,0.17593897450795393
current_basecase_12c_no_uplift,Current planned path,light_ruc_net_revenue,2028,889.5485428056553,890.6217642003452,1.073221394689881,0.12064787283051666
current_basecase_12c_no_uplift,Current planned path,light_ruc_net_revenue,2029,975.6265748351298,976.6756817185031,1.0491068833733834,0.10753160178633622
current_basecase_12c_no_uplift,Current planned path,light_ruc_net_revenue,2030,1035.481784102633,1037.632873237009,2.151089134376207,0.20773799862064973
current_basecase_12c_no_uplift,Current planned path,net_fed_revenue,2026,2025.417308608411,2026.1445507730014,0.7272421645902796,0.03590579390722896
current_basecase_12c_no_uplift,Current planned path,net_fed_revenue,2027,1955.5897907172994,1956.3902834643466,0.8004927470472012,0.04093357159292517
current_basecase_12c_no_uplift,Current planned path,net_fed_revenue,2028,2015.4204821816609,2016.4098836626342,0.9894014809733562,0.04909156623745059
current_basecase_12c_no_uplift,Current planned path,net_fed_revenue,2029,2123.754229077727,2124.9511543187623,1.1969252410353874,0.056358933846840216
current_basecase_12c_no_uplift,Current planned path,net_fed_revenue,2030,2196.2538097271586,2197.5560974566047,1.3022877294461068,0.059295866610603196
current_basecase_12c_no_uplift,Current planned path,net_mvr_revenue,2026,425.1291935285918,425.1291935285918,0.0,0.0
current_basecase_12c_no_uplift,Current planned path,net_mvr_revenue,2027,496.14975215044956,496.14975215044956,0.0,0.0
current_basecase_12c_no_uplift,Current planned path,net_mvr_revenue,2028,490.25051027658566,490.25051027658566,0.0,0.0
current_basecase_12c_no_uplift,Current planned path,net_mvr_revenue,2029,484.84310999369575,484.84310999369575,0.0,0.0
current_basecase_12c_no_uplift,Current planned path,net_mvr_revenue,2030,479.8837182888595,479.8837182888595,0.0,0.0
