engine,series_id,FY,reference_policy_state,central_changes_under_policy,rate_changes_under_policy,activity_changes_under_policy,band_should_change,reason,central_published,central_delayed_6m,central_off
ar1,gross_mvr_revenue,2025,published,False,False,False,False,not priced by the fuel rate and no activity response,359.5931046430431,359.5931046430431,359.5931046430431
ar1,gross_mvr_revenue,2026,published,False,False,False,False,not priced by the fuel rate and no activity response,468.1967134376274,468.1967134376274,468.1967134376274
ar1,gross_mvr_revenue,2027,published,False,False,False,False,not priced by the fuel rate and no activity response,558.2001771623538,558.2001771623538,558.2001771623538
ar1,gross_mvr_revenue,2028,published,False,False,False,False,not priced by the fuel rate and no activity response,564.0759078180181,564.0759078180181,564.0759078180181
ar1,gross_mvr_revenue,2029,published,False,False,False,False,not priced by the fuel rate and no activity response,558.3078428659381,558.3078428659381,558.3078428659381
ar1,gross_mvr_revenue,2030,published,False,False,False,False,not priced by the fuel rate and no activity response,553.0031767675906,553.0031767675906,553.0031767675906
ar1,gross_mvr_revenue,2031,published,False,False,False,False,not priced by the fuel rate and no activity response,548.1236653539303,548.1236653539303,548.1236653539303
ar1,gross_mvr_revenue,2032,published,False,False,False,False,not priced by the fuel rate and no activity response,543.6318608697579,543.6318608697579,543.6318608697579
ar1,gross_mvr_revenue,2033,published,False,False,False,False,not priced by the fuel rate and no activity response,539.4923403662387,539.4923403662387,539.4923403662387
ar1,gross_mvr_revenue,2034,published,False,False,False,False,not priced by the fuel rate and no activity response,535.6722565897716,535.6722565897716,535.6722565897716
ar1,gross_mvr_revenue,2035,published,False,False,False,False,not priced by the fuel rate and no activity response,532.1415118475148,532.1415118475148,532.1415118475148
ar1,gross_mvr_revenue,2036,published,False,False,False,False,not priced by the fuel rate and no activity response,528.8727287182977,528.8727287182977,528.8727287182977
ar1,gross_mvr_revenue,2037,published,False,False,False,False,not priced by the fuel rate and no activity response,525.84111683754,525.84111683754,525.84111683754
ar1,gross_mvr_revenue,2038,published,False,False,False,False,not priced by the fuel rate and no activity response,523.0242916225482,523.0242916225482,523.0242916225482
ar1,gross_mvr_revenue,2039,published,False,False,False,False,not priced by the fuel rate and no activity response,520.4020758793362,520.4020758793362,520.4020758793362
ar1,gross_mvr_revenue,2040,published,False,False,False,False,not priced by the fuel rate and no activity response,517.9563010223371,517.9563010223371,517.9563010223371
