engine,series_id,FY,reference_policy_state,central_changes_under_policy,rate_changes_under_policy,activity_changes_under_policy,band_should_change,reason,central_published,central_delayed_6m,central_delayed_12m,central_delayed_18m,central_delayed_24m,central_delayed_30m,central_delayed_36m,central_off,central_option1_12c_10c_4c,central_option2_9c_9c_4c,central_option3_4c_semiannual,central_option4_labour_4c,central_mcert
ensemble,fed_refunds,2044,published,False,False,False,False,not priced by the fuel rate and no activity response,78.1830347453577,78.1830347453577,78.1830347453577,78.1830347453577,78.1830347453577,78.1830347453577,78.1830347453577,78.1830347453577,78.1830347453577,78.1830347453577,78.1830347453577,78.1830347453577,78.1830347453577
ensemble,fed_refunds,2045,published,False,False,False,False,not priced by the fuel rate and no activity response,72.2614752287827,72.2614752287827,72.2614752287827,72.2614752287827,72.2614752287827,72.2614752287827,72.2614752287827,72.2614752287827,72.2614752287827,72.2614752287827,72.2614752287827,72.2614752287827,72.2614752287827
ensemble,fed_refunds,2046,published,False,False,False,False,not priced by the fuel rate and no activity response,66.6787339973973,66.6787339973973,66.6787339973973,66.6787339973973,66.6787339973973,66.6787339973973,66.6787339973973,66.6787339973973,66.6787339973973,66.6787339973973,66.6787339973973,66.6787339973973,66.6787339973973
ensemble,fed_refunds,2047,published,False,False,False,False,not priced by the fuel rate and no activity response,61.4417326492604,61.4417326492604,61.4417326492604,61.4417326492604,61.4417326492604,61.4417326492604,61.4417326492604,61.4417326492604,61.4417326492604,61.4417326492604,61.4417326492604,61.4417326492604,61.4417326492604
ensemble,fed_refunds,2048,published,False,False,False,False,not priced by the fuel rate and no activity response,56.625431852433,56.625431852433,56.625431852433,56.625431852433,56.625431852433,56.625431852433,56.625431852433,56.625431852433,56.625431852433,56.625431852433,56.625431852433,56.625431852433,56.625431852433
ensemble,fed_refunds,2049,published,False,False,False,False,not priced by the fuel rate and no activity response,52.1359432142043,52.1359432142043,52.1359432142043,52.1359432142043,52.1359432142043,52.1359432142043,52.1359432142043,52.1359432142043,52.1359432142043,52.1359432142043,52.1359432142043,52.1359432142043,52.1359432142043
ensemble,fed_refunds,2050,published,False,False,False,False,not priced by the fuel rate and no activity response,47.9565731676092,47.9565731676092,47.9565731676092,47.9565731676092,47.9565731676092,47.9565731676092,47.9565731676092,47.9565731676092,47.9565731676092,47.9565731676092,47.9565731676092,47.9565731676092,47.9565731676092
ensemble,gross_cng_revenue,2025,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ensemble,gross_cng_revenue,2026,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ensemble,gross_cng_revenue,2027,published,False,False,False,False,not priced by the fuel rate and no activity response,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
