series_id,june_year,value_current,value_unit,value_mbu26,absolute_difference,percent_difference,production_class,how_produced,common_input_counterfactual
ped_volume,2030,2608.6477906508626,million litres,2878.59330671556,-269.9455160646976,-9.377688589594552,bridge,light petrol VKT x MBU26 fuel intensity,blocked_mbu26_drivers_unavailable
phev_ruc_net_km,2026,624.3438192266098,million km,633.39411052937,-9.050291302760229,-1.428856244841982,bridge,EV/PHEV migration allocation from the light pool,blocked_mbu26_drivers_unavailable
phev_ruc_net_km,2027,818.9278962586613,million km,866.45343854562,-47.525542286958625,-5.485065921918705,bridge,EV/PHEV migration allocation from the light pool,blocked_mbu26_drivers_unavailable
phev_ruc_net_km,2028,1037.662324130385,million km,1114.1399728797,-76.477648749315,-6.864276537143212,bridge,EV/PHEV migration allocation from the light pool,blocked_mbu26_drivers_unavailable
phev_ruc_net_km,2029,1275.0892857965052,million km,1394.20153006706,-119.11224427055481,-8.543402205621279,bridge,EV/PHEV migration allocation from the light pool,blocked_mbu26_drivers_unavailable
phev_ruc_net_km,2030,1511.5166685185566,million km,1688.91801832143,-177.40134980287348,-10.503846123874498,bridge,EV/PHEV migration allocation from the light pool,blocked_mbu26_drivers_unavailable
phev_ruc_net_revenue,2026,21.528254702237074,$m nominal ex GST,21.8403214998817,-0.31206679764462564,-1.4288562448419817,bridge,class km x MBU26 effective class rate,blocked_mbu26_drivers_unavailable
phev_ruc_net_revenue,2027,29.96897133827872,$m nominal ex GST,31.7081862571269,-1.7392149188481802,-5.485065921918713,bridge,class km x MBU26 effective class rate,blocked_mbu26_drivers_unavailable
phev_ruc_net_revenue,2028,41.62582413249052,$m nominal ex GST,44.6937250120693,-3.0679008795787794,-6.86427653714321,bridge,class km x MBU26 effective class rate,blocked_mbu26_drivers_unavailable
phev_ruc_net_revenue,2029,54.159417414206494,$m nominal ex GST,59.2187099895983,-5.059292575391808,-8.543402205621275,bridge,class km x MBU26 effective class rate,blocked_mbu26_drivers_unavailable
phev_ruc_net_revenue,2030,67.05843699882554,$m nominal ex GST,74.92884788283,-7.870410884004457,-10.503846123874498,bridge,class km x MBU26 effective class rate,blocked_mbu26_drivers_unavailable
total_fed_ruc_net_revenue,2026,4058.9323737620216,$m nominal ex GST,4120.61600894202,-61.68363517999842,-1.4969517918228898,unclassified,unclassified,blocked_mbu26_drivers_unavailable
total_fed_ruc_net_revenue,2027,4265.143719467869,$m nominal ex GST,4494.5723108443,-229.42859137643063,-5.104570034903561,unclassified,unclassified,blocked_mbu26_drivers_unavailable
total_fed_ruc_net_revenue,2028,4809.037883226649,$m nominal ex GST,5131.325919888461,-322.28803666181193,-6.280794509907441,unclassified,unclassified,blocked_mbu26_drivers_unavailable
total_fed_ruc_net_revenue,2029,5127.015783079683,$m nominal ex GST,5557.426791662339,-430.411008582656,-7.744789535120647,unclassified,unclassified,blocked_mbu26_drivers_unavailable
total_fed_ruc_net_revenue,2030,5377.033147873892,$m nominal ex GST,5936.92777366741,-559.8946257935186,-9.430713108501497,unclassified,unclassified,blocked_mbu26_drivers_unavailable
total_nltf_net_revenue,2026,4501.467644777026,$m nominal ex GST,4563.15127995703,-61.683635180003876,-1.3517771249649373,formula,sum of governed revenue lines,not_required_inherited_or_derived
total_nltf_net_revenue,2027,4778.851371311143,$m nominal ex GST,5008.27996268758,-229.428591376437,-4.58098574931341,formula,sum of governed revenue lines,not_required_inherited_or_derived
total_nltf_net_revenue,2028,5316.84629319606,$m nominal ex GST,5639.13432985787,-322.2880366618101,-5.715204104207483,formula,sum of governed revenue lines,not_required_inherited_or_derived
total_nltf_net_revenue,2029,5629.416792766205,$m nominal ex GST,6059.82780134886,-430.4110085826551,-7.102693718241461,formula,sum of governed revenue lines,not_required_inherited_or_derived
total_nltf_net_revenue,2030,5874.474765855576,$m nominal ex GST,6434.36939164909,-559.894625793514,-8.701623915471481,formula,sum of governed revenue lines,not_required_inherited_or_derived
total_ruc_net_revenue,2026,2033.3712304776423,$m nominal ex GST,2089.05368416013,-55.6824536824879,-2.665439098319492,formula,ruc_revenue_net_admin - ruc_refunds,not_required_inherited_or_derived
total_ruc_net_revenue,2027,2201.42496144954,$m nominal ex GST,2333.16668739821,-131.74172594866968,-5.6464772388628255,formula,ruc_revenue_net_admin - ruc_refunds,not_required_inherited_or_derived
total_ruc_net_revenue,2028,2557.9642878556133,$m nominal ex GST,2724.5579044216,-166.59361656598685,-6.114519214131117,formula,ruc_revenue_net_admin - ruc_refunds,not_required_inherited_or_derived
total_ruc_net_revenue,2029,2790.4071009284003,$m nominal ex GST,3016.1778070195,-225.77070609109978,-7.4853248228823706,formula,ruc_revenue_net_admin - ruc_refunds,not_required_inherited_or_derived
total_ruc_net_revenue,2030,2983.8134898435596,$m nominal ex GST,3289.93253419396,-306.11904435040015,-9.304721029040795,formula,ruc_revenue_net_admin - ruc_refunds,not_required_inherited_or_derived
