FY,metric,unit,official_vintage,comparison_vintage,prebu26_value,befu26_value,delta_prebu26_minus_befu26
2020,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.25633994680404815,0.25633994680404815,0.0
2020,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2020,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2020,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2021,ped_effective_rate,$/L,PREBU26,BEFU26,0.7002400000000011,0.7002400000000011,0.0
2021,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,10.028968692072498,10.026761982994778,0.002206709077720248
2021,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.06677842735133074,0.06677842735133074,0.0
2021,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.2720697782017953,0.2720697782017953,0.0
2021,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2021,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2021,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2022,ped_effective_rate,$/L,PREBU26,BEFU26,0.619683716353119,0.619683716353119,0.0
2022,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,9.497577151893841,9.488324425225043,0.009252726668798061
2022,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.05955231773659156,0.05955231773659156,0.0
2022,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.24970293990104528,0.24970293990104528,0.0
2022,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2022,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2022,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2023,ped_effective_rate,$/L,PREBU26,BEFU26,0.4502399999999994,0.4502399999999994,0.0
2023,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,9.521281456097157,9.502691946115553,0.018589509981604024
2023,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.043955890067700745,0.043955890067700745,0.0
2023,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.18236290044801245,0.18236290044801245,0.0
2023,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2023,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2023,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2024,ped_effective_rate,$/L,PREBU26,BEFU26,0.7002399999999996,0.7002399999999996,0.0
2024,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,9.02887410272649,9.041448311803999,-0.012574209077508058
2024,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.06724421163606023,0.06724421163606023,0.0
2024,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.27627409104009504,0.27627409104009504,0.0
2024,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.06779662818693795,0.06779662818693795,0.0
2024,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2024,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.03488615225104732,0.03488615225104732,0.0
2025,ped_effective_rate,$/L,PREBU26,BEFU26,0.7002400000000009,0.7002400000000009,0.0
2025,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,8.872779225486154,9.128837185229537,-0.25605795974338363
2025,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.0677020975327375,0.0677020975327375,0.0
2025,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.27875076380925623,0.27875076380925623,0.0
2025,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.06751091764638999,0.06751091764638999,0.0
2025,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2025,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.034720659123048926,0.034720659123048926,0.0
2026,ped_effective_rate,$/L,PREBU26,BEFU26,0.7002399999999994,0.7002399999999998,-3.3306690738754696e-16
2026,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,9.137280286365069,9.260956261061901,-0.12367597469683211
2026,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.0677345684787396,0.06774211974105097,-7.551262311375484e-06
2026,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.28004678245240056,0.2791822951560211,0.0008644872963794459
2026,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.06736827876814391,0.06736085209075052,7.426677393396197e-06
2026,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2026,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.03445515249399047,0.0344814091839728,-2.6256689982330494e-05
2027,ped_effective_rate,$/L,PREBU26,BEFU26,0.7598783115113958,0.7600846254894931,-0.00020631397809722785
2027,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,8.997847181772078,9.018936683998973,-0.021089502226894652
2027,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.07293337677821497,0.07296879013381,-3.541335559502368e-05
2027,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.30152358135429885,0.30032881092388103,0.0011947704304178242
2027,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.07291641027003365,0.07291343090682693,2.97936320671488e-06
2027,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,,,
2027,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.03658075978705436,0.03659537240725881,-1.4612620204454418e-05
2028,ped_effective_rate,$/L,PREBU26,BEFU26,0.8501205841436463,0.8501416070311163,-2.1022887469968055e-05
2028,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,8.909044976351446,8.931806908230996,-0.022761931879550446
2028,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.08131528014274107,0.08132308826739243,-7.808124651356718e-06
2028,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.33384363902362135,0.33384636864929695,-2.7296256756015325e-06
2028,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.0813499999999997,0.08134999999999998,-2.7755575615628914e-16
2028,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.3339099999999994,0.33391000000000004,-6.661338147750939e-16
2028,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.040115000000000206,0.04011500000000012,8.326672684688674e-17
2029,ped_effective_rate,$/L,PREBU26,BEFU26,0.9001214164317963,0.9001298714008468,-8.454969050442074e-06
2029,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,8.82028828420418,8.844668922019745,-0.024380637815564654
2029,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.08612634204507041,0.08612716220341088,-8.201583404643387e-07
2029,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.35351507930064247,0.35350977774652953,5.301554112935314e-06
2029,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.08613500000000003,0.08613499999999968,3.469446951953614e-16
2029,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.35354499999999955,0.35354500000000033,-7.771561172376096e-16
2029,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.04247499999999988,0.04247499999999995,-6.938893903907228e-17
2030,ped_effective_rate,$/L,PREBU26,BEFU26,0.9401123797648264,0.9401072483165868,5.131448239659164e-06
2030,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,8.731538629096438,8.75753233592107,-0.025993706824632312
2030,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.08995517143300209,0.08995622874464686,-1.0573116447643027e-06
2030,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.369217745815914,0.36921571028675715,2.0355291568407985e-06
2030,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.08996499999999981,0.08996500000000007,-2.636779683484747e-16
2030,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.3692549999999998,0.3692550000000003,-4.996003610813204e-16
2030,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.0443649999999999,0.044364999999999856,4.163336342344337e-17
2031,ped_effective_rate,$/L,PREBU26,BEFU26,0.9801464280112957,0.9801259945570312,2.0433454264501272e-05
2031,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,8.642783438975314,8.670438093023318,-0.02765465404800338
2031,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.09378188811035859,0.09379000000000023,-8.111889641643222e-06
2031,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.38492574879965336,0.3849650000000002,-3.925120034686813e-05
2031,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.09379000000000001,0.09379000000000001,0.0
2031,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.3849650000000005,0.3849649999999987,1.7763568394002505e-15
2031,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.04625499999999996,0.046255000000000095,-1.3183898417423734e-16
2032,ped_effective_rate,$/L,PREBU26,BEFU26,1.0201274126566031,1.0201412027482166,-1.3790091613508082e-05
2032,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,8.554123914610587,8.583296015218659,-0.02917210060807207
2032,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.09761499999999976,0.09761500000000005,-2.914335439641036e-16
2032,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.4006750000000001,0.40067500000000106,-9.43689570931383e-16
2032,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.09761499999999995,0.09761499999999995,0.0
2032,heavy_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.40067500000000106,0.4006749999999989,2.1649348980190553e-15
2032,phev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.04814000000000004,0.04813999999999986,1.734723475976807e-16
2033,ped_effective_rate,$/L,PREBU26,BEFU26,1.0601488535784327,1.0601468860621817,1.9675162510335298e-06
2033,petrol_fleet_intensity,L/100km,PREBU26,BEFU26,8.465378588270694,8.496172889161214,-0.03079430089051982
2033,light_ruc_effective_rate,$/km,PREBU26,BEFU26,0.10144499999999987,0.1014450000000004,-5.273559366969494e-16
2033,heavy_ruc_effective_rate,$/km,PREBU26,BEFU26,0.4163800000000004,0.4163800000000005,-1.1102230246251565e-16
2033,light_bev_ruc_effective_rate,$/km,PREBU26,BEFU26,0.10144499999999994,0.10144500000000004,-9.71445146547012e-17
