engine,scenario_name,stream,series_id,period,value
ar1,current_comparison_1,PED,ped_vkt_per_capita,2030Q4,1471.565619835139
ar1,current_basecase,LIGHT_RUC,light_ruc_net_km,2026Q1,3359089541.450709
ar1,current_comparison_1,LIGHT_RUC,light_ruc_net_km,2026Q1,3363542326.568571
ar1,current_basecase,LIGHT_RUC,light_ruc_net_km,2026Q2,3178078226.073193
ar1,current_comparison_1,LIGHT_RUC,light_ruc_net_km,2026Q2,3186509486.201508
ar1,current_basecase,LIGHT_RUC,light_ruc_net_km,2026Q3,3052255206.937117
ar1,current_comparison_1,LIGHT_RUC,light_ruc_net_km,2026Q3,3064409447.4256234
ar1,current_basecase,LIGHT_RUC,light_ruc_net_km,2026Q4,3075890925.395191
ar1,current_comparison_1,LIGHT_RUC,light_ruc_net_km,2026Q4,3092232899.9470124
ar1,current_basecase,LIGHT_RUC,light_ruc_net_km,2027Q1,3270598734.6146383
ar1,current_comparison_1,LIGHT_RUC,light_ruc_net_km,2027Q1,3292329442.483258
ar1,current_basecase,LIGHT_RUC,light_ruc_net_km,2027Q2,3298763101.1596136
ar1,current_comparison_1,LIGHT_RUC,light_ruc_net_km,2027Q2,3325078518.1756096
ar1,current_basecase,LIGHT_RUC,light_ruc_net_km,2027Q3,3169316022.0669727
ar1,current_comparison_1,LIGHT_RUC,light_ruc_net_km,2027Q3,3198829400.4707985
ar1,current_basecase,LIGHT_RUC,light_ruc_net_km,2027Q4,3389166782.9990306
ar1,current_comparison_1,LIGHT_RUC,light_ruc_net_km,2027Q4,3425257530.1588864
ar1,current_basecase,LIGHT_RUC,light_ruc_net_km,2028Q1,3394003072.696928
ar1,current_comparison_1,LIGHT_RUC,light_ruc_net_km,2028Q1,3434701192.375812
ar1,current_basecase,LIGHT_RUC,light_ruc_net_km,2028Q2,3419937802.5217576
ar1,current_comparison_1,LIGHT_RUC,light_ruc_net_km,2028Q2,3465543692.165471
ar1,current_basecase,LIGHT_RUC,light_ruc_net_km,2028Q3,3282577017.994457
ar1,current_comparison_1,LIGHT_RUC,light_ruc_net_km,2028Q3,3330769174.248094
ar1,current_basecase,LIGHT_RUC,light_ruc_net_km,2028Q4,3506911512.904078
ar1,current_comparison_1,LIGHT_RUC,light_ruc_net_km,2028Q4,3563123381.722717
ar1,current_basecase,LIGHT_RUC,light_ruc_net_km,2029Q1,3509702078.6991105
ar1,current_comparison_1,LIGHT_RUC,light_ruc_net_km,2029Q1,3570704218.0334706
ar1,current_basecase,LIGHT_RUC,light_ruc_net_km,2029Q2,3534293251.602885
ar1,current_comparison_1,LIGHT_RUC,light_ruc_net_km,2029Q2,3600507960.8334093
ar1,current_basecase,LIGHT_RUC,light_ruc_net_km,2029Q3,3390204148.1028075
ar1,current_comparison_1,LIGHT_RUC,light_ruc_net_km,2029Q3,3458315533.129879
ar1,current_basecase,LIGHT_RUC,light_ruc_net_km,2029Q4,3572810734.6569395
ar1,current_comparison_1,LIGHT_RUC,light_ruc_net_km,2029Q4,3649440987.3148704
ar1,current_basecase,LIGHT_RUC,light_ruc_net_km,2030Q1,3571388279.4264145
ar1,current_comparison_1,LIGHT_RUC,light_ruc_net_km,2030Q1,3652847490.3889103
ar1,current_basecase,LIGHT_RUC,light_ruc_net_km,2030Q2,3595347705.5040107
ar1,current_comparison_1,LIGHT_RUC,light_ruc_net_km,2030Q2,3682251987.944531
ar1,current_basecase,LIGHT_RUC,light_ruc_net_km,2030Q3,3447750923.778664
ar1,current_comparison_1,LIGHT_RUC,light_ruc_net_km,2030Q3,3535791342.764149
ar1,current_basecase,LIGHT_RUC,light_ruc_net_km,2030Q4,3670646115.7981424
ar1,current_comparison_1,LIGHT_RUC,light_ruc_net_km,2030Q4,3769392809.5161967
ar1,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2026Q1,1020118066.0540425
ar1,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2026Q1,1020820013.7342014
ar1,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2026Q2,981612144.9334924
ar1,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2026Q2,982720972.3701376
ar1,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2026Q3,997119053.0897543
ar1,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2026Q3,998640804.9871552
ar1,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2026Q4,1066495106.8412464
ar1,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2026Q4,1068577990.631934
ar1,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2027Q1,1034599278.8904264
ar1,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2027Q1,1036857923.7237957
ar1,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2027Q2,1002056653.2786986
ar1,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2027Q2,1004178139.1028426
ar1,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2027Q3,1014475743.3591378
ar1,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2027Q3,1016505874.2660316
ar1,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2027Q4,1070992030.8767709
ar1,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2027Q4,1073108731.409134
ar1,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2028Q1,1037916937.6171612
ar1,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2028Q1,1039954659.9865216
ar1,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2028Q2,1010733601.6561592
ar1,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2028Q2,1012382774.2114697
ar1,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2028Q3,1023718834.664518
ar1,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2028Q3,1025119871.4576668
ar1,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2028Q4,1080649201.0564692
ar1,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2028Q4,1081989075.023676
ar1,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2029Q1,1047581920.2963628
ar1,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2029Q1,1048800790.433174
ar1,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2029Q2,1019836095.3183956
ar1,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2029Q2,1020973689.232304
ar1,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2029Q3,1032505738.2550392
ar1,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2029Q3,1033696651.5590376
ar1,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2029Q4,1089424993.4314303
ar1,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2029Q4,1090777613.559407
ar1,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2030Q1,1055840917.0979284
ar1,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2030Q1,1057235557.764396
ar1,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2030Q2,1027619618.1451292
ar1,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2030Q2,1029138077.3938231
ar1,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2030Q3,1041239245.4337618
ar1,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2030Q3,1042963578.5089072
ar1,current_basecase,HEAVY_RUC,heavy_ruc_net_km,2030Q4,1098554969.4840002
ar1,current_comparison_1,HEAVY_RUC,heavy_ruc_net_km,2030Q4,1100580897.459659
