scenario_name,series_id,FY,fed_path,component_type,value_before,value_after,abs_change,pct_change,engine
current_comparison_1,gross_ped_revenue,2027,Current planned path,replacement_line,2219.5816453780844,2219.5816453780844,0.0,0.0,ar1
current_comparison_1,gross_ped_revenue,2028,Current planned path,replacement_line,2470.6410221728675,2470.6410221728675,0.0,0.0,ar1
current_comparison_1,gross_ped_revenue,2029,Current planned path,replacement_line,2617.0732333770984,2617.0732333770984,0.0,0.0,ar1
current_comparison_1,gross_ped_revenue,2030,Current planned path,replacement_line,2734.616299930431,2734.616299930431,0.0,0.0,ar1
current_comparison_1,heavy_ruc_net_revenue,2026,Current planned path,replacement_line,1129.828298446162,1135.2102486241813,5.381950178019224,0.4763511575538468,ar1
current_comparison_1,heavy_ruc_net_revenue,2027,Current planned path,replacement_line,1233.804126742114,1234.6034877580475,0.7993610159335276,0.0647883240627714,ar1
current_comparison_1,heavy_ruc_net_revenue,2028,Current planned path,replacement_line,1382.731904343121,1382.935391399487,0.20348705636592967,0.01471630586715926,ar1
current_comparison_1,heavy_ruc_net_revenue,2029,Current planned path,replacement_line,1476.5576771954145,1476.5573951125543,-0.0002820828601670655,-1.91040867907616e-05,ar1
current_comparison_1,heavy_ruc_net_revenue,2030,Current planned path,replacement_line,1554.703706125548,1554.703695421354,-1.0704193982746801e-05,-6.885037927530609e-07,ar1
current_comparison_1,light_ruc_net_revenue,2026,Current planned path,replacement_line,879.3607689037508,868.012021335747,-11.348747568003773,-1.2905678726322545,ar1
current_comparison_1,light_ruc_net_revenue,2027,Current planned path,replacement_line,931.6403976349984,945.344221435419,13.703823800420537,1.4709349052711937,ar1
current_comparison_1,light_ruc_net_revenue,2028,Current planned path,replacement_line,1099.6924709137568,1099.6924709137568,0.0,0.0,ar1
current_comparison_1,light_ruc_net_revenue,2029,Current planned path,replacement_line,1211.3412392466091,1211.3412392466091,0.0,0.0,ar1
current_comparison_1,light_ruc_net_revenue,2030,Current planned path,replacement_line,1299.194773882275,1299.194773882275,0.0,0.0,ar1
current_comparison_1,net_fed_revenue,2026,Current planned path,calculated_rollup,2105.5310336626158,2105.5310336626158,0.0,0.0,ar1
current_comparison_1,net_fed_revenue,2027,Current planned path,calculated_rollup,2180.109373294469,2180.109373294469,0.0,0.0,ar1
current_comparison_1,net_fed_revenue,2028,Current planned path,calculated_rollup,2421.382684033601,2421.382684033601,0.0,0.0,ar1
current_comparison_1,net_fed_revenue,2029,Current planned path,calculated_rollup,2562.299263238507,2562.299263238507,0.0,0.0,ar1
current_comparison_1,net_fed_revenue,2030,Current planned path,calculated_rollup,2675.448085387011,2675.448085387011,0.0,0.0,ar1
current_comparison_1,total_fed_ruc_net_revenue,2026,Current planned path,calculated_rollup,4187.397536212757,4180.04662663635,-7.350909576406593,-0.175548404774939,ar1
current_comparison_1,total_fed_ruc_net_revenue,2027,Current planned path,calculated_rollup,4451.724661765618,4468.315230299282,16.590568533663827,0.37267732832074496,ar1
current_comparison_1,total_fed_ruc_net_revenue,2028,Current planned path,calculated_rollup,5098.226077418267,5098.429564474633,0.2034870563657023,0.003991330578041918,ar1
current_comparison_1,total_fed_ruc_net_revenue,2029,Current planned path,calculated_rollup,5530.530423720023,5530.530141637162,-0.0002820828603944392,-5.100466660206901e-06,ar1
