page,chart_id,chart_title,stream,stream_label,model,model_short,metric_name,metric_value,metric_display,source_column,source_file,calculation_basis,notes,horizon,stress_bucket,scenario,scenario_role,component_model,component_short,component_rank,weight,weight_pct,lag,acf_value,diagnostic_test,pass_status,quarterly_mape,annual_mape,fitted,residual_pct,abs_error_pct,horizon_bucket,point_type,x_metric,y_metric,value_available,paired_common_pairs,paired_model_mape,paired_schiff_mape,paired_gain_pp,paired_win_rate_pct,recommendation
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__schiff_no_lead__GBR_learning_rate0_06_max_depth1_n_estimators400__ylag__w40,Schiff No Lead | GBM Learning Rate0 06 Max Depth1 N Estimat…,Candidate frontier point,4.740581698083847,Qtr 4.74% / Annual 4.10%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.740581698083847,4.097911242352302,,,,,Distribution sample,4.740581698083847,4.097911242352302,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_05_max_depth2_n_estimators250__noylag__w52,Dynamic No Leads | GBM Learning Rate0 05 Max Depth2 N Estim…,Candidate frontier point,4.795339683944209,Qtr 4.80% / Annual 3.77%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.795339683944209,3.770153011492528,,,,,Distribution sample,4.795339683944209,3.770153011492528,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__price_distributed_lags__GBR_learning_rate0_08_max_depth1_n_estimators400__ylag__w40,Price Distributed Lags | GBM Learning Rate0 08 Max Depth1 N…,Candidate frontier point,4.809005834045005,Qtr 4.81% / Annual 3.81%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.809005834045005,3.805521389093909,,,,,Distribution sample,4.809005834045005,3.805521389093909,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth1_n_estimators150__noylag__w40,Dynamic No Leads | GBM Learning Rate0 08 Max Depth1 N Estim…,Candidate frontier point,4.842382728779079,Qtr 4.84% / Annual 3.76%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.842382728779079,3.760028142346287,,,,,Distribution sample,4.842382728779079,3.760028142346287,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__price_distributed_lags__GBRLocal_learning_rate0_035_max_depth1_n_estimators600__ylag__w40,Price Distributed Lags | Gbmlocal Learning Rate0 035 Max De…,Candidate frontier point,4.911704476328114,Qtr 4.91% / Annual 3.75%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.911704476328114,3.754557495318709,,,,,Distribution sample,4.911704476328114,3.754557495318709,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth2_n_estimators250__noylag__w52,Dynamic No Leads | GBM Learning Rate0 08 Max Depth2 N Estim…,Candidate frontier point,4.849261765271571,Qtr 4.85% / Annual 3.83%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.849261765271571,3.831578903865345,,,,,Distribution sample,4.849261765271571,3.831578903865345,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__dynamic_no_leads__GBR_learning_rate0_08_max_depth2_n_estimators400__noylag__w40,Dynamic No Leads | GBM Learning Rate0 08 Max Depth2 N Estim…,Candidate frontier point,4.872715889442883,Qtr 4.87% / Annual 3.93%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.872715889442883,3.926604832268464,,,,,Distribution sample,4.872715889442883,3.926604832268464,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__rich__GBR_learning_rate0_05_max_depth1_n_estimators400__ylag__w52,Rich | GBM Learning Rate0 05 Max Depth1 N Estimators400 | T…,Candidate frontier point,4.824513502683082,Qtr 4.82% / Annual 3.93%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.824513502683082,3.9282729855291847,,,,,Distribution sample,4.824513502683082,3.9282729855291847,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__schiff_no_lead__GBR_learning_rate0_08_max_depth2_n_estimators400__ylag__w52,Schiff No Lead | GBM Learning Rate0 08 Max Depth2 N Estimat…,Candidate frontier point,4.898210279849412,Qtr 4.90% / Annual 4.32%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.898210279849412,4.320059277774231,,,,,Distribution sample,4.898210279849412,4.320059277774231,,,,,,,
Overview,overview_candidate_search_frontier,2. Candidate Search Frontier,HEAVY_RUC,Heavy RUC volume,HEAVY_RUC__schiff_no_lead__GBRLocal_learning_rate0_055_max_depth2_n_estimators180__noylag__w52,Schiff No Lead | Gbmlocal Learning Rate0 055 Max Depth2 N E…,Candidate frontier point,4.862017158487917,Qtr 4.86% / Annual 4.61%,quarterly_mape;annual_mape,final_summary.csv,Default curated candidate rows; x = quarterly_mape and y = annual_mape.,plot_default_include rows with outlier guard used by the management view.,,,,,,,,,,,,,,4.862017158487917,4.608701820622149,,,,,Distribution sample,4.862017158487917,4.608701820622149,,,,,,,
