series_id,path,FY,value,unit,source_file,source_status,value_status,quarters_present,actual_quarters,forecast_quarters,model_training_cutoff,revenue_actual_cutoff,last_complete_actual_fy,first_forecast_quarter,last_actual_to_first_forecast_ratio,source_derived_tolerance,discontinuity_flag,nowcast_components,notes
heavy_ruc_net_revenue,current_finalist_model,2024,,,,,complete_actual,2023Q3; 2023Q4; 2024Q1; 2024Q2,2023Q3; 2023Q4; 2024Q1; 2024Q2,,2025Q4,2026Q1,2025,2026Q1,0.9864010628447378,0.15,False,actual: 2023Q3; 2023Q4; 2024Q1; 2024Q2; forecast: none,
heavy_ruc_net_revenue,current_finalist_model,2025,,,,,complete_actual,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,2025Q4,2026Q1,2025,2026Q1,0.9864010628447378,0.15,False,actual: 2024Q3; 2024Q4; 2025Q1; 2025Q2; forecast: none,
heavy_ruc_net_revenue,current_finalist_model,2026,1130.7083867973913,$m nominal ex GST,data/current_revenue_outlook/revenue_chart_rows.csv; official_befu25_annual.csv,source_backed,actual_plus_forecast_to_go_nowcast,2025Q3; 2025Q4; 2026Q1; 2026Q2,2025Q3; 2025Q4,2026Q1; 2026Q2,2025Q4,2026Q1,2025,2026Q1,0.9864010628447378,0.15,False,actual: 2025Q3; 2025Q4; forecast: 2026Q1; 2026Q2,actual-plus-forecast-to-go nowcast where source actual quarters and current forecast quarters both exist
heavy_ruc_net_revenue,current_finalist_model,2027,1232.3785326077436,$m nominal ex GST,data/current_revenue_outlook/revenue_chart_rows.csv; official_befu25_annual.csv,source_backed,current_model_forecast,2026Q3; 2026Q4; 2027Q1; 2027Q2,,2026Q3; 2026Q4; 2027Q1; 2027Q2,2025Q4,2026Q1,2025,2026Q1,0.9864010628447378,0.15,False,actual: none; forecast: 2026Q3; 2026Q4; 2027Q1; 2027Q2,
heavy_ruc_net_revenue,legacy_workbook_in_house_model,2024,1150.0061041563704,$m nominal ex GST,annual_model_paths.csv,registered,,2023Q3; 2023Q4; 2024Q1; 2024Q2,2023Q3; 2023Q4; 2024Q1; 2024Q2,,2025Q4,2026Q1,2025,2026Q1,0.9864010628447378,0.15,False,actual: 2023Q3; 2023Q4; 2024Q1; 2024Q2; forecast: none,
heavy_ruc_net_revenue,legacy_workbook_in_house_model,2025,1182.6943001245318,$m nominal ex GST,annual_model_paths.csv,registered,,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,2025Q4,2026Q1,2025,2026Q1,0.9864010628447378,0.15,False,actual: 2024Q3; 2024Q4; 2025Q1; 2025Q2; forecast: none,
heavy_ruc_net_revenue,legacy_workbook_in_house_model,2026,1179.89710943281,$m nominal ex GST,annual_model_paths.csv,registered,,2025Q3; 2025Q4; 2026Q1; 2026Q2,2025Q3; 2025Q4; 2026Q1,,2025Q4,2026Q1,2025,2026Q1,0.9864010628447378,0.15,False,actual: 2025Q3; 2025Q4; 2026Q1; forecast: none,
heavy_ruc_net_revenue,legacy_workbook_in_house_model,2027,1260.196994069733,$m nominal ex GST,annual_model_paths.csv,registered,,2026Q3; 2026Q4; 2027Q1; 2027Q2,,,2025Q4,2026Q1,2025,2026Q1,0.9864010628447378,0.15,False,actual: none; forecast: none,
light_bev_ruc_net_km,actual_or_actual_to_date,2024,413.518791,million km,annual_actuals.csv,registered_alias,Actual,2023Q3; 2023Q4; 2024Q1; 2024Q2,2023Q3; 2023Q4; 2024Q1; 2024Q2,,2025Q4,2026Q1,2025,2026Q1,,0.75,False,actual: 2023Q3; 2023Q4; 2024Q1; 2024Q2; forecast: none,
light_bev_ruc_net_km,actual_or_actual_to_date,2025,820.641429,million km,annual_actuals.csv,registered_alias,Actual,2024Q3; 2024Q4; 2025Q1; 2025Q2,2024Q3; 2024Q4; 2025Q1; 2025Q2,,2025Q4,2026Q1,2025,2026Q1,,0.75,False,actual: 2024Q3; 2024Q4; 2025Q1; 2025Q2; forecast: none,
