stream,stream_label,scenario,model,model_short,score_basis,eval_grid,horizon,n,mape,bias_pct,source_dataset,source_column,calculation_basis,value_available
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,schiff_paper_horizon_mean,schiff_paper_grid,7,10,5.053325091229631,0.5912693924694475,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,schiff_paper_horizon_mean,schiff_paper_grid,8,9,5.511915234414949,1.056946895099387,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,schiff_paper_horizon_mean,schiff_paper_grid,9,8,6.71320862001348,1.4790633179873671,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,schiff_paper_horizon_mean,schiff_paper_grid,10,7,7.620780239694056,2.89393329766719,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,schiff_paper_horizon_mean,schiff_paper_grid,11,6,8.902497522584126,3.313088211943594,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
LIGHT_RUC,Light RUC volume,Finalist,schiff_w36_OLS,Light RUC Schiff-spec OLS W36,schiff_paper_horizon_mean,schiff_paper_grid,12,5,10.501587454860971,3.4904596852222953,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,1,41,7.54939861403993,2.9654683933611454,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,2,40,7.79555772700679,3.067536761792614,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,3,39,7.443073708599397,3.0474321738528114,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,4,38,8.147843202370616,3.213247448965265,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,5,37,9.609422290553226,3.3119575591040356,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,6,36,9.884165537825744,3.457333482287261,scorecard_predictions.parquet,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data for selected score basis.,True
