stream,stream_label,scenario,model,model_short,horizon,n,mape,bias_pct,source_dataset,source_column,calculation_basis,value_available
LIGHT_RUC,Light RUC volume,Finalist,LIGHT_RUC__RESCUE_static_bias_penalty_top25_cap0p4,LIGHT RUC  RESCUE static bias penalty top25 cap0p4,11,32,10.75556953507177,2.7502704048260602,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
LIGHT_RUC,Light RUC volume,Finalist,LIGHT_RUC__RESCUE_static_bias_penalty_top25_cap0p4,LIGHT RUC  RESCUE static bias penalty top25 cap0p4,12,31,11.01784780400076,2.7257473349250256,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__schiff__SCHIFF_OLS__noylag__w40,LIGHT RUC  schiff  SCHIFF OLS  noylag  w40,1,30,8.110895223711925,0.2782712658911057,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__schiff__SCHIFF_OLS__noylag__w40,LIGHT RUC  schiff  SCHIFF OLS  noylag  w40,2,30,9.360518684166685,-1.1552747979927607,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__schiff__SCHIFF_OLS__noylag__w40,LIGHT RUC  schiff  SCHIFF OLS  noylag  w40,3,30,9.729017918944043,-0.5020789422777067,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__schiff__SCHIFF_OLS__noylag__w40,LIGHT RUC  schiff  SCHIFF OLS  noylag  w40,4,30,10.25294986990422,1.7089321944880689,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__schiff__SCHIFF_OLS__noylag__w40,LIGHT RUC  schiff  SCHIFF OLS  noylag  w40,5,30,11.234561620514823,3.3076972598399466,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__schiff__SCHIFF_OLS__noylag__w40,LIGHT RUC  schiff  SCHIFF OLS  noylag  w40,6,30,12.247191592177282,4.700087788389719,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__schiff__SCHIFF_OLS__noylag__w40,LIGHT RUC  schiff  SCHIFF OLS  noylag  w40,7,30,12.839569035565416,4.246391741057512,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__schiff__SCHIFF_OLS__noylag__w40,LIGHT RUC  schiff  SCHIFF OLS  noylag  w40,8,30,13.378082327633134,4.421097381014485,candidate_rescue_outputs/all_quarterly_predictions_selected_and_rescue.csv,"actual,pred,horizon",Mean APE by exact forecast horizon from row-level prediction data; invalid zero-actual rows excluded.,True
