stream,stream_label,scenario,model,model_short,score_basis,eval_grid,stress_bucket,stress_order,source_dataset,calculation_basis,mape,bias_pct,n,value_available
LIGHT_RUC,Light RUC volume,Schiff,LIGHT_RUC__SCHIFF_SPEC_FROM_WORKBOOK,LIGHT RUC  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,Annual,6,scorecard_annual_predictions.parquet,annual aggregation from complete target-year prediction rows,2.7020003217931463,-1.2512124526158817,24,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,current_grid_operational_pooled,current_evidence_grid,1-4 qtrs,1,scorecard_predictions.parquet,horizon 1-4,1.5551522070454291,0.6431008562265719,218,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,current_grid_operational_pooled,current_evidence_grid,5-8 qtrs,2,scorecard_predictions.parquet,horizon 5-8,2.504012939508072,1.543695831981802,202,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,current_grid_operational_pooled,current_evidence_grid,9-12 qtrs,3,scorecard_predictions.parquet,horizon 9-12,3.5158732389911265,2.5067703964868144,186,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,current_grid_operational_pooled,current_evidence_grid,2024+,4,scorecard_predictions.parquet,target year >=2024,0.9623656999078108,-0.15778800895694572,96,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,current_grid_operational_pooled,current_evidence_grid,2022-23,5,scorecard_predictions.parquet,target year 2022-23,2.1707759693986213,0.8618476712465101,96,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,current_grid_operational_pooled,current_evidence_grid,Annual,6,scorecard_annual_predictions.parquet,annual aggregation from complete target-year prediction rows,2.239648058288008,1.5527167323073563,114,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,schiff_paper_horizon_mean,schiff_paper_grid,1-4 qtrs,1,scorecard_predictions.parquet,horizon 1-4,1.7389128528409126,0.8006971575987607,58,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,schiff_paper_horizon_mean,schiff_paper_grid,5-8 qtrs,2,scorecard_predictions.parquet,horizon 5-8,2.263643305733216,1.7496875947360846,42,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,schiff_paper_horizon_mean,schiff_paper_grid,9-12 qtrs,3,scorecard_predictions.parquet,horizon 9-12,5.353111205408429,4.949046770128151,26,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,schiff_paper_horizon_mean,schiff_paper_grid,2024+,4,scorecard_predictions.parquet,target year >=2024,,,0,False
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,schiff_paper_horizon_mean,schiff_paper_grid,2022-23,5,scorecard_predictions.parquet,target year 2022-23,3.481972764174204,2.3366143600404543,48,True
PED,PED VKT per capita,Finalist,PED__RESCUE_static_annual_weighted_top12_capnone,PED  RESCUE static annual weighted top12 capnone,schiff_paper_horizon_mean,schiff_paper_grid,Annual,6,scorecard_annual_predictions.parquet,annual aggregation from complete target-year prediction rows,2.033293734597686,1.8274892586240519,24,True
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,1-4 qtrs,1,scorecard_predictions.parquet,horizon 1-4,2.651818539785213,0.2854128630505752,218,True
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,5-8 qtrs,2,scorecard_predictions.parquet,horizon 5-8,4.371776369510406,1.0360003432490212,202,True
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,9-12 qtrs,3,scorecard_predictions.parquet,horizon 9-12,5.716914213748447,1.7335329894313358,186,True
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,2024+,4,scorecard_predictions.parquet,target year >=2024,4.0994753281430905,-4.096853560027209,96,True
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,2022-23,5,scorecard_predictions.parquet,target year 2022-23,5.122051772999256,1.7545383424125724,96,True
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,current_grid_operational_pooled,current_evidence_grid,Annual,6,scorecard_annual_predictions.parquet,annual aggregation from complete target-year prediction rows,4.206617985893764,1.114699754292268,114,True
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,1-4 qtrs,1,scorecard_predictions.parquet,horizon 1-4,2.0237292632624575,0.4379492437016447,58,True
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,5-8 qtrs,2,scorecard_predictions.parquet,horizon 5-8,4.2169825160991445,3.2717224223342445,42,True
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,9-12 qtrs,3,scorecard_predictions.parquet,horizon 9-12,7.447797018329782,7.447797018329782,26,True
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,2024+,4,scorecard_predictions.parquet,target year >=2024,,,0,False
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,2022-23,5,scorecard_predictions.parquet,target year 2022-23,6.0703304118859345,4.653926634403547,48,True
PED,PED VKT per capita,Schiff,PED__SCHIFF_SPEC_FROM_WORKBOOK,PED  SCHIFF SPEC FROM WORKBOOK,schiff_paper_horizon_mean,schiff_paper_grid,Annual,6,scorecard_annual_predictions.parquet,annual aggregation from complete target-year prediction rows,3.5857289049779335,2.8477481967256373,24,True
