scenario_name,fy,series_id,expression,observed,calculated,residual,missing_inputs,status
current_basecase,2039,gross_ruc_revenue,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,6218.918803069085,6218.918803069086,-9.094947017729282e-13,,closes
current_basecase,2039,ruc_revenue_net_admin,gross_ruc_revenue - ruc_admin_revenue,6161.246382689183,6161.246382689183,0.0,,closes
current_basecase,2039,total_ruc_net_revenue,ruc_revenue_net_admin - ruc_refunds,5972.625013630662,5972.625013630662,0.0,,closes
current_basecase,2039,gross_fed_revenue,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,3682.691255265853,3682.691255265853,0.0,,closes
current_basecase,2039,net_fed_revenue,gross_fed_revenue - fed_refunds,3577.916471184701,3577.916471184701,0.0,,closes
current_basecase,2039,gross_mvr_revenue,mr1_revenue + mr2_revenue + coo_revenue,520.4020758793362,520.4020758793362,0.0,,closes
current_basecase,2039,mvr_revenue_net_admin_coo,mr1_revenue + mr2_revenue - mvr_admin_revenue,451.57387452822337,451.5738745282234,-5.684341886080802e-14,,closes
current_basecase,2039,net_mvr_revenue,mvr_revenue_net_admin_coo - mvr_refunds,449.51528277587994,449.51528277587994,0.0,,closes
current_basecase,2039,total_gross_revenue,gross_ruc_revenue + gross_fed_revenue + gross_mvr_revenue + tuc_net_revenue,10439.570033907099,10439.570033907099,0.0,,closes
current_basecase,2039,total_admin_fees,ruc_admin_revenue + mvr_admin_revenue + coo_revenue,126.50062173101529,126.50062173101529,0.0,,closes
current_basecase,2039,total_revenue_net_admin,total_gross_revenue - total_admin_fees,10313.069412176084,10313.069412176084,0.0,,closes
current_basecase,2039,total_refunds,ruc_refunds + fed_refunds + mvr_refunds,295.45474489201644,295.45474489201644,0.0,,closes
current_basecase,2039,total_nltf_net_revenue,total_revenue_net_admin - total_refunds,10017.614667284068,10017.614667284068,0.0,,closes
current_basecase,2040,gross_ruc_revenue,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,6720.280575910511,6720.280575910511,0.0,,closes
current_basecase,2040,ruc_revenue_net_admin,gross_ruc_revenue - ruc_admin_revenue,6659.447394890294,6659.447394890294,0.0,,closes
current_basecase,2040,total_ruc_net_revenue,ruc_revenue_net_admin - ruc_refunds,6457.70426367954,6457.70426367954,0.0,,closes
current_basecase,2040,gross_fed_revenue,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,3766.593017977311,3766.593017977311,0.0,,closes
current_basecase,2040,net_fed_revenue,gross_fed_revenue - fed_refunds,3665.712346141496,3665.712346141496,0.0,,closes
current_basecase,2040,gross_mvr_revenue,mr1_revenue + mr2_revenue + coo_revenue,517.9563010223371,517.9563010223371,0.0,,closes
current_basecase,2040,mvr_revenue_net_admin_coo,mr1_revenue + mr2_revenue - mvr_admin_revenue,449.30970534129574,449.30970534129574,0.0,,closes
current_basecase,2040,net_mvr_revenue,mvr_revenue_net_admin_coo - mvr_refunds,447.23463984016297,447.23463984016297,0.0,,closes
current_basecase,2040,total_gross_revenue,gross_ruc_revenue + gross_fed_revenue + gross_mvr_revenue + tuc_net_revenue,11022.387794602984,11022.387794602984,0.0,,closes
current_basecase,2040,total_admin_fees,ruc_admin_revenue + mvr_admin_revenue + coo_revenue,129.47977670125871,129.47977670125871,0.0,,closes
current_basecase,2040,total_revenue_net_admin,total_gross_revenue - total_admin_fees,10892.908017901726,10892.908017901726,0.0,,closes
current_basecase,2040,total_refunds,ruc_refunds + fed_refunds + mvr_refunds,304.69886854770175,304.69886854770175,0.0,,closes
current_basecase,2040,total_nltf_net_revenue,total_revenue_net_admin - total_refunds,10588.209149354025,10588.209149354025,0.0,,closes
current_basecase,2041,gross_ruc_revenue,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,7262.154064764236,7262.154064764236,0.0,,closes
current_basecase,2041,ruc_revenue_net_admin,gross_ruc_revenue - ruc_admin_revenue,7198.006359622494,7198.006359622494,0.0,,closes
current_basecase,2041,total_ruc_net_revenue,ruc_revenue_net_admin - ruc_refunds,6982.128036149723,6982.128036149723,0.0,,closes
current_basecase,2041,gross_fed_revenue,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,3847.911295122705,3847.911295122705,0.0,,closes
current_basecase,2041,net_fed_revenue,gross_fed_revenue - fed_refunds,3751.639685023587,3751.639685023587,0.0,,closes
current_basecase,2041,gross_mvr_revenue,mr1_revenue + mr2_revenue + coo_revenue,515.6706165952565,515.6706165952565,0.0,,closes
current_basecase,2041,mvr_revenue_net_admin_coo,mr1_revenue + mr2_revenue - mvr_admin_revenue,447.19388004052763,447.1938800405277,-5.684341886080802e-14,,closes
current_basecase,2041,net_mvr_revenue,mvr_revenue_net_admin_coo - mvr_refunds,445.10163109253966,445.10163109253966,0.0,,closes
current_basecase,2041,total_gross_revenue,gross_ruc_revenue + gross_fed_revenue + gross_mvr_revenue + tuc_net_revenue,11643.293876175023,11643.293876175023,0.0,,closes
