baseline_source,scenario_name,scenario_role,time_grain,series_id,period,fed_path,row_type,trace_name,value,source_path,period_fy
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2050,MBU26,official_comparator,MBU26 official,1453.07421427843,,
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2051,MBU26,official_comparator,MBU26 official,1309.42828764235,,
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2052,MBU26,official_comparator,MBU26 official,1189.17898958776,,
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2053,MBU26,official_comparator,MBU26 official,1084.14970314677,,
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2054,MBU26,official_comparator,MBU26 official,993.395969146282,,
incumbent_chart_rows,mbu26_official,official_comparator,june_year,ped_vkt_per_capita,FY2055,MBU26,official_comparator,MBU26 official,907.204801603618,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2002Q1,Current planned path,historical_actual,Actual,1864.090327167367,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2002Q2,Current planned path,historical_actual,Actual,1854.8369606135448,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2002Q3,Current planned path,historical_actual,Actual,1862.6786036124977,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2002Q4,Current planned path,historical_actual,Actual,1899.288829148161,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2003Q1,Current planned path,historical_actual,Actual,1869.6778960790105,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2003Q2,Current planned path,historical_actual,Actual,1857.878875845643,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2003Q3,Current planned path,historical_actual,Actual,1866.367749332602,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2003Q4,Current planned path,historical_actual,Actual,1902.6144744832493,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2004Q1,Current planned path,historical_actual,Actual,1893.0121822433896,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2004Q2,Current planned path,historical_actual,Actual,1857.5757538064283,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2004Q3,Current planned path,historical_actual,Actual,1860.3516663535784,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2004Q4,Current planned path,historical_actual,Actual,1897.667853770926,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2005Q1,Current planned path,historical_actual,Actual,1872.597339024945,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2005Q2,Current planned path,historical_actual,Actual,1850.130556335968,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2005Q3,Current planned path,historical_actual,Actual,1842.5792416165427,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2005Q4,Current planned path,historical_actual,Actual,1864.762211585816,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2006Q1,Current planned path,historical_actual,Actual,1827.8271073959868,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2006Q2,Current planned path,historical_actual,Actual,1802.7810427911893,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2006Q3,Current planned path,historical_actual,Actual,1804.1733997462184,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2006Q4,Current planned path,historical_actual,Actual,1847.0202552922724,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2007Q1,Current planned path,historical_actual,Actual,1828.4375772849908,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2007Q2,Current planned path,historical_actual,Actual,1813.7587397846364,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2007Q3,Current planned path,historical_actual,Actual,1811.3667922646005,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2007Q4,Current planned path,historical_actual,Actual,1831.7925575307247,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2008Q1,Current planned path,historical_actual,Actual,1807.456848216632,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2008Q2,Current planned path,historical_actual,Actual,1750.0072254172978,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2008Q3,Current planned path,historical_actual,Actual,1738.6275561152736,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2008Q4,Current planned path,historical_actual,Actual,1778.5416150158414,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2009Q1,Current planned path,historical_actual,Actual,1757.8497870661986,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2009Q2,Current planned path,historical_actual,Actual,1739.7078964024774,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2009Q3,Current planned path,historical_actual,Actual,1742.919011669165,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2009Q4,Current planned path,historical_actual,Actual,1775.345550564874,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2010Q1,Current planned path,historical_actual,Actual,1743.7407699169066,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2010Q2,Current planned path,historical_actual,Actual,1718.8769669709982,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2010Q3,Current planned path,historical_actual,Actual,1714.9262521262451,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2010Q4,Current planned path,historical_actual,Actual,1739.8429552879008,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2011Q1,Current planned path,historical_actual,Actual,1704.6112249131222,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2011Q2,Current planned path,historical_actual,Actual,1677.9137030119796,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2011Q3,Current planned path,historical_actual,Actual,1672.8913372940951,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2011Q4,Current planned path,historical_actual,Actual,1698.9024596700424,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2012Q1,Current planned path,historical_actual,Actual,1689.2367433390675,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2012Q2,Current planned path,historical_actual,Actual,1654.1635383056075,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2012Q3,Current planned path,historical_actual,Actual,1656.679766172925,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2012Q4,Current planned path,historical_actual,Actual,1691.5758481338778,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2013Q1,Current planned path,historical_actual,Actual,1669.1066240363002,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2013Q2,Current planned path,historical_actual,Actual,1653.8925437795576,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2013Q3,Current planned path,historical_actual,Actual,1657.771241840897,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2013Q4,Current planned path,historical_actual,Actual,1689.756940552281,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2014Q1,Current planned path,historical_actual,Actual,1663.5750910310285,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2014Q2,Current planned path,historical_actual,Actual,1650.6412452489812,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2014Q3,Current planned path,historical_actual,Actual,1656.3183843935471,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2014Q4,Current planned path,historical_actual,Actual,1686.1617935287663,,
incumbent_chart_rows,historical_actual,,quarterly,ped_vkt_per_capita,2015Q1,Current planned path,historical_actual,Actual,1666.9199328413831,,
