vintage_id,series_id,display_name,source_series_id,source_label,unit,metric_type,section,row_role,source_rows,valued_rows,first_fy,last_fy,first_valued_fy,last_valued_fy,in_display_series_order,in_runtime_chart_pack,runtime_official_rows,selector_label,selectable,coverage_status
MBU26,total_gross_revenue,Total gross revenues,total_gross_revenue,Total gross revenues (m $),$m nominal ex GST,revenue,Totals,aggregate,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
BEFU26,total_nltf_net_revenue,Total NLTF revenue,total_nltf_net_revenue,Total net revenues (m $),$m nominal ex GST,revenue,Totals,aggregate,55,55,2001,2055,2001,2055,True,True,30,Total NLTF revenue,True,official_trace_materialised
MBU26,total_nltf_net_revenue,Total NLTF revenue,total_nltf_net_revenue,Total net revenues (m $),$m nominal ex GST,revenue,Totals,aggregate,55,55,2001,2055,2001,2055,True,True,30,Total NLTF revenue,True,official_trace_materialised
BEFU26,total_refunds,Total refunds,total_refunds,Total refunds (m $),$m nominal ex GST,revenue,Totals,aggregate,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
MBU26,total_refunds,Total refunds,total_refunds,Total refunds (m $),$m nominal ex GST,revenue,Totals,aggregate,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
BEFU26,total_revenue_net_admin,Total revenues net of admin fees,total_revenue_net_admin,Total revenues net of admin fees (m $),$m nominal ex GST,revenue,Totals,aggregate,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
MBU26,total_revenue_net_admin,Total revenues net of admin fees,total_revenue_net_admin,Total revenues net of admin fees (m $),$m nominal ex GST,revenue,Totals,aggregate,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
BEFU26,total_ruc_net_revenue,Total RUC all classes,total_ruc_net_revenue,RUC revenues net of admin fees & refunds (m $),$m nominal ex GST,revenue,RUC,aggregate,55,55,2001,2055,2001,2055,True,True,30,Total RUC all classes,True,official_trace_materialised
MBU26,total_ruc_net_revenue,Total RUC all classes,total_ruc_net_revenue,RUC revenues net of admin fees & refunds (m $),$m nominal ex GST,revenue,RUC,aggregate,55,55,2001,2055,2001,2055,True,True,30,Total RUC all classes,True,official_trace_materialised
BEFU26,tuc_gtk,TUC GTK,tuc_gtk,TUC GTK (Tonne-km),tonne-km,activity,Key volumes,bridge_input,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
MBU26,tuc_gtk,TUC GTK,tuc_gtk,TUC GTK (Tonne-km),tonne-km,activity,Key volumes,bridge_input,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
BEFU26,tuc_net_revenue,TUC net revenue,tuc_net_revenue,TUC net revenue (m $),$m nominal ex GST,revenue,TUC,leaf,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
MBU26,tuc_net_revenue,TUC net revenue,tuc_net_revenue,TUC net revenue (m $),$m nominal ex GST,revenue,TUC,leaf,55,55,2001,2055,2001,2055,False,False,0,,False,not_selectable_official_trace_not_required
