series_id,trace_name,scenario_name,period,value_before,value_after,absolute_movement,relative_movement
phev_ruc_net_revenue,BEFU26 official,befu26_official,2038Q3,55.1553099897343,55.155245842012015,6.414772228424681e-05,1.163038015672221e-06
phev_ruc_net_km,Current finalist Base case,current_basecase,2026Q1,163.61462622049638,163.61481630354024,0.00019008304386147756,1.1617729310172481e-06
light_bev_ruc_net_km,Current finalist High population/comparison,current_comparison_1,2040Q3,4688.907674053414,4688.9022282568385,0.00544579657525901,1.161421156870698e-06
phev_ruc_net_revenue,MBU26 official,mbu26_official,2026Q2,5.756780424750113,5.756787104169884,6.6794197710606795e-06,1.1602700256455614e-06
phev_ruc_net_revenue,BEFU26 official,befu26_official,2026Q2,5.756780424750113,5.756787104169884,6.6794197710606795e-06,1.1602700256455614e-06
light_bev_ruc_net_km,Current finalist High population/comparison,current_comparison_1,2033Q4,1702.693590057353,1702.691615150282,0.0019749070711441163,1.1598722651428987e-06
phev_ruc_net_km,Current finalist Base case,current_basecase,2033Q3,720.9649241362591,720.9657570483425,0.0008329120834105197,1.1552740716316776e-06
phev_ruc_net_revenue,Current finalist Base case,current_basecase,2045Q4,65.19257387418116,65.19249863897757,7.523520359598024e-05,1.1540456086483242e-06
light_bev_ruc_net_km,MBU26 official,mbu26_official,2044Q1,6908.970020161019,6908.96205088471,0.007969276309268025,1.1534680691930828e-06
light_bev_ruc_net_km,BEFU26 official,befu26_official,2044Q1,6908.970020161019,6908.96205088471,0.007969276309268025,1.1534680691930828e-06
phev_ruc_net_revenue,Current finalist High population/comparison,current_comparison_1,2029Q3,17.844743410574527,17.84476397802663,2.0567452104103268e-05,1.1525776320165694e-06
light_bev_ruc_net_km,Current finalist High population/comparison,current_comparison_1,2030Q2,956.1878384253419,956.1867389718768,0.0010994534650308196,1.149830002901322e-06
light_bev_ruc_net_revenue,BEFU26 official,befu26_official,2035Q1,204.80180370563843,204.8020391788907,0.00023547325227468718,1.1497616134921e-06
light_bev_ruc_net_revenue,MBU26 official,mbu26_official,2035Q1,204.80180370563843,204.8020391788907,0.00023547325227468718,1.1497616134921e-06
phev_ruc_net_revenue,Current finalist High population/comparison,current_comparison_1,2027Q4,11.06665123200431,11.066663949573233,1.2717568923292788e-05,1.1491795175142134e-06
light_bev_ruc_net_km,Current finalist Base case,current_basecase,2028Q3,575.5240286072287,575.523368694361,0.0006599128677180488,1.1466295669966057e-06
light_bev_ruc_net_revenue,BEFU26 official,befu26_official,2043Q3,891.6644542462786,891.6654743561384,0.0010201098597235614,1.1440512794533873e-06
light_bev_ruc_net_revenue,MBU26 official,mbu26_official,2043Q3,891.6644542462786,891.6654743561384,0.0010201098597235614,1.1440512794533873e-06
heavy_ruc_net_km,BEFU26 official,befu26_official,2036Q2,1069.3475969620852,1069.3463757262602,0.0012212358249144017,1.1420382188016474e-06
light_ruc_net_km,MBU26 official,mbu26_official,2048Q3,1559.2352448079005,1559.2334666477411,0.0017781601593469532,1.140405314251362e-06
phev_ruc_net_revenue,BEFU26 official,befu26_official,2048Q2,63.3251065450612,63.32517819849528,7.165343407677938e-05,1.1315169920131418e-06
phev_ruc_net_revenue,MBU26 official,mbu26_official,2048Q2,63.3251065450612,63.32517819849528,7.165343407677938e-05,1.1315169920131418e-06
phev_ruc_net_revenue,Current finalist Base case,current_basecase,2041Q2,67.5786992657188,67.57862280421026,7.646150854156986e-05,1.1314439220104538e-06
heavy_ruc_net_revenue,MBU26 official,mbu26_official,2045Q1,612.5286015868976,612.5279106432516,0.0006909436459636709,1.1280185842320194e-06
phev_ruc_net_km,Current finalist Base case,current_basecase,2030Q1,471.494407876622,471.4938760662944,0.0005318103276295005,1.1279249949633796e-06
light_ruc_net_revenue,Current finalist Base case,current_basecase,2026Q2,218.97675221120616,218.97650585043394,0.00024636077222339736,1.1250544623375312e-06
light_ruc_net_revenue,Current finalist High population/comparison,current_comparison_1,2026Q4,235.58207374565927,235.58180886606263,0.00026487959664223126,1.1243622760881305e-06
light_bev_ruc_net_km,Current finalist Base case,current_basecase,2047Q3,8680.234374570882,8680.224616619353,0.009757951529536513,1.1241576100897515e-06
light_bev_ruc_net_revenue,Current finalist Base case,current_basecase,2027Q3,34.21523397900865,34.21519560787721,3.837113143845272e-05,1.12146336517803e-06
light_ruc_net_revenue,Current finalist High population/comparison,current_comparison_1,2040Q3,317.63168795595345,317.631332226684,0.00035572926947224914,1.1199426346957509e-06
light_bev_ruc_net_km,Current finalist High population/comparison,current_comparison_1,2027Q3,440.3849993504346,440.3845065765915,0.0004927738431206308,1.1189614629187402e-06
light_ruc_net_km,BEFU26 official,befu26_official,2045Q3,1869.4467744302813,1869.4446911892453,0.0020832410359616915,1.1143623153414274e-06
phev_ruc_net_revenue,Current finalist Base case,current_basecase,2031Q1,22.551821788867958,22.551846847538982,2.505867102442494e-05,1.111159500062847e-06
light_ruc_net_km,Current finalist High population/comparison,current_comparison_1,2038Q2,2967.4718409336256,2967.4751348180685,0.0032938844428826997,1.1099968658325594e-06
light_bev_ruc_net_km,Current finalist Base case,current_basecase,2041Q4,5744.434368716178,5744.427995121492,0.00637359468601062,1.1095251989857884e-06
light_bev_ruc_net_revenue,Current finalist Base case,current_basecase,2038Q3,419.6023093394332,419.6018439244079,0.000465415025303173,1.1091812769950227e-06
light_bev_ruc_net_revenue,Current finalist High population/comparison,current_comparison_1,2026Q2,22.382539127417353,22.38251437498591,2.4752431443175738e-05,1.105881298911945e-06
light_ruc_net_revenue,Current finalist Base case,current_basecase,2041Q3,302.2171672117819,302.21683398601584,0.0003332257660417781,1.102603697586334e-06
light_ruc_net_revenue,MBU26 official,mbu26_official,2036Q2,373.84780662753246,373.84821876089427,0.00041213336180589977,1.1024094685046835e-06
light_bev_ruc_net_revenue,Current finalist Base case,current_basecase,2046Q2,1312.67015307455,1312.67159907093,0.001445996379970893,1.1015687197458287e-06
phev_ruc_net_km,Current finalist High population/comparison,current_comparison_1,2046Q3,816.2772580473496,816.2763591829199,0.0008988644297005521,1.1011753921097382e-06
light_ruc_net_km,Current finalist High population/comparison,current_comparison_1,2044Q3,1952.9023660238004,1952.904516061366,0.0021500375655705284,1.100944728715806e-06
light_ruc_net_km,BEFU26 official,befu26_official,2034Q2,3466.8262926282405,3466.8301076305816,0.0038150023410707945,1.1004307741587472e-06
