cohort,target_window,horizon,horizon_support_state,n_observations,n_origins,mape_pct,wape_pct,rmse,signed_mean_error_pct,signed_mean_error,first_target_period,last_target_period
all_available,excl_2020_2021,12,H1-H12,37,37,2.745172931897248,2.6776628506535523,57.51291696569012,-0.3134878369869767,-6.085629999975155,2014Q4,2025Q4
all_available,excl_2020_2021,13,H13-H20,36,36,3.04080458945918,2.962402205966184,64.05860656168062,-0.0821122463326295,-2.7118143668558963,2015Q1,2025Q4
all_available,excl_2020_2021,14,H13-H20,35,35,3.2601688960859043,3.1753604463091576,69.52226007678411,0.1731387908108422,1.0296434266236445,2015Q2,2025Q4
all_available,excl_2020_2021,15,H13-H20,34,34,3.5055084866463977,3.415343237907842,73.6365997207012,0.5038535818808418,5.979642824663348,2015Q3,2025Q4
all_available,excl_2020_2021,16,H13-H20,33,33,3.695954577188741,3.60213668854878,76.44524473481886,0.8685307434528784,11.544902600549834,2015Q4,2025Q4
all_available,excl_2020_2021,17,H13-H20,32,32,3.8764861270182154,3.780474387116755,79.83860753580252,1.298255329018264,18.09364871506694,2016Q1,2025Q4
all_available,excl_2020_2021,18,H13-H20,31,31,4.188643062504872,4.083511993083897,84.01868268757902,1.69978831292427,24.155123580130777,2016Q2,2025Q4
all_available,excl_2020_2021,19,H13-H20,30,30,4.48385216773482,4.3704980900329184,87.34473223806164,2.1457632528714683,30.947933158136237,2016Q3,2025Q4
all_available,excl_2020_2021,20,H13-H20,29,29,4.750217798027087,4.628258301780209,90.10070069142088,2.613039567997188,38.09700047646001,2016Q4,2025Q4
balanced_h20,all_targets,1,H1-H12,37,37,0.9668965867945672,0.9354632669600192,24.72751747620647,0.1889011957448983,2.803251447992991,2012Q1,2021Q1
balanced_h20,all_targets,2,H1-H12,37,37,1.364222968896135,1.3074686085782097,36.21010943093615,0.5132021300265899,7.697474212933445,2012Q2,2021Q2
balanced_h20,all_targets,3,H1-H12,37,37,1.5924271245023411,1.5201333764500684,43.9741651085625,0.887892115924417,13.267209480182029,2012Q3,2021Q3
balanced_h20,all_targets,4,H1-H12,37,37,1.9745113917862525,1.8777102440855424,51.76235677085924,1.302579851254231,19.42293597733097,2012Q4,2021Q4
balanced_h20,all_targets,5,H1-H12,37,37,2.525084795740194,2.404790802533985,60.63469373853988,1.6359430406097448,24.200205807230244,2013Q1,2022Q1
balanced_h20,all_targets,6,H1-H12,37,37,2.793360337756776,2.666589116910417,65.6436644382566,1.822275772370604,26.936579540458887,2013Q2,2022Q2
balanced_h20,all_targets,7,H1-H12,37,37,3.0025261792658986,2.869297876955047,71.12945369587418,1.972408941966893,29.13580581481944,2013Q3,2022Q3
balanced_h20,all_targets,8,H1-H12,37,37,3.308009403907665,3.161528551983797,77.33912895355468,2.1100038757848947,31.042824029506864,2013Q4,2022Q4
balanced_h20,all_targets,9,H1-H12,37,37,3.7577303989288935,3.5957871990408363,83.91664746820462,2.3193053871725637,33.97444051994914,2014Q1,2023Q1
balanced_h20,all_targets,10,H1-H12,37,37,4.071638143388556,3.89721489306694,89.86271167295462,2.528917561431558,36.9482603415274,2014Q2,2023Q2
balanced_h20,all_targets,11,H1-H12,37,37,4.343480278010654,4.157545744943263,94.01144376397356,2.721323938406822,39.75966788834203,2014Q3,2023Q3
balanced_h20,all_targets,12,H1-H12,37,37,4.566061374003844,4.375627330082864,96.71029876819703,2.851096568057558,41.640539267799774,2014Q4,2023Q4
balanced_h20,all_targets,13,H13-H20,37,37,4.833331219106498,4.639636215502679,99.9612733968716,3.024493796504646,44.18949810736834,2015Q1,2024Q1
balanced_h20,all_targets,14,H13-H20,37,37,5.0172501349207055,4.824268997956231,102.42239655201408,3.205040613732367,46.87338186490968,2015Q2,2024Q2
balanced_h20,all_targets,15,H13-H20,37,37,5.2270623614833225,5.038363647723221,104.63275460528708,3.4321780533450563,50.33206552519053,2015Q3,2024Q3
balanced_h20,all_targets,16,H13-H20,37,37,5.331664960669754,5.153428596026584,105.07926109177984,3.615652624183361,53.1988427407469,2015Q4,2024Q4
balanced_h20,all_targets,17,H13-H20,37,37,5.416234916185441,5.2498421840833895,105.7867162721014,3.817956081052819,56.3303680905171,2016Q1,2025Q1
balanced_h20,all_targets,18,H13-H20,37,37,5.550206269606265,5.394071202746848,106.54210813718126,4.058239929027174,60.01788181155152,2016Q2,2025Q2
balanced_h20,all_targets,19,H13-H20,37,37,5.78056400505635,5.627169206081884,107.80740150279092,4.207046567752275,62.30797031181897,2016Q3,2025Q3
balanced_h20,all_targets,20,H13-H20,37,37,5.98566670479908,5.835395728321399,108.86535741400743,4.310581065045917,63.89458302937476,2016Q4,2025Q4
balanced_h20,excl_2020_2021,1,H1-H12,32,32,0.690336991228811,0.6803434437300337,17.837377458306396,0.1418340366398678,2.1184086764025736,2012Q1,2019Q4
balanced_h20,excl_2020_2021,2,H1-H12,31,31,0.8662375815466583,0.8507629094468462,24.875764216229115,0.2601278958896589,3.9755982002688097,2012Q2,2019Q4
balanced_h20,excl_2020_2021,3,H1-H12,30,30,0.933469836737356,0.9171146964214304,27.243508872576143,0.2424361445990722,3.6331002381258486,2012Q3,2019Q4
balanced_h20,excl_2020_2021,4,H1-H12,29,29,1.021502126406706,1.0036811964812296,29.057629690895745,0.1791753837449249,2.5400211332024543,2012Q4,2019Q4
balanced_h20,excl_2020_2021,5,H1-H12,29,29,1.3547682216507346,1.3205883991687752,33.01667843486879,0.2203459823463682,2.778829461372362,2013Q1,2022Q1
balanced_h20,excl_2020_2021,6,H1-H12,29,29,1.4136475375822442,1.383101316231646,32.81765827619612,0.1746775748481625,1.9340334989385688,2013Q2,2022Q2
balanced_h20,excl_2020_2021,7,H1-H12,29,29,1.3565003210056013,1.3381642139555605,31.736563169063945,0.0422128113482502,-0.1544575364307391,2013Q3,2022Q3
balanced_h20,excl_2020_2021,8,H1-H12,29,29,1.4140923302373178,1.40012357136596,32.63426165540676,-0.114397481505526,-2.690467413937791,2013Q4,2022Q4
balanced_h20,excl_2020_2021,9,H1-H12,29,29,1.7867346752358422,1.755907189567678,39.1250777848968,-0.0484972363153356,-1.9468892430148523,2014Q1,2023Q1
balanced_h20,excl_2020_2021,10,H1-H12,29,29,2.0523509686190886,2.006368361914123,46.39922379634139,0.0840522950877463,-0.1605925710996494,2014Q2,2023Q2
balanced_h20,excl_2020_2021,11,H1-H12,29,29,2.3417918821341024,2.2758703162090343,52.96496113670378,0.2721441385016243,2.5731241014963304,2014Q3,2023Q3
balanced_h20,excl_2020_2021,12,H1-H12,29,29,2.6452766608912515,2.563532856088804,59.3404044350256,0.4572181153735776,5.282802614893194,2014Q4,2023Q4
balanced_h20,excl_2020_2021,13,H13-H20,29,29,2.9903432584280054,2.892100615143635,65.91882627287445,0.6825162020049539,8.595021495902161,2015Q1,2024Q1
balanced_h20,excl_2020_2021,14,H13-H20,29,29,3.22788829871301,3.1209929980011704,70.85843166515338,0.9157589096106488,12.06798856424787,2015Q2,2024Q2
balanced_h20,excl_2020_2021,15,H13-H20,29,29,3.495328098811069,3.3830192522271707,74.76676964069358,1.2053032918760411,16.4710233042997,2015Q3,2024Q3
balanced_h20,excl_2020_2021,16,H13-H20,29,29,3.691732276399483,3.5794377757333136,77.67677215265536,1.5023372263996009,21.063519572195283,2015Q4,2024Q4
balanced_h20,excl_2020_2021,17,H13-H20,29,29,3.874621439535766,3.7646806764424814,81.03465075547457,1.83543809815966,26.19819683523277,2016Q1,2025Q1
balanced_h20,excl_2020_2021,18,H13-H20,29,29,4.099036676547066,3.989305993358788,83.92659190184453,2.1954934144289138,31.706655135321316,2016Q2,2025Q2
balanced_h20,excl_2020_2021,19,H13-H20,29,29,4.432907031007576,4.316611772016031,87.13115350348984,2.425315817895481,35.23324596473876,2016Q3,2025Q3
balanced_h20,excl_2020_2021,20,H13-H20,29,29,4.750217798027087,4.628258301780209,90.10070069142088,2.613039567997188,38.09700047646001,2016Q4,2025Q4
