source_path,FY,period,scenario_name,output_series_id,output_label,formula,observed_value,calculated_value,residual,residual_abs,status,missing_inputs
BEFU26 official,2006,FY2006,befu26_official,total_admin_fees,Total admin fees,ruc_admin_revenue + mvr_admin_revenue + coo_revenue,54.001,54.001,0.0,0.0,reconciled,
BEFU26 official,2006,FY2006,befu26_official,total_gross_revenue,Total gross revenues,gross_ruc_revenue + gross_fed_revenue + gross_mvr_revenue + tuc_net_revenue,2288.58136594667,2288.581365946667,2.7284841053187847e-12,2.7284841053187847e-12,reconciled,
BEFU26 official,2006,FY2006,befu26_official,total_nltf_net_revenue,Total NLTF revenue,total_revenue_net_admin - total_refunds,2175.23036594667,2175.23036594667,0.0,0.0,reconciled,
BEFU26 official,2006,FY2006,befu26_official,total_refunds,Total refunds,ruc_refunds + fed_refunds + mvr_refunds,59.35,59.35,0.0,0.0,reconciled,
BEFU26 official,2006,FY2006,befu26_official,total_revenue_net_admin,Total revenues net of admin fees,total_gross_revenue - total_admin_fees,2234.58036594667,2234.5803659466696,4.547473508864641e-13,4.547473508864641e-13,reconciled,
BEFU26 official,2006,FY2006,befu26_official,total_ruc_net_revenue,RUC net admin/refunds,ruc_revenue_net_admin - ruc_refunds,713.354307946667,713.3543079466671,-1.1368683772161603e-13,1.1368683772161603e-13,reconciled,
BEFU26 official,2007,FY2007,befu26_official,gross_fed_revenue,Gross FED,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,1404.516351,1404.516351,0.0,0.0,reconciled,
BEFU26 official,2007,FY2007,befu26_official,gross_mvr_revenue,Gross MVR,mr1_revenue + mr2_revenue + coo_revenue,222.909,222.909,0.0,0.0,reconciled,
BEFU26 official,2007,FY2007,befu26_official,gross_ruc_revenue,Gross RUC,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,809.650028613333,809.650028613333,0.0,0.0,reconciled,
BEFU26 official,2007,FY2007,befu26_official,mvr_revenue_net_admin_coo,MVR net admin & COO,mr1_revenue + mr2_revenue - mvr_admin_revenue,181.227,181.227,0.0,0.0,reconciled,
BEFU26 official,2007,FY2007,befu26_official,net_fed_revenue,Net FED,gross_fed_revenue - fed_refunds,1371.228351,1371.228351,0.0,0.0,reconciled,
BEFU26 official,2007,FY2007,befu26_official,net_mvr_revenue,MVR net admin/refunds/COO,mvr_revenue_net_admin_coo - mvr_refunds,180.623,180.623,0.0,0.0,reconciled,
BEFU26 official,2007,FY2007,befu26_official,ruc_revenue_net_admin,RUC net admin,gross_ruc_revenue - ruc_admin_revenue,796.363028613333,796.363028613333,0.0,0.0,reconciled,
BEFU26 official,2007,FY2007,befu26_official,total_admin_fees,Total admin fees,ruc_admin_revenue + mvr_admin_revenue + coo_revenue,54.969,54.969,0.0,0.0,reconciled,
BEFU26 official,2007,FY2007,befu26_official,total_gross_revenue,Total gross revenues,gross_ruc_revenue + gross_fed_revenue + gross_mvr_revenue + tuc_net_revenue,2437.07537961333,2437.075379613333,-3.183231456205249e-12,3.183231456205249e-12,reconciled,
