source_release,FY,period,period_status,output_series_id,output_label,row_role,formula,source_rows,source_cells,observed_value,calculated_value,residual,residual_abs,status,missing_inputs,source_kind
BEFU26,2006,FY2006,ACTUAL,total_refunds,Total refunds,aggregate,ruc_refunds + fed_refunds + mvr_refunds,33; 44; 54,G33; G44; G54,59.35,59.35,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2006,FY2006,ACTUAL,total_revenue_net_admin,Total revenues net of admin fees,aggregate,total_gross_revenue - total_admin_fees,61; 62,G61; G62,2234.58036594667,2234.5803659466696,4.547473508864641e-13,4.547473508864641e-13,reconciled,,official_source_formula_assertion
BEFU26,2006,FY2006,ACTUAL,total_ruc_net_revenue,Total RUC all classes,aggregate,ruc_revenue_net_admin - ruc_refunds,36; 33,G36; G33,713.354307946667,713.3543079466671,-1.1368683772161605e-13,1.1368683772161605e-13,reconciled,,official_source_formula_assertion
BEFU26,2007,FY2007,ACTUAL,gross_fed_revenue,Gross FED revenue,aggregate,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,40; 41; 42,H40; H41; H42,1404.516351,1404.516351,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2007,FY2007,ACTUAL,gross_mvr_revenue,Gross MVR revenue,aggregate,mr1_revenue + mr2_revenue + coo_revenue,48; 49; 50,H48; H49; H50,222.909,222.909,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2007,FY2007,ACTUAL,gross_ruc_revenue,Gross RUC revenue,aggregate,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,28; 29; 30; 31; 32; 33,H28; H29; H30; H31; H32; H33,809.650028613333,809.650028613333,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2007,FY2007,ACTUAL,mvr_revenue_net_admin_coo,MVR revenues net of admin fees and COO,aggregate,mr1_revenue + mr2_revenue - mvr_admin_revenue,48; 49; 52,H48; H49; H52,181.227,181.227,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2007,FY2007,ACTUAL,net_fed_revenue,Net FED revenue,aggregate,gross_fed_revenue - fed_refunds,43; 44,H43; H44,1371.228351,1371.228351,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2007,FY2007,ACTUAL,net_mvr_revenue,Net MVR revenue,aggregate,mvr_revenue_net_admin_coo - mvr_refunds,53; 54,H53; H54,180.623,180.623,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2007,FY2007,ACTUAL,ruc_revenue_net_admin,RUC revenues net of admin fees,aggregate,gross_ruc_revenue - ruc_admin_revenue,34; 35,H34; H35,796.363028613333,796.363028613333,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2007,FY2007,ACTUAL,total_admin_fees,Total admin fees,aggregate,ruc_admin_revenue + mvr_admin_revenue + coo_revenue,35; 52; 50,H35; H52; H50,54.969,54.969,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2007,FY2007,ACTUAL,total_fed_ruc_net_revenue,Total RUC+PED revenue,aggregate,net_fed_revenue + total_ruc_net_revenue,45; 37,H45; H37,2140.553379613333,2140.553379613333,0.0,0.0,reconciled,,derived_dashboard_subtotal
BEFU26,2007,FY2007,ACTUAL,total_gross_revenue,Total gross revenues,aggregate,gross_ruc_revenue + gross_fed_revenue + gross_mvr_revenue + tuc_net_revenue,34; 43; 51; 58,H34; H43; H51; H58,2437.07537961333,2437.075379613333,-3.183231456205249e-12,3.183231456205249e-12,reconciled,,official_source_formula_assertion
BEFU26,2007,FY2007,ACTUAL,total_nltf_net_revenue,Total NLTF revenue,aggregate,total_revenue_net_admin - total_refunds,63; 64,H63; H64,2321.17637961333,2321.17637961333,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2007,FY2007,ACTUAL,total_refunds,Total refunds,aggregate,ruc_refunds + fed_refunds + mvr_refunds,33; 44; 54,H33; H44; H54,60.93,60.93,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2007,FY2007,ACTUAL,total_revenue_net_admin,Total revenues net of admin fees,aggregate,total_gross_revenue - total_admin_fees,61; 62,H61; H62,2382.10637961333,2382.10637961333,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2007,FY2007,ACTUAL,total_ruc_net_revenue,Total RUC all classes,aggregate,ruc_revenue_net_admin - ruc_refunds,36; 33,H36; H33,769.325028613333,769.325028613333,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2008,FY2008,ACTUAL,gross_fed_revenue,Gross FED revenue,aggregate,gross_ped_revenue + gross_lpg_revenue + gross_cng_revenue,40; 41; 42,I40; I41; I42,1425.97242,1425.97242,0.0,0.0,reconciled,,official_source_formula_assertion
BEFU26,2008,FY2008,ACTUAL,gross_mvr_revenue,Gross MVR revenue,aggregate,mr1_revenue + mr2_revenue + coo_revenue,48; 49; 50,I48; I49; I50,226.18,226.18,2.8421709430404014e-14,2.8421709430404014e-14,reconciled,,official_source_formula_assertion
BEFU26,2008,FY2008,ACTUAL,gross_ruc_revenue,Gross RUC revenue,aggregate,light_ruc_net_revenue + heavy_ruc_net_revenue + light_bev_ruc_net_revenue + heavy_bev_ruc_net_revenue + phev_ruc_net_revenue + ruc_refunds,28; 29; 30; 31; 32; 33,I28; I29; I30; I31; I32; I33,875.381014115556,875.381014115556,0.0,0.0,reconciled,,official_source_formula_assertion
