stream_label,model_class,model,operational_n,operational_pooled_mape,operational_horizon_mean_mape,operational_bias_pct,paper_n,paper_horizon_mean_mape,paper_pooled_mape,paper_bias_pct,operational_annual_mape,paper_annual_mape,operational_h09_12_mape,paper_h09_12_mape,op_gain_vs_schiff_spec_pp,paper_gain_vs_schiff_spec_pp,decision_score,governance_score
Light RUC volume,Light RUC challenger candidate,dynamic_RESID_GBR_n400_d1_lr0.08_w40,390,8.338152848910783,8.488353130176593,1.6082114343375495,126.0,6.317322365699744,5.382143206239764,0.1064406645859842,6.326844730387162,1.4932839097977304,10.06060213896118,9.993598103650466,0.07478622918718258,2.2040747243071257,16.39800754064107,0.1255164034021871
Light RUC volume,Light RUC challenger candidate,ENSEMBLE_top5_mean,390,8.357133512226406,8.493555049937589,2.4141786977280253,126.0,7.061529368462417,6.123595191076834,-0.3163052841947477,6.104744702229555,,9.896808343319314,11.095420376267528,0.055805565871558827,1.4598677215444527,17.186266926019016,0.1277642770352369
Light RUC volume,Light RUC challenger candidate,SCHIFF_SPEC_Elastic_a0.01_l10.3_w40,390,8.613606848640446,8.73405188142997,1.8331890238234565,126.0,7.180316672370839,6.413402804715116,-2.034183256381369,6.060835158142229,4.525672470992498,9.98080013421196,10.09443173890969,-0.20066777054248064,1.3410804176360305,17.49245121292919,0.1289793438639125
Light RUC volume,Light RUC challenger candidate,dynamic_RESID_GBR_n400_d2_lr0.05_w40,390,8.369894474123006,8.505099399549225,1.8280198377303023,126.0,6.345988109378806,5.339371312128048,0.0964656120035579,6.399202209885653,1.4014734965286324,9.893948489254113,10.34073625864099,0.04304460397495902,2.175408980628064,16.498485119746256,0.1317739975698663
Light RUC volume,Light RUC challenger candidate,dynamic_RESID_GBR_n400_d2_lr0.03_w40,390,8.374657846002002,8.513419729430652,1.841991647073656,126.0,6.334232059562126,5.3122641037544085,0.0373727179590441,6.4122336848072585,1.370354344259928,9.89574269805458,10.39387332351945,0.03828123209596335,2.187165030444744,16.49614749147331,0.1364520048602673
Light RUC volume,Schiff specification benchmark,LIGHT_RUC__SCHIFF_SPEC_FINAL_OLS_EXPANDING,426,8.412939078097965,8.579776965624296,2.066447356553397,126.0,8.52139709000687,7.727108089529398,0.4241215010935295,5.985569996352899,,10.505351265765505,,0.0,0.0,18.637373402848397,0.1383353584447144
Light RUC volume,Light RUC challenger candidate,dynamic_RESID_GBR_n250_d1_lr0.08_w40,390,8.368659722553476,8.518420258350856,1.6851406896739147,126.0,6.314437017132426,5.364369476826786,0.0502207469157667,6.374409169495925,1.4331482739751151,10.072550567980052,10.070132080028555,0.04427935554448936,2.206960072874444,16.44521310102727,0.1383961117861482
Light RUC volume,Light RUC challenger candidate,dynamic_Elastic_a0.05_l10.3_w40,390,8.82390800504489,8.939481725030875,1.7868446636615034,126.0,8.330296368463411,7.713918467913325,-2.964205764932761,5.8476327906699055,6.223917103036978,10.126575198203646,10.37674714499192,-0.410968926946925,0.19110072154345836,18.794797037541926,0.1428918590522478
Light RUC volume,Light RUC challenger candidate,dynamic_RESID_GBR_n250_d2_lr0.05_w40,390,8.391195073509277,8.526052985442766,1.840866709771324,126.0,6.349974652496698,5.340161050280461,0.0904678713668611,6.418633005638577,1.4086035604109282,9.911495883867568,10.354468988908945,0.021744004588688526,2.171422437510172,16.529914648392754,0.143134872417983
Light RUC volume,Light RUC challenger candidate,SCHIFF_SPEC_Elastic_a0.005_l10.5_w40,390,8.604742426839108,8.741570915630465,2.1874465942728216,126.0,7.302318165258821,6.444683681230065,-1.3686123221623463,5.845622034552305,3.9285667656771808,10.198177849063365,10.612680140082556,-0.1918033487411428,1.2190789247480485,17.587210760163288,0.1433171324422843
Light RUC volume,Light RUC challenger candidate,spec_plus_ylag_RESID_GBR_n80_d1_lr0.03_w36,390,8.12856897266498,8.239788191874588,2.2164195373132825,126.0,5.883480858679359,5.435590919162496,0.2801561745617513,6.580397101647216,3.5205905745830544,9.410579874155086,7.705302648725845,0.2843701054329859,2.6379162313275106,15.87879106048747,0.1436208991494532
Light RUC volume,Light RUC challenger candidate,dynamic_plus_ylag_RESID_GBR_n400_d2_lr0.03_w40,390,8.399604303564995,8.543452434433648,2.019833603606993,126.0,6.433706712360141,5.358790654272796,0.2858730706069939,6.369785584960421,1.4535740306087068,9.995290443694772,10.643926048164367,0.013334774532969718,2.0876903776467293,16.627740772525943,0.1471445929526124
Light RUC volume,Light RUC challenger candidate,dynamic_RESID_GBR_n250_d2_lr0.03_w40,390,8.391022045183693,8.53059585752902,1.881598303786893,126.0,6.3359729554875885,5.307091252360809,0.0256858463573492,6.435024814209871,1.3944576938785709,9.9271617334359,10.413936856793024,0.021917032914272383,2.1854241345192813,16.52391103460244,0.1484811664641555
Light RUC volume,Light RUC challenger candidate,dynamic_plus_ylag_RESID_GBR_n80_d2_lr0.08_w36,390,8.21151490001412,8.323674424349548,2.50670577147512,126.0,5.511460805076173,4.90769796842489,0.958562566637528,6.525155240156458,1.6069634624956468,9.468476250525375,8.038751479637291,0.20142417808384572,3.0099362849306965,15.604935092276918,0.1489064398541919
Light RUC volume,Light RUC challenger candidate,dynamic_RESID_GBR_n150_d1_lr0.08_w40,390,8.383322206397894,8.53376582015336,1.76301983499639,126.0,6.312210753477608,5.332722377549992,0.0651414639793228,6.403174282529821,1.3372357866886624,10.092675388747836,10.184169872605,0.0296168717000711,2.209186336529262,16.472628514007596,0.15
Light RUC volume,Light RUC challenger candidate,dynamic_Elastic_a0.05_l10.3_w36,390,8.880858203925749,8.9912205825029,1.8938892845344928,126.0,8.382926428762344,7.741230463288537,-2.735197880608628,5.913128946933711,6.223917103036978,10.105334817996416,10.550723203824433,-0.46791912582778394,0.13847066124452567,18.93145579787497,0.1567436208991494
Light RUC volume,Light RUC challenger candidate,dynamic_Elastic_a0.05_l10.5_w36,390,8.907515957781722,8.99831614819074,0.154771191887557,126.0,8.866557171709195,8.34500173825862,-4.666411920232039,6.190638749456141,8.104907569454246,9.98331683752692,10.59340852323621,-0.4945768796837573,-0.3451600817023248,19.337209936043706,0.1573511543134872
Light RUC volume,Light RUC challenger candidate,dynamic_RESID_GBR_n150_d2_lr0.05_w40,390,8.420946326624353,8.556830637079509,1.8924848813295176,126.0,6.3538931460871835,5.335536431468745,0.0915156516625316,6.4545337855768965,1.4276467195612712,9.95215898749357,10.391691972164605,-0.008007248526388011,2.1675039439196864,16.577721407238712,0.1587484811664641
Light RUC volume,Light RUC challenger candidate,spec_plus_ylag_RESID_GBR_n80_d1_lr0.05_w36,390,8.217223495850732,8.334381113718463,2.189629135687764,126.0,5.839860025662624,5.388702525582444,0.3053185221894153,6.59416862251547,3.47496091822293,9.60037396291396,7.743549855047277,0.1957155822472334,2.681537064344246,15.924588590710998,0.1595382746051032
